zzy世另我//@Ttzzzy_:我孩子还好吗 查看图片
一如既往啊一如既往
//@叄號收藏本:不管SDG还是TNT我们都是七个人💧
受不了了
意满离求纠缠//@TFBOYS-易烊千玺:凯哥生日快乐🎂26岁继续炫技✌🏻
啊啊啊啊啊啊小老帝你们就这样缠缠绵绵一辈子好吗//@TFBOYS-王源:兄弟生日快乐 祝热烈祝开心！ 查看图片
不要啊昨天还和舍友谈起于朦胧怎么好久没出来了 他们那一批快男是最后出人的了
能不能一起彼此相爱一辈子
不切实际的梦已经很遥远变得不清晰 更无力的是曾经嗤之以鼻现在向往的不得了的平平淡淡的幸福也是梦想 “我要稳稳的幸福”
啊啊啊怎么唱的这首！！
笑得我
太漂亮
把粉丝摸透了
一直这样好吗永远不要变//@我是真的福了_:全世界最适合时代少年团的歌//@你才呆头:不要变 永远都//@啊璟璟阿:很神奇的是那句真理，没有什么是不变的，唯一确定不变的就是一切都在变，这句真理好像在他们这儿不适用，无论多久再回来看依旧这样，时代少年团好像越过了真理本身
谁的一辈子
天呐每个人写的都太让人感动
连开四天  真的不会累死吗 明年必须也这个强度好吗
无限拉长～感觉已经要唱出来！//@TFBOYS-易烊千玺:夏天的长度，在我们的默契里被无限延长，不曾打烊。生日快乐，亲爱的你们。
是我们的盛夏！//@TFBOYS-王源:我们总在夏天相见，也在夏天祝愿，更在夏天里永久。生日快乐，亲爱的你们。
宝宝开演唱会好吗//@TFBOYS-王俊凯:我们在夏天讨论爱与陪伴，许下一个充满温度的心愿。生日快乐，亲爱的你们。
十二周年快乐！（今年是连照片都没了吗）
好久没看到拍出yhx如此真实的帅//@李文__004:帅的我有点胆寒啊..他让我认真了//@vvSev1n:卧槽严浩翔怎么这么帅
好幸福//@时代少年团-严浩翔:❤️ 🥺  🫡 🏆 拿下NO.1🏆没让嘉尔哥失望！//@王嘉尔:😳 🤯 🫨 😱 🫠 找到这首歌的主人了
//@天生歌姬A-Lin:感謝愛我還是他的主唱大人對我的肯定，同框就等我們的歌咯
就这样找糖
有梗//@小瑾马甲:恭喜决赛来女家族：浙来女 台来女 马来女 日来女 美来奻 
评论区笑死我了哈哈哈哈哈哈咋这么好玩呢
八年一直都在的两位//@徐嘉余:那你记得来看//@o张雨霏o:男子混接我不在了哦 不许哭了哦
比十周年好太多
美美美，真好美，啊啊啊
生日快乐SoulBoy Khalil
我服了
好男人只是普通的女人
太萌…
还好不去要不然根本没有一个票价想抢，哪个神经病安排的//@NoCocaNoLife:？大连这个场子很小吗 花980坐到最后一排的是什么冤大头？
就这样承包所有史诗级广告
存档点…
谁起的名。。。。。
恭喜大同得奖
第36届金曲奖最佳作曲人奖： 方大同《才二十三》 ​ 大同！恭喜得奖
啊啊啊啊
我靠
单依纯竟然唱思念是一种病
怎么辱追成这样…
米奇姐给牛仔帽这段真的太萌了
#郑欣宜 歌手补位#first love最喜欢的翻唱版本 ​​​
微博好难得的正常路人评论感谢up
//@贺十四://@江南大野花:转需//@蓝爵Yoyo:转需我设成仅粉丝哈哈哈哈//@这是一个很高冷的ID:好耶//@黄濑濑濑濑:转需//@鹿巻://@星匿回忆录:好耶//@0点09秒:原来评论也能关！//@扭扭卷心糖:爽//@早见杀之:终于找到这个入口了//@献母猫:网页链接 网页链接
哈哈哈哈哈//@姚晨:觉得它笑起来嘴大，有种熟悉的亲切感//@腼腆桃皮:姐当时为啥会买啊
//@时代少年团队长-马嘉祺:娜姐谢谢你！你完全知道作为公众人物所应该承担的责任和压力，但你还是特地来安慰我，真的特别特别谢谢你//@谢娜:小马，你要知道，有很多人爱你支持你，也有很多人在默默注视着你，被你的勇敢鼓舞，更因你的努力而骄傲！也别管一些质疑的声音 ...展开
200块的二专卡唐老师早知道我出给你
好美好
这么好
我会像你一样勇敢 倔强的走自己的路
这个光哥好
俺们解放了 网暴可以结束了
者来女老师还挺好的谢谢鼓励
喜欢这段新加的
小马说饶了我吧
这个光光真的很好
//@NoCocaNoLife:就当以赛代练了 真的每期都越来越进步 越来越自如 而且不同类型都有尝试 对音乐是真正问心无愧 而很多观众包括节目组 是他们不配✌🏿
马嘉祺你真的很勇敢
给俺嘉祺整成简亓了
哈哈哈
哈哈哈哈这么萌
//@歌木木朵:表面风平浪静其实内心死了一万次//@我就是李清华:真没招了//@这是一个很高冷的ID:真没招了//@小der小der:真没招了//@爱吃炸鸡的可小爱:不是我认命了，是真没招儿了
俺来试试啊啊啊啊！
mjq这期歌手真的是最后一期了吧，唱首苦情歌走吧孩子我们回家 ​​​
时间真的太快了
//@时代少年团-贺峻霖:小刘是我的MV弟
//@时代少年团-贺峻霖:谢谢轩轩，我们一起的连胜局就从今天开始吧！
//@时代少年团-贺峻霖:原来21岁第一张照片长这样
//@时代少年团-贺峻霖:我只能说太帅了我们太帅了！！
//@敖子逸:现在先欠着  生日快乐明天当面跟你说
权威的👍🏻✌🏻 六十七个字我们xlp就这样磕如何呢
哇晒！
是的
这个腿我的天
好萌的茄咪
//@雪做的木头:这下谁能分清魔童降世和男团选秀
没让你这么北。。。。 我不会放弃青岛返场的。。。。。。
//@艾一姑:谁的一辈子 查看图片
我真是佩服
妈呀，爽了！马嘉祺真唱光之翼
太高级了
好萌………
哈哈哈哈@时代少年团-丁程鑫:道歉的速度赶不上惹麻烦的速度🙏🏻
美晕谁了
//@不加邮箱铭:像张子墨//@陈一旺_Wang:哈哈哈哈哈哈好神经！！
小马已经一次次闯关成功了
五月天的师弟团 即使两个乐团真的演唱实力都不是那么好 但是青春的感觉是无可替代的
其实我觉得范玮琪和马嘉祺上歌手的处境有很多的相似啊，一样是遭受过很多持续的网络暴力。所以更能看出马嘉祺第一场能交出那样的表演已经多不容易，到底需要多少的练习和勇气。至此马嘉祺态度已经完全表现出来了，我想要听到的白衣黑衣小马、摇滚小马都已经实现，我们还是唱一场就赚一场，能留下舞台已 ​​​ ...展开
（当然原唱也唱不好）太好笑了
//@-小美莹呀:正在吃正版的 刷到了这个 查看图片
可爱啊
美成这样
女王，我会一辈子向你学习
啊啊啊啊初三时候最爱的歌
洗碗盆
妈呀线下的米爆们都是特别好好的宝宝啊
