//@别人家的那些事://@喜脉洗脉:收藏//@羊崽打工日记:收藏了//@巴甫洛夫青年:涨知识了
哭 起来更美味了
@李乃文工作室  @李乃文 几号进组？
@应萝佳 @董润年 @李乃文 能合作吗能合作吗能合作吗
@董润年 @应萝佳
今天去长沙吗？进组年会2吗？@李乃文 @李乃文工作室 ​​​
白客听到了吗
看了和姜武另部剧的cut，忍不住也嬷了一下家1，不要啊！！！！！老乃，离了徐马我都不把你当1 ​​​
徐云峰年纪大了睡不着就任性地把马杰弄醒
已婚了就是正大光明
徐云峰看硬了要求马杰每天晚上都说一遍
谁能知道看到那是一只边牧后的救赎感//@早上多吃点:太委屈了！//@nosiro:饱饱//@pikhailo:妈妈就是他想潜规则我//@梗太秘密缝:给孩子委屈得//@桑榆非晚-SA版:那只边牧总想捅柴柴鼙鼓//@即日黑化:可恨//@疯人院小王子:就是那条臭边牧咬我屁股！！
董润年你不睁开眼
梦到一晚上董润年，跟组跟了整整一部片子，也没说服他把老乃叫来（甚至他把讨厌抽烟都搬出来作为理由了！）最后董润年邀请我去他那边工作，我冷冷拒绝了。 ​​​
@哔哩哔哩弹幕网 @哔哩哔哩智能机  你们是把这当你们第二产业吗？不是的话平台为什么放任？
不敢想象如果李乃文和白客今天一起进年会组我的首页能有多热闹，反正现在都这样了，也懒得谐音了，兢兢业业小心翼翼两年，在梦女嬷嬷两边挨骂也忍气吞声，何必呢？反正贴脸也没什么影响，对社会造成0个后果，那自己爽最重要。 ​​​
@应萝佳 @董润年 意思是除了别安排他们吃嘴子其他剧情能排尽排！！！误会了真误会了……
@应萝佳 @董润年  用一丁点爱把最忠诚最会产出最能让作品源源不断涌现二创活力的群体留下来好吗//@秦戈三千:我调理不好了//@尖锐爆鸣的步冷曲线:你们对得起我吗？？？？//@诶我的饭卡卡住了:@应萝佳 @董润年 你们说句话啊🥲 //@即日黑化:没有的话我真的会疯啊啊啊啊啊啊啊啊// ...展开
啧
这小pg蛋子
写男角色的时候，创伤是添彩是赋魅是活人气息，写女角色的时候，内心活动就是束缚。难怪被骂爱男。
已知人人都知道徐马。一想到清冷客客只要上马杰皮就会想起被徐云峰“优化”了多少回就想笑。 ​​​
这才对
马杰就这样
徐马99
总有人说徐马磕的是纯纸片人，但对我而言完全脱离了乃客味道就少一半了 ​​​
@董润年 徐马姐苦苦等候了这么久真就一点情面不给？
到底谁在在乎一个快四十的男的恋情啊……脱离老头不就是一个令人毫无兴趣甚至有点淡淡厌烦的纯直男，反之老头亦是 。 ​​​
徐马姐太厉害了
连猫猫都是配的
99999999999999999999……
狗狗为什么天生这么亲人？好可爱
我觉得姜秦是甜的，但我磕不了姜秦是年下！老乃那张脸叫哥哥只想给他两巴掌…… ​​​
Bike你老公身材真好//@梗太密密缝:今天是黑白边牧//@早上多吃点:啊啊啊啊啊这身材也太优越了//@几岁都是闯的年纪:OMGOMGOMG//@白了个白_N:啊啊啊啊啊帅晕了
谁还不知道
聪明边牧
@李乃文 @李乃文工作室  莫辜负
第一次因为家0的爱好连带着被精神污染了…… ​​​
香香的
稳稳的家1//@昵称能用什么:好狗狗//@26sekundenfeuerwerk:好靠谱的狗（靠在石壁等待那幕man到我了
家0已经彻底不装了
笑出声//@棍泥跌:？多少？？？？？//@拆可夫船夫:bmi25.56 正常范围但壮实
罗宏明请诚实地面对自己，好么 ​​​
啊
其实很受不了家0和那么“雄性”的人混在一起…… ​​​
客，你说，哎，你这样不曹你曹谁
老徐补补钙吧
徐马真的全方位适配。年会不能停徐马cp超话 ​​​
罗宏明，证明证明白证明，认命吧，和你的娱乐圈老公多搭点好戏不比什么都强？ ​​​
家0拼了命证明自己的直男身，结果各种体位图都贡献给徐马姐了…… ​​​
曹寺马杰好么好的
别看不起五旬老人！
别再造谣lhm很大了
家0这大膀子还要练拳击，第一，真的很直男很直男很直男。第二，心疼老徐。 ​​​
同意，明明勒出来那里啥也没有，怎么瞎说呢！支持百科没有弟弟自由
真的很荒谬
