🐂
车辙傻X玩意儿
✌️#喜欢# #状态# 
只对自己恋爱脑李若彤超话 感情超话 
女王👸作家超话 //@Hey是SuSu啊:真的女王//@Tiger公子://@你别说还真是这样:女王//@胖子很可以:文坛苦没战神久矣，现在成了！//@边雀投江:哈哈哈哈哈哈哈哈哈啊啊！支持全球第一！//@余秀华:我如果不是脑瘫，把你祖宗十八代男人都干废了，诗歌会卖得全球第一！// ...展开
如懿传超话 
自强最重要，谁来干扰幸福跟谁干 ！ 
确实倒胃口 老老老个把登
没错 就是戏耍 知道但就是不做
对，我一个都不饶恕 ！#美好# 
没错 泼是一种能力 当泼则泼 
Yes #不必时刻情绪稳定# 
yes
Yes Yes Yes
#武大回应图书馆事件# 
Ca ！//@刀卜卜://@礼貌毛:转，写得很好，有理有据，我学会了。//@麦卡PU10P:是的。第一时间报警，有没有湿疹就不会有疑问。（虽然就是有湿疹也可以自慰）女生不是太咄咄逼人而是太忍让了）翻供也不会像现在那么儿戏了//@想冬眠的十万:女孩如果真遇到类似事件，一定要报警！！！在录音取证时一定要让对 ...展开
yes !
就是睁眼说瞎话 绝了
真的 他这锅砸的脱口秀超话 
顶
#鸟鸟 熟悉的活人微死味# 
👍
去他妈的护崽护到令人恶心
👍
哈哈哈哈哈 他真的 太自以为是了
以破防彻底…真面目了
！
我去她妈的 ！ 活出自己 ！ 
破大防了哈哈哈 
绷不住了哈哈
他破防了，大破特破，哈哈哈
一百个赞👍
哈哈哈哈哈哈哈 ！#女性# //@桃子与司康:女的张口说话了，仅此而已。//@HH盐烤东海银鱼HYuK:确实。哪里能说就在哪里说
哈哈哈哈哈哈 ！ 谁他妈占了我便宜
哈哈哈哈哈哈哈 ！ 为什么为什么 ！ 
北京线下
会不会有点太帅了 ！ 谢霆锋超话 #成都71岁爷爷香辣蟹硬控谢霆锋# 
脱口秀超话 #脱口秀大会# 
齐心协力#脱口秀# 
👍#幽默# 
杨笠超话 #西安的雨终于终于终于来了# 
👍#脱口秀新人房主任的来时路# #脱口秀# #人生# 
yes
yeah//@白袍法师艾萨克:对，谁受益，谁挨骂。哈哈哈哈哈，你懂的。其实挨骂也是一种历练。我就经常跟我家大妞儿说。要学会挨骂。你不挨骂这辈子出息不了。无数人骂你，你都脸不红，心不跳，该说说，该笑笑，以后才能有大出息。//@富豪小队赚钱小能手:我一直都觉得她这么做就是她爹一直想做的，但是这么 ...展开
yeah//@奔向自由的路:总结应对就是：经常贬低你打击你的远离，无论亲疏，认可你欣赏你的结交。
没错 ！ 
参与建设#自信# 
❤️🤟
#房主任被家暴没有反转# 
大鹏真的很不错 #长安的荔枝电影版# 
👍
正在看 ！ 阿庞加油 ！ 阿庞阿庞，笑穿肚肠 ！ 
死不悔改 ！ 何必要改 ！ 
脱口秀超话 #特别喜欢的# 脱口秀和ta的朋友们超话 #孙嘻艺人做事艺人担# 
哈哈哈哈哈哈哈
完了，太爱杨笠了 ！ #杨笠抵制黄牛# 
“我们要到很多年后才意识到，当年的《奇葩说》，默默推进了多少话题和语言方式的能见度。”脱口秀超话 
太棒了 ！ 
杨笠超话 #不喜欢任何人的感觉真的爽死了# #杨笠专场# //@_香芋小月饼_:我喜欢的是她的那一份清醒和淡然，一种随时可以抽脱名利场的感觉，是她骨子里的自信和坚定，在我的心里她不仅是一个女性脱口秀的先行者，更是一个女战士，她用一次又一次的行动传递给我们，属于女性的未来是可期待的，女性主 ...展开
#上帝视角看世界# //@蓄力鼓风动云:上位从不缺刀，除非尚未，不过想当刀的人从来前赴后继，没有人在之前期间想过后续
#脱口秀和ta的朋友们# 
爱你🤟#女性处境# 
