我开心最重要！ ​​​
知道多惨吗 中午吃不好吃的预制菜 或者面条 或者不新鲜的外卖 晚上回家自己做饭自己一个人吃😔 ​​​
荔枝种植选址与土壤：荔枝喜欢阳光充足、湿润的环境，土壤要求疏松、肥沃、排水良好。选址时，应选择阳光充足、空气流通的地方，避免低洼和河边地带。播种与育苗：荔枝种子在育苗盆或苗床中播种，每隔一周浇水一次，约30天后种子发芽。发芽后，为荔枝苗提供充足的阳光，避免强烈阳光直射。约6个月至 ​​​ ...展开
已连续吃两天泡面了。。 ​​​
说什么 让00后整顿职场 结果呢全靠自己摸索 死群一加就十几个 也没人教导 个个温柔刀致命 天天都在询问 在这个公司精神已不太良好 吃不好 睡不好 我吃包饼干 一下午都吃不完 滚滚滚 ​​​
荔枝种植选址与土壤：荔枝喜欢阳光充足、湿润的环境，土壤要求疏松、肥沃、排水良好。选址时，应选择阳光充足、空气流通的地方，避免低洼和河边地带。播种与育苗：荔枝种子在育苗盆或苗床中播种，每隔一周浇水一次，约30天后种子发芽。发芽后，为荔枝苗提供充足的阳光，避免强烈阳光直射。约6个月至 ​​​ ...展开
荔枝种植选址与土壤：荔枝喜欢阳光充足、湿润的环境，土壤要求疏松、肥沃、排水良好。选址时，应选择阳光充足、空气流通的地方，避免低洼和河边地带。播种与育苗：荔枝种子在育苗盆或苗床中播种，每隔一周浇水一次，约30天后种子发芽。发芽后，为荔枝苗提供充足的阳光，避免强烈阳光直射。约6个月至 ​​​ ...展开
我再也不吃罗森的预制饭了呕 ​​​
好苦好命苦 ​​​
Repost
对不起邻居 我家没有在装修 我只是活的太累了在撞墙哈哈😄 ​​​
我没电了 精力快殆尽了😔 ​​​
#翻新卫生巾#我们女的惹谁了 这种贴身的必备的生活用品都要动手脚 赚黑心钱是会遭报应的 一年比一年贵就算了 还要来欺负我们 ​​​
#苏菲发声明#崩溃。。。420一直用你们家的 明天我去超市逛逛 你最好是不要让我看见包装和视频爆出来的一样 ​​​
想要过上理想生活 拜托拜托🥺 ​​​
不知道我的19岁会开启怎样的新篇章 ​​​
好累好忙碌 但是我精力是充沛的 怎么会这样... ​​​
这个十八岁对我太坏了 一个月后的十九岁让我身边的乌云走开好吗 ​​​
我已经完全理解胃是情绪器官 我完全是一点点也吃不下 不想吃 这几天完全靠着我妈妈炖的山药排骨汤吊着 不然就随着我的感冒和这几天奔波生病了 我好累心态上和身体上 我这几天完全是沾到我小床就想死死睡过去 半夜醒了又睡不着 ​​​
微博有各种各样的bot 我真的好喜欢啊 ​​​
我睡不着满脑子都是…乱七八糟烦死了 ​​​
分享图片 ​​​
隐形带着冒了好多红血丝 我应该去好好休息了 ​​​
谢谢你哦 ​​​
每天要不是清理这个就是清理那个... ​​​
真38了 ​​​
小床我爱你 小被子我爱你 小手机我爱你 ​​​
出门一天了好累 ​​​
我不吃碳水了不要面包面包面包… ​​​
蝴蝶结抓夹夹耳后也特别可爱嘻嘻 ​​​
好喜欢小抓夹啊啊啊啊戴头上特别可爱 ​​​
只剩三格电量 充电宝也没电 我现在好脆弱 ​​​
冷冷的空气 狗狗叫 小鸟声 时不时的车辆声 我就这样睡了一个小时 ​​​
我换号了 终于搬完我的动态了 可是想起 同年同月同日生的那个有缘人 去年认识的 还有一个多月 窝不记得他的ID他也不知道我的新账号 我怎么祝他和我都生日快乐呢😔 ​​​
250210今年生日一定要穿里雾诗之春拍很多很多照片 ​​​250119天气很好的冬日我应该出门晒晒太阳 ​​250104今天晕倒两次 还好立刻蹲下了 不然就是上上次那种扶梯上晕倒 喉咙都是齿痕见血241203我只愿意呆在自己的舒适圈里。 ​​​241202哇现在真是厌食了 一天没吃饭 想着点了麻辣烫 一 ​​​ ...展开
240725 15:00终于和泷、三叶见面啦 念念不忘必有回响 上次看还是在上一次 两人黄昏前奔赴彼此 三叶手心的字是喜欢你 即使没有记忆但我还是记住喜欢你的感觉 最后楼梯再相逢 还是很好哭 就觉得羁绊真的好神奇啊 你们跨越了时空再相见就觉得很温暖 好幸福 😭 ​​​
01:04 1714字 一个小时快二十分钟 我把我这几天所有的情绪打包说出 我已经释然了 我知道遗憾是常事 所以我不会止步不前 希望下一次再把情绪打包时 我想我全程是开心的 不是这样平静的快要窒息 最后 我很幸运我知道还有人会一直在我身边且我还认识了新朋友 总结 这是一场半结果的奔赴
240506 01:09总结下整个五一吧 一号二号下雨？抱着手机什么都看不进 不是和朋友聊你们行程就是刷你们消息 我想着我总要多计划一下 能见到就算是值得了 二号下午临时焦虑了一下 找到了一个同担场外搭子宝宝 幸运的是她是个很好的小女孩 我们都不约而同给对方带了小礼物 我们三号快黄昏见面后 走路了半 ​​​ ...展开
240416 10:11要下不下的雨 一点点太阳在乌云后面映出一点点光 显得乌云密布得更像一个笼子 我头仰着在公交车后排 听风拍打在脸上的声音 细细一看有一丝丝的雨却感知不到 细细再看其实根本没有太阳光只是平常白日的光线 ​​​
240606 01:21我调理不好我的心情 因为我心理承受能力特别差 很多思绪压垮我心里最后的围墙 我无能为力阴暗爬行 特别多难受的事情我都无法坦然面对 可是我必须经历 不能逃避 我只能一段段用文字抒发 一遍遍听伤心的歌 有时候不想哭 是难受郁闷到了极致 只剩一些飘渺的思绪抓不住 ​​​
