一起喝 ​​​
真有意思，都情侣头像了？还说喜欢我？？我说不合适 最后你还把我删了 正好别把这样的渣留给我。我还真心实意的。谈的过程里还找新鲜感呢。搁那问：谈恋爱吗宝宝？我今天看到的不是我说。我傻啊？呵连名字都不说真的，瞎编的理由还以为我信了呢没必要了。正好了 ​​​
我真的不知道遇到哪种人了，反正的概率不是好看的人了对方花言巧语的，要么是海王要么就是没什么人要的奔溃。一直都是我在想象哈哈要不然对方怎么不要照片疯了！一想到对方不好看，我就一点聊天欲望都没有了，以前一直在想一张帅脸啊 ​​​
你很善良，你很温柔，你很优秀，你配得上世间所有的美好.
\长文预警感动是真的​我在做梦吗？不​这样的感觉令我上头，半天就这么过去了​我终于没有孤单落寞的感觉了。​对方永远都在托着我，我的真心换来了细心和珍惜 我要哭了，没哭​可我不能心动，这终将是一场虚拟的对话.虚拟世界中别谈认真。真实世界更不可耽误太多功夫​对方像是ai一样，让我 ​​​ ...展开
运气可以祝看到的人好运爆棚 ​​​
我服了，我妈说我一无是处还否定我报的志愿。。 ​​​
祝我好运
难为别人 ，太恶了
辽宁经济职业技术学院超话 有人要报考这个学校吗   ai给我推荐这个了 ​​​
我爸总把腿搭我凳子上我太难受了，说了很多遍了他好像听不到一样我服了心慌。太烦了我爸对我还没有对我奶好。今天还是父亲节呢。别过了。跟有病似的对我不好，我凭什么对他好 ​​​
老天保佑我有一个好成绩我大学一定尽力学习 好好学习知识和技能🙏老师多给我点分可以吧贬低的话我不在乎，让我快快离开让我难受的人 过积极正能量的人生 ​​​
快考试了我就心慌 ​​​
真好啊我以为考英语，物理是一点都没看昨晚没睡好，早上头晕  也看不了哈哈好了想点好的吧 之后考英语加油哦 ​​​
太要命了果然还是得线下谈，线上肯定要爆照啊！我都不敢点开看照片，惊了这能配吗？请问   我要求高了也许是现在也是没想有结果 ​​​
害呀 到这个时候了 ​​​
除了生死 这一辈子没有一件事可以决定你的一生 ​​​
么么未来的伴侣
擅长小事化大:‑X​焦虑的表现 揪着一个事不放，这事儿也太小了 再说了就是一直想的话，可以解决吗？解决不了为什么要不停想呢 在这样不清醒的时刻会觉得孤立无援 空虚 疲惫不堪 ​易受影响，是别人的错误不要怪在自己身上 别人怎样待我是别人的课题，与我无关​嗯就是这件事 我终于明白了 ​不敢 ​​​ ...展开
这个鼓点让我感到震撼#震撼# 秒秒花妖婆的微博视频 ​​​
我只是想放松一些为什么总想把我送出去我真的不想学习 而且社恐让我很难暴露在人群中很多都不会 不想考试  而且我也不想写作业能学时候就多学习一点这样会让我感到很有压力 我晒太阳了我一想到就紧张、慌张、恐惧我能接受这样的结果的我所想的世界远比现实更夸张所以我能接受结果的 ​​​
好头
#背单词#谁跟我在 不背单词  软件里头背单词 组队一起啊 ​​​
#物理#是光疏角大吧 ​​​
哇天哪 又一个live 呦
感动 ​​​
我要哭死了为什么别人要影响我，我又这么容易被影响一切都好糟糕明明我学的好好的，我爸非要我把手机交给老师不相信我吗？我周末都在担心，报复性的用手机，之后还被我妈贴标签，说我根本管不住自己用手机呵呵我真像他说的了。。。我服了这周作业也没写完，我要被自己逼疯了 ​​​
当今的英语题太灵活了根本不能找规律呀hh ​​​
请周围的人不要吓唬我好吗我是被吓大的 我太胆小了我经常把很多事想的夸张别人一个眼神我都想好多别人没做什么，我已经在预想ta八零我了我真的不想这样被情绪影响之后早睡早起吧 别害怕 别否定自己 别批判自己 认可自己 一切的事情都是可以解决的 你已经很棒了#情绪波动容易影响睡眠# ​​​
太要命了。要命max他说的是我但我不能直接面对这事我一听到这类话题就脑缺血 紧张慌张害怕恐慌恐惧而且我当时知道这事可能是我演技好，我装的太好了 ​​​
对
真的很需要！！谢谢
心烦不想睡觉很拖延恨不得把这个嚼了！！。明天早上还要写作业。因为今天晚上没精神。。没精神呵~看抖音 一直拖延没睡觉啊 ​​​
hhhh
哈哈哈哈哈哈哈哈
果然，复习好重要好久没读语文课文，都忘了山不在高下一句是什么 ​​​
感觉帅炸了#感觉至上##心动的感觉# ​​​
压力大就不会放松，没有了松弛感 ​​​
抱
okok
yes
对的
OK了
是
我觉得 bilibili，我只看收藏就好了不用再给我推送新的了，我也不想看新的内容了最近一直享受娱乐视频的洗礼。没怎么学习，鼓励视频学习视频也是没有耐心去看，公众号以前关注的都是学习的也不去看了  追求刺激就完了。别老跟别人聊没用的  没有意义的  自己以后会后悔的 ​​​
太完美主义了这作业交不了一点心脏右边疼  熬夜熬的。 ​​​
我真的烦了网这么不好啊 搞得我情绪要失控了#情绪# ​​​
#生活手记#看了眼镜子，觉得自己很好看但拿起手机却拍不出应有的美感  好可惜碎碎念超话 ​​​
#生活手记#嗨害嗨 第一次发现左滑可以发微博嘻嘻诶微信输入法超级好像很费劲  如果打错了拼音，还要删了重新打字呢  别的有的输入法就可以编辑拼音不过我觉得没啥大影响的  有点缺点才更加感觉真实嘛#微信#碎碎念超话 ​​​
#刘晓庆#
#梦##恋爱##帅哥##小时候##怀念##感慨##人生感悟##美好#碎碎念超话我真是想谈了！！🤣梦里梦到小哥哥了：从后面趴到我的肩膀上，趴了两次 好像我们很熟的样子 我天呐帅气的脸庞一下把我吓到了，(陌生人这样确实是挺吓人的)当时应激反应把他脸扭扭到旁边了（趁机摸了摸瓜子似的下巴），（帅气 ​​​ ...展开
果然，人要定时才有紧迫感，要么还胡思乱想。 ​​​
看似贬义，实则褒义
家永远是最好的港湾我爱你妈妈 流泪了这样我就更不想去学校了呀#生活记录##记录生活记录爱# ​​​
电影
放假了哈 太好了#此刻打卡# ​​​
我最爱我自己
成功成功
看书
活简单的生活
旺
救自己
论文
赞心态 不焦虑
变美
nice
好耶 #此刻打卡# 棒呆了！ 绿洲 ​​​
单词打卡，🏁 墨墨背单词打卡 Day 159💻 累计学习单词：428 个📅 今日学习单词：43 个🕙 今日记忆次数：115 次🌟 今日重点单词：privileged adj. 有特权的；特许的；保密的#学习##返校季##学习打卡# ​​​
打卡–英语单词🏁 墨墨背单词打卡 Day 158💻 累计学习单词：402 个📅 今日学习单词：34 个🕙 今日记忆次数：82 次🌟 今日重点单词：registrar n. 记录员；登记员；教务主任#英语##学习##返校季# ​​​
嘻嘻小狗小狗
🆗
哈哈哈哈哈有点好笑
一想到成绩就烦。。下回谁再问我成绩，我就…V我1000告诉你，这是另外的价钱，你这么问是想让我难堪吗？不告诉你。忘了。考的不高也不低。考的好的分就高，好的差的分就低。最高分的科目就是最高分。哪个招生就读哪个。哪个专业能报就报哪个。成绩嘛，就让它随风去吧！成绩？就那么回事儿吧，别问 ​​​ ...展开
家人们，求助这个怎么安上去#求助# 谢谢 ​​​
避雷这个橙色的，我感觉跟钙片似的，不太想吃 ​​​
希望mbbk能把我录取，祝愿我有好的大学生活好专业好工作，祝愿我祝愿我祝愿我祝愿我祝愿我#闲言碎语# ​​​
考证时间
拒绝内耗，抵抗干扰！ ​​​
高考考的最差的一次。公布成绩的时候还好开心的，还以为自己真是幸运之星啊。。结果是题简单？或者别的其他原因的？分数都很高。我们省的分数都很高。今年的复读生很多啊，但这不是理由的我觉得原因就是模拟考试之后大家都学习了，都很认真，很努力。我那时候还在晚上熬夜，没有意识到重要性。白 ​​​ ...展开
✔
✔
可以
👍
人生就是玩儿，就是用来体验的 ​​​
万物不为我所有，但万物皆为我所用。体验的意义就是不断的去增长我们的智慧 ​​​
万物不为我所有，但万物皆为我所用。 ​​​
太恐怖了，梦见自己不受控制了。做一大堆错事。。 ​​​
黑格尔说：“有嫉妒心的人，自己不能完成伟大事业，便尽量去低估他人的伟大，贬抑他人的伟大，使之与他本人相齐。 ​​​
我也真是醉了，出去买大酱，结果买了一大堆好吃的，忘拿了，没付钱反正，没事，现在又去买去 ​​​
世界上根本没有感同身受这回事，针刺不到你身上，你永远不知道有多痛。 ​​​
改善心理健康
我们千万不要被所谓坏的风气所感染 ​​​
分享图片 ​​​
美
#bilibili# Gingery易姜的视频为什么说金玟庭开口即战歌起 太牛了冬冬 ​​​
转
很喜欢听张星特唱歌，我觉得很治愈刚才听了他唱的像风一样！#张星特唱歌#张星特超话 ​​​
勇敢不是不害怕，而是害怕的时候仍然前行。面对困难和挑战，不要退缩，勇敢地迈出步伐，才能成就不凡。 ​​​
人生没有彩排，每一天都是现场直播。所以，珍惜每一个瞬间，用心去体验，去爱，去生活。因为今天过去了，就永远不会再来。不要因为结束而哭泣，微笑吧，为你的曾经拥有。每一次的失去，都是为了让出位置给更好的未来。所以，抬起头，勇敢地迎接每一个新的开始。 ​​​
路遥知马力，日久见人心。不要轻易对他人下结论，时间是最好的检验者。与其急于判断，不如静观其变，真正的友谊和忠诚，经得起时间的考验。 ​​​
