回复@用户7976947283 的表态:谢谢关注点赞
回复@Michaelluca2888977888898669857 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@李杰58259 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@用户7984726874 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@547987家和万事兴 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复 ...展开
回复@张炜3456785 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@547987家和万事兴 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@HuBashan:谢谢关注点赞//@HuBashan:
回复@爱德华卢1 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@李杰58259 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@用户7984726874 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@547987家和万事兴 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@HuBashan:谢谢关注点赞// ...展开
男人内心的担忧：害怕失去你男人啊，即便他对你不再像从前那样热情洋溢，心底依然会有种害怕失去你的恐惧。你知道为什么吗？其实，每个人对失去都有一种本能的抗拒。即使面对已经不那么喜欢的东西，一旦真的要失去时，还是会感到焦虑和后悔，这就是心理学上的“损失厌恶”在作怪。如果你感觉这个男 ​​​ ...展开
回复@评论罗伯特:谢谢关注点赞//@评论罗伯特:原来心理界限就像一道防火墙，既能保护自己不受伤害，又能让我们在人际关系中游刃有余，真是个好东西啊！感觉自己又get了一个新技能
你的早餐吃什么？心理学家说它能暴露你隐藏的性格A. 经典煎蛋吐司配咖啡如果你的早餐通常是经典的煎蛋吐司，搭配一杯热腾腾的咖啡，那么你可能是个充满活力且目标明确的人。　　你喜欢有规律的生活，注重效率和时间管理，不喜欢浪费任何一分钟。　　你有较强的自律性，总能在工作或学习中设定清晰 ​​​ ...展开
分享心理学小知识 ​​​
那些看似正常却在摧毁亲密关系的日常行为！一、&quot;我都是为你好&quot;：以爱为名的情感绑架凌晨2点还在修改伴侣的PPT，强行给对方报名健身私教课，在对方明确拒绝后依然每天准备&quot;健康餐&quot;——这些披着关怀外衣的控制，正在制造心理学上的&quot;白熊效应&quot;。心理学家丹尼尔韦格纳的一个实验要求参与者尝试不要想象 ​​​ ...展开
回复@Wilsonscott19 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@老刘00362 的表态:这谢谢关注点赞
回复@老刘00362 的表态:这谢谢关注点赞
回复@老刘00362 的表态:谢谢关注点赞
回复@海洋祝福可爱 的表态:谢谢关注点赞
发现那些真正被爱着的人状态真的很明显！一、笑容是爱的晴雨表：积极心理学的视角 真正被爱的人，笑容绝对是标配！而且这种笑容是由内而外的，充满感染力。这可不是随便说说，积极心理学告诉我们，积极情绪（比如快乐、爱）可以提升个体的幸福感和心理健康水平。二、安全感：依恋理论的完美诠释  ​​​ ...展开
回复@用户7984726874 的表态:谢谢关注点赞
焦虑的时候，这样做就好了~当焦虑像不速之客叩响心门时，绝大多数人的第一反应是用力关门。我们试图用刷短视频麻痹神经，用暴饮暴食填补空虚，甚至用愤怒转移注意力。这些本能的防御机制就像在漏水船舱里拼命舀水，只会让人愈发疲惫。日本森田疗法创始人森田正马提出的&quot;顺其自然，为所当为&quot;，正是 ​​​ ...展开
为什么越讨厌父母，却越像他们？心理机制的镜像复制弗洛伊德提出的&quot;强迫性重复&quot;理论，在当代脑科学研究中得到了印证。当个体长期暴露在特定行为模式中，大脑基底神经节会形成固化的神经回路。就像在松软的雪地上反复行走会形成难以消除的路径，童年时期父母的行为模式会在神经突触层面留下深刻印记 ​​​ ...展开
孩子总是“笨手笨脚”？当心感统失调悄悄影响他们的成长！感统失调是指孩子的大脑无法有效处理来自五种主要感官（视觉、听觉、嗅觉、触觉和味觉）以及身体感觉（如前庭觉和本体觉）的信息，这些信息原本应当被整合后传递到大脑，用以帮助孩子做出协调、平衡的反应。　　家长需要关注孩子是否在以下 ​​​ ...展开
回复@John_lee_16 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@用户7984726874 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@李杰58259 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@用户7984726874 的表态:谢谢关注点赞//@张俊嘉_职业心理咨询师:回复@547987家和万事兴 的表态:谢 ...展开
