//@找不着鹿:“它不知道自己怎么了，以为吃点东西能好点”
//@她们的武术俱乐部:非常傲慢的老登行为，生态女权主义的理论在这件事上体现得尤为具体和透彻：父权制与资本主义对自然的剥削，与对女性的压迫是同根同源的。
入选我人生中绝对最恶心的事之一
好可爱🥰
当然可以！完全可以！
无径之林，常有情趣；无人之岸，几多惊喜；岸畔崖间，鼓涛为乐；无人驻足，是为桃源；吾爱世人，自然甚之。 ​​​
笑死了
我是这样的
大受震撼
牛
自我意识过剩哈哈哈哈
666
画的太好了🥹
轉發微博
轉發微博
😶‍🌫️
买票准备冲了！
轉發微博
轉發微博
轉發微博
呜呜
//@木火通明mm:世界是男人们的摇篮，女人生下来必须是母亲
//@太阳之女NANA:我对这个世界的恨//@黑色赛博人质:说个冷门的，爱因斯坦的相对论很大部分贡献来自于他老婆，他老婆是个数学家
轉發微博
轉發微博
轉發微博
轉發微博
😂//@摆烂且瞌睡:我第一反应：莫欺少年穷，莫欺中年穷，莫欺老年穷
轉發微博
轉發微博
轉發微博
轉發微博
说得真好
典
再见20242024vlog 只愿活一瞬间的微博视频 ​​​
轉發微博
不要自证
是这样的//@说起葱茏意_4:👉//@huahua66ye: 女性照顾惯了别人，知道有多苦多难因而不愿子女吃这份苦也怕人嫌厌:男性没有照顾过人是被照顾者，因而理直气壮享用，也无怕嫌的顾虑
生命成了我们唯一的武器…//@一川月白lina://@枯藤老树昏头鸦:用生命来抗争的女性
他爹的！
轉發微博
轉發微博
//@方格_:梦呓与歌声
轉發微博
轉發微博
“其实男人阻碍女性进步的手法一直都很“直给”，朴素又默契，愚蠢到不像过了脑子的。但胜在坚持和无耻，因而往往能产生误导的魔力。”确实如此
hhh
好美
我真的服…玩星露谷玩疯了记：2024被迫失眠 ​​​
