#近五年爆过雷的卫生巾品牌#到底还有什么能用啊 ​​​
#方大同去世#李玟 大S 方大同。。。真的震惊 非粉也觉得可惜 ​​​
#零胜冠军#见证历史了  ​​​
#On失误#On快去参加T1庆功宴，你没去哪有人敢动筷啊 ​​​
#On失误#真有你的  ​​​
#杜海涛李佳琦淘汰#杜海涛终于淘汰了！ ​​​
#杜海涛 难听##杜海涛什么时候淘汰##杜海涛##披荆斩棘# 自己退赛负荆请罪吧  早安实惨 ​​​
#杜海涛什么时候淘汰#披荆斩棘大皇子  到底是谁在给他投票？？？？？？？ ​​​
#苏炜德##奥运会##奥运奖牌榜# 从不看篮球 今晚守着电视为法国女篮加油，​这届奥运会真的意难平，为张博恒碎了无数次。只想说 ​永远可以相信梦之队！中国运动员们好样的！  还有 苏炜德下次别上了  ​​​
#苏炜德#你对不起队友，更对不起国家 @苏炜德dddd ​​​
#美国女篮vs法国女篮#苏韦德你赶紧祈祷法国拿下金牌 ​​​
#张博恒没站稳#今天又是为张博恒意难平的一天  我又又又又碎了一次 ​​​
#张博恒分数 低#真的意难平。裁判日本人？ ​​​
#体操男子个人全能决赛#我又碎了 ​​​
#体操男子个人全能决赛#张博恒 这届奥运会我的意难平。难度分比日本高那么多 落地那么稳还能输 ​​​
#王楚钦看着拍子摇头#@WTT世界乒联 那个踩坏拍子的无良记者人肉出来没有 ​​​
