下沉时代最宝贵的是心力
啊啊啊pan sexual也没几个人认得全字xs
断断续续看了这么多年浪姐，最喜欢的就是你啥叫王者风范大将之风，小李晟未来会更好
很好听顶顶好的二哥
嗓子状态可能不是很好，但是唱的很有生命力
转发了…期待拿巴尔老师多多分享
“历史不在于事件的惊天动地，而在于长久的结构之中，人如何试图改变。”//@诨名唤作巴布尔:推荐大家去看看B站今年五四的纪录片《消失的青年》。没有喧嚣的口号，也没有完美的答案，却有真实的挣扎、探索与回应。在未老先衰的时代做一个青年不容易，我们被推着前行，被焦虑定义，被效率衡量，但每一个 ...展开
叫兽易小星留几手使徒子小熊猫银教授这波人是当时微博时代最潮的弄潮儿，那个时候流行长图和段子，后来有几个在公众号时期也活跃了一阵，有些十万➕的帖子，再后来有些网红卖了号，还记得当年有个外卖小哥记录送外卖时候的趣事，现在都变成了营销号了如果说八零后这波人是贴吧时代的主力军，那九 ...展开
//@丝绸尾巴第二季:爱是一种劳作，对。我特别赞同，对生活投入过热情，消耗了身体，在我们获得真正的疲劳时，爱会让我们感到休息//@兰波诗中死:爱是一种劳作，要认识自己，并相信自己能唤起别人的爱。我觉得每个人都应该去翻一翻弗洛姆的爱的艺术，读过后真的受益匪浅，我的人生之书
精彩绝伦🤣🤣🤣是旧社会借尸还魂还是新自由主义无限扩张
现在对这个话的理解是在最年富力强的时候做自己最想做的事情，如果足够幸运的话每个人都有自己的calling，在做精力充沛且智识过关的基础上完成它们
性少数群体在体制内生存、且还想在这个系统内继续上升，这俩需求就是背道而驰的。更何况学术界实际是靠名誉声望背书的系统，符合主流标准是隐形的上升门槛之一反正不管怎么样，在权力不平等的情况下寻求真爱就是笑话，以及这个事件中的异性恋女及未成年人才是最终受害者// ...展开
//@松生空谷1111:分辨自由与自私的异同是这个时代课题。
李安来了都想再拍一部喜宴
怎么一晃眼，就到了听懂这首歌的年纪 ​​​
看了第一期，这才是我想象中的少年成长与中国农业的节目🥹 不仅有人文关怀还很有艺术感，还手持摄像，你拍纪录片呢杨导🥹
//@CyberZhiqi://@ieaber:转//@陈生大王:再转。//@猫撞:再转。//@我又有一些真知灼见:刚才那条被删了//@顾不厌://@麦卡PU10P://@贫困生活方式博主://@罗赛迩:#百色祈福高中唐毓文#
一直觉得千嬅听着太痛，要耗尽所有力气。吴雨霏太卑微，祖儿太飒，关淑仪太缱绻。卫兰的感觉刚刚好，冷静自持清醒，明知是残酷游戏明知兄妹无法长久，自我意志的沉沦后又给的点到即止，第二天还能剖析一番：你有多大量 未敢领我的情？
后现代拼贴全景敞视春晚//@黄小邪看电影:“镜头切换太快，甚至没有记住上一秒画面的时间，声音效果越加复杂，仿佛要往耳朵里塞满各种各样的体验……甚至连完整地看完一个节目的要求都已经过分。实在是太丰裕了，病态的，畸形的丰裕。  事实上，五官感觉承受不了这么多高密度的刺激，丰裕的反面是匮乏， ...展开
张桂梅，王铁梅，顶天立地大女人😍谁说我们中女没有自己的解放日志。不管你在华坪还是在上海，不管你是60岁还是30岁，在宇宙中心呼唤爱还是坚决的独身主义，上桌吃饭、自我解放以及女性连接，当然还有和男性建立一种更超越传统性别视角的人与人之间的照亮。看了觉得全世界都是好东西以及明天会更好? ...展开
继拼好饭之后，中国人又进入了拼好药的时代。以后挂门诊看医生先说一句少开中成药😬
好可怕，上一次听这首歌应该也是近十年前了
也許生于世上 無重要作為 仍有這種真愛會留低🚬
一些世界大同的幻象短暂的在redbook出现，分裂世界的到底是那些政客🤬//@阿那个瑶:巴别塔如同泡泡一般再度建立了……互联网当初第一句是hello world，这或许不长久，但是真实存在过
现在想想2000-2010确实是黄金岁月，玫瑰色年代。选曲停在那个时候挺好，再往后就没意思了。生活在下行年代和上行年代的人精神面貌大相径庭，谁能料想到时代变化得这么快？ 周传雄唱黄昏，即便是唱“黄昏再美也要黑夜，黄昏的地平线划出一句离别”也有千禧年间那种即便受伤失落，第二天太阳照常升起的信 ...展开
最近几年深深感觉到秩序的崩坏
好有意思，如果说左宗棠鸡是移民美食，那pho就是逃难美食吧
热烈地活热烈地死琼瑶阿姨走好
好精彩
说再见之后是再也不见，欲买桂花同载酒，终不似少年游……
邵艺辉竟然是红拂夜奔不复还突然觉得11年那个时候的江湖儿女真的长大了，对抗不仅是姿态还是根基，不仅毁灭一切还创造一切🫡//@邵艺辉:写得好好。我剪辑的时候突然意识到，片里怎么这么多对不起，每个人都说过//@郭玉洁:为《好东西》写了一篇评论。写的时候想，新一代女性创作者 ...展开
我们小利好是真的好适合这首歌
竟然是我小花姐颁奖我们十勤也是好起来了
173大美女就是风姿绰约～
什么时候能等到一个这种古装角色，宫二的那种
老公姐你…别太有味道了
老师还是保守了，就是民粹
太阳底下无新事 ​​​
