好巧！我最近也在看她的表演。女喜剧人Amy Poehler的访谈节目Good Hang，邀请她的那一期，女儿Zoya作为场外嘉宾。母女之间对彼此的支持和自豪，溢于言表，特别动人。“We're close and trust each other.&quot;
"Il est vrai que nous n'avons pas besoin de suivre strictement l'horloge sociale.D'ailleurs, cette horloge n'est pas une norme établie par quiconque: elle reflète simplement le fait que, pour la plupart des gens, les grands événements de la vie se concentrent naturellement à cert ​​​ ...展开"
"Quand j'étais plus jeune, j'avais encore un léger souffle de curiosité pour les ragots. Mais ce n'etait pas vraiment des ragot: c'était plutôt l'envie de connaître davantage les choix de vie des personnes, pour mieux comprendre qui était celui ou celle que je croyais connaître. ​​​ ...展开"
"J'ai vu une amie dire que son mari est un partenaire de type père sévère, et cela m'a mis très mal a l'aise.L'humanité n'a pas besoin de père sévère--ni au sens biologique, ni au sens métaphorique. Un père sévère, c'est une manière d'embellir quelqu'un qui impose sa volonté pou ​​​ ...展开"
"Hier, je suis tombé par hasard sur le film Secret Sunshine de Lee Chang-dong, et je suis testé longtemps troublé après l'avoir vu.Pour préserver ma pleine conscience, j'ai décidé de ne plus absorber d'informations qui ne me concernent pas directement.Avec le recul, cela na s' ​​​ ...展开"
"Lorsque Naughty Dog a procédé au second remaster de The Last of US Part I, ils ont placé Ellie au centre de la couverture, reléguant Joel à l'arrière-plan, voire l'effaçant entièrement: dans la version Complete, elle est seule sur l'affiche. J'aime beaucoup ce changement.L'hist ​​​ ...展开"
"Les grands groups agroalimentaires ont infiltré la société entièré avec leurs produits nocifs, aussi bien en Orient qu'en Occident. Acquérir des connaissances suffisantes sur l'alimentation saine, c'est presque faire un master. Et même avec ce savoir, il rest difficile de se proc ​​​ ...展开"
"Les étagères de cuisine ne sont pas les mêmes que celles de la salle de bain: les étagères posées au sol diffèrent des modèles muraux: les crochets collés sur le réfrigérateur, au mur ou derrière une porte varient selon leur usage. Le rangement d'un bureau n'est pas celui d'un pl ​​​ ...展开"
"Je n'aime pas ce travail qu'est le shopping. Le faire pour les autres, c'est vivre en étant constamment attentive à leur besoins, les satisfaire, les ménager. Le faire de temps en temps peut être un geste d'affection: la faire sans cesse, c'est exclave. Le faire pour soi exige un ​​​ ...展开"
"Vivre, c'est faire face à une prolifération in cessante de besoins d'achat: le réapprovisionnement des consommables, l'acquisition de biens durable, l'entretien du quotidien, l'amélioration des fonctionnalités...Partout, tout le temps, surgissent de nouveaux besoins de shopping. ​​​"
"Je n'aime pas faire du shopping. Ni comme un plaisir féminin--acheter des vêtements, des sacs ou des chaussures--ni comme une corvée quotidienne: acheter du nettoyant pour toilettes, du velcro ou de épices. Dans toutes les tâches ménagères, c'est celld que j'aime le moins. Les co ​​​ ...展开"
"Alors, il vaut mieux préparer un peu moins à chaque repas. Mieux vaut avoir encore un léger creux que de laisser des restes. C'est la seule façon de goûter pleinement la beauté de la nourriture: fraîche, éphémère, précieuse. ​​​"
"La nourriture semble toujours meilleure quand elle est fraîche( c'est vraiment une phrase inutile, il n'y a même pas besoin de le ressentir). Les plats préparé dans la journée sont un pur plaisir à déguster, et même les restes, je n'ai pas la cœur de les jeter. Ce n'est pas par  ​​​ ...展开"
"J'aimerais instaurer de nouvelles habitudes. Non, pas une, mais deux.La première: dans ces instants fragmentés, vides, ennuyeux, je veux consacrer ces interstices à des exercices de respiration ou  à des mouvements pour assouplir les omoplats et les hanches. Que la perception e ​​​ ...展开"
"Quand on n'a pas trop mangé, que le ventre reste plat, que le corps est léger et que l'esprit est clair, cette sensation est tout simplerment merveilleuse. ​​​"
Devrais-je aller à Hong Kong ce week-end pour voir « Le Procès Impossible ». Cette question me tourmente depuis longtemps.Les raisons d'y aller: c'est sans doute le sommet absolu de comédie musicale chinoise originale; je suis très confiante quant à sa qualité.Les raisons de  ​​​ ...展开
"Hier, je suis tombée sur une expression que j'ai beaucoup aimée: écomomiser son cerveau. Le cerveau, tout comme l'estomac, a besoin d'être protége: il doit recevoir une nourriture soigneusement préparée, et non absorber au hasard des stimulations de qualité incertaine. Écomimiser ​​​ ...展开"
"Je suis déjà assez satisfaite de ma structure alimentaire actuelle. Ce que je souhaite améliorer, cÉest:1. Ralentir le rythme des repas--prendre le temps de savourer pleinement le goût naturel des aliments, mieux percevoir la sensation de satiété et ainsi éviter d'ingérer un vo ​​​ ...展开"
