你有多自律，就有多自由！那些能让你真正成长的事，都不会太舒服。坚持下去，就会带来蜕变。坚持自律，才是最酷的事！ ​​​
美丽动人 ​​​
人生只是一个过程，可悲的是它不能重来，可喜的是它也不需要重来伍倩超话张小娴超话 ​​​
不再提起只是因为不知道该怎么说了，分不清是愧疚、是自责、是后悔，还是无奈了 小小的人儿198411的微博视频 ​​​
暑来临热难挡，潮湿闷热紧相随，当空烈日最最毒，切莫大意防中暑，送你一句小贴士，多食蔬果少出门，愿你小暑享清凉，开心度夏乐无忧！ ​​​
我行过许多地方的桥，看过许多次数的云，喝过许多种类的酒，却只爱过一个正当最好年纪的人 ——沈从文 ​​​
别人怎么看我们不重要，重要的是我们怎么看自己；别人喜不喜欢我们不重要，重要的是我们不要讨厌自己。活得安心，活得快乐，做真实的自己，就好。生命里所有经历的人和事，都是沿途美不胜收的风景。静心领略它们，就是领略了人生醇厚的韵味。所以，我们每个人都应该给生命一个坚强的理由！因为，人生所 ​​​ ...展开
推开自己喜欢的人叫成长，留住自己喜欢的人叫本事。总有人嫌你不够好，也有人觉得你哪都好。不用踮起脚尖，爱你的人自然会弯腰。—— 杨绛 ​​​
