我就是那种躺了一天，还会说好累的人 ​​​
还有谁不知道我是甜妹受死吧! ​​​
 ​​​
日有小暖 岁有小安 ​​​
心诚能抵三千敌 ​​​
当你的认知越来越高时 你会开始真正理解身边的每一个人 没有好坏 没有对错 只是处在不同的能量频率中 是化出不同的状态 做出了不同的选择 有了不同的语言和行为 明白到了这一点 你就会生出真正的爱和慈悲 你就会接纳 包容 善待 允许一切的发生 才是真正的强大#生活手记# ​​​
结束了一天的疲惫躺在床上的感觉真好安静的玩着手机很累却不想睡 熬的不是夜是短暂的自由白天归顺于生活晚上臣服于灵魂只有睡前的这一段时间才真正属于我自己 鬼鬼爱吃猪大肠的微博视频 ​​​
或许一个人走 会更浪漫些 ​​​
Idon 't care，想发就发 ​​​
