都老都喜欢看长腿跳舞 喜欢听低音炮唱歌 ​​​
wlj把mzc的照片作为壁纸这件事情，我已经连磕了三天。。。。 ​​​
免疫力下降了😷😩居然一天没拍照想学画画了 ​​​
转发
大晚上让我磕到两对特别好ke的cp 这是福是孽 ​​​
感兴趣的培训和课程完美重叠，下午那节课虽然学不到什么东西，但是那天恰好要汇报非常有意思的户外活动和聚餐对冲喜欢的、有意义的活动和晚课完美重叠...... ​​​
十分波折的一日 ​​​
讨厌世界小小的感觉 ​​​
不知道是班车取消了还是我太投入打电话错过了班车，总之没有赶上回校的最后一趟班车。十点的北四环人不是很多，一个人在这个巨大的空间显得落寞和孤单。搜导航，回校还有地铁+公交或者打车的方法。虽然担心公交时间时间来不及，可是还是想试一下。于是骑车赶去地铁站。和晚上逛的商场是同一条路。但是 ​​​ ...展开
哈哈哈//@jagaimotatop:艹//@九川肆:笑的受不了//@暴躁七宝:我他妈哈哈哈哈哈哈
喜欢上课 可是希望慢慢去批判 ​​​
diy了新课表 满意满意满意明天的课😚期待喉咙有点肿 要生病了😷今天duangduang喝水 ​​​
甜菜//@严艺家:2025年最佳危机公关创意不颁给原博我是不答应的//@JoannaBlue://@无边桃炎:笑死我了，而且「贾国龙」刚好对「蔡国强」，进一步可以「国与国」对「华与华」，一切都是刚刚好
mark明天看//@水野空生:诸位，别一开始就放弃思考…
弄弄//@仄四森莫://@超级恩恩干爆地球:🥺🥺🥺
现实才是真的//@Theorois:So true
mark明天看
很多细节的学校 喜欢跑步 养生 学习 社交明天要上课啦！！！！想一下怎么听课 ​​​
天 明天听//@关于我爱你z:接粒追星运
需要听一首粤语歌缓一下 ​​​
刷刷的讯息让我想起了那个金色的下午和惬意的晚上，一切都是那么美好🥹🥲🥲🥲🥲居然哭了 ​​​
新朋友去地坛书市送我的电影明信片，还有一个奶疙瘩。特别嗨的迎新晚会，给大家拍照片，有几张我特别满意！刚到操场的时候听到了好听的几分之几😢我分不出来到底是原唱还是翻唱。遇到了好心人帮我们全程录像（所以我才能去拍照hh🤣）奇怪的辣椒设计 有创意汪小姐说豌杂面很好吃 尝了一下真的很 ​​​ ...展开
重新用了notion 看到了某个角落里面的内容，这应该是一个师姐给我们比赛ppt的建议 真是很用心了，，，也要成为这样的人 ​​​
这个调调真好看
微博略刷刷不完了 明天再看这两天的自习场地 喜欢😍我是铁桶僵尸妈妈和老妹给我寄来的小狗 ​​​
今晚有质的飞跃！！！特别棒！！！奖励自己明早好好吃清淡健康的食物（🤦🏻啊啊啊啊啊！！！加油今晚和新舍友聊了许久，虽然是我输出的比较多🤦🏻跟她说也是对自己的回顾诶还是好人多……希望美好的人儿都和我做朋友，期望身边都是好人儿在北京，办公交卡的师傅给我发的语音转文字都能转出 ​​​ ...展开
好可爱//@杨絮飘飘Bright:好可爱//@美琦子:蓝莓蛋糕
太美了
中间或许需要的是相信和坚持  我看的你就是我理解的你，我看见的世界就是我相信的世界
谁能懂我看见这本书的时候的感动🥲新城市新图书馆凭着直觉寻找到了！ ​​​
再次坐到这个地方，面对的是更大的挑战。巧了，我就是喜欢挑战。 ​​​
跟2、4这两个数字真有缘！ ​​​
在校自习三次 分别位于三个不同地方 ​​​
这样的体验真有意思 失去了可能才是遗憾
眼前一亮又一亮
转发
那年今日折叠了许多的我，在新地方新起点看到这些令人恍惚 ​​​
成熟仍需时间🥲🥲//@Hide-and-Seek2025全新版:exactly……又是最爱的米米哲学小课堂环节！
memory in Shenzhen开始喜欢这个城市，但是总觉得不宜久留 ​​​
憧憬 期待 迷茫 激动 平移 星星 自然 冲击 家 全新 原木色 暖白灯 撞色 热烈🔥当下的关键词特别喜欢机场，像是一个井然有序、敞亮美好的小社会。南航，一种南方的感觉，小而美。喜欢得很多，不知道什么是最？那或许都很好？第二季beginning⛽️ ​​​
这张海报好美//@吃飽飽準備上課:整的我想2号就到了
hey！life
啊 好喜欢
好棒的爸爸妈妈
明天看
和一位网友结束了大概半个月的每日英语口语练习。很开心的经历，分别的处理也非常妥善。对方是一位非常自在的人，不焦不急，不追不赶，任何回答可以很严肃很正的问题，他都可以很随性、飘淡地回答，却不会让人有随意、浅薄的感觉。他常常给我一种这样的感觉——原来生活还能这样、原来人生可以这么过、 ​​​ ...展开
