#张杰未live开往1982巡回演唱会#怎么会拍成这样 （别骂我 ​​​
💙🩵这条路我走了21年  舞台越长 离你们越近 #张杰##张杰未live开往1982巡回演唱会#张杰演唱会超话#鸟巢# ​​​
Repost
孤独 是无解的命数 ​​​
跟同龄人比起来太年长 跟年长者比起来又太年轻 ​​​
春天 ​​​
