有时候真的很感慨 即便我是一个不那么完美的人 却是一个被爱包围着的人 身边有一群很好的朋友 她们都在以她们的方式爱着我成为我的光 带给了我无数感动和幸福 说的话有人回应 琐碎的小事能被照顾 一直很庆幸 遇到她们 不管她们是只陪着我曾经走了一段路。还是会继续陪我走很久很久 在我看来 他们就是我 ​​​ ...展开
我讨厌冷暴力 ​​​
化完妆也不敢和别人对视 总是在意额头鼻子有没有卡粉 假睫毛有没有翘边 双眼皮贴会不会太明显了 腮红和鼻影会不会太重了 每次化妆都像一个装修工程 我需要14.5的美瞳 夸张的睫毛厚重的粉底液 相机里的美颜才可以组成一个不错的我 唉 要是皮肤可以再好一点就好了 要是我在漂亮一点就好了 要是有人喜欢我 ​​​ ...展开
最美的是刚认识的那时 还不了解却又想赶快了解彼此的日子 最难的是最相识的那时 不想伤害却又想离开彼此的最后 人在将爱时最心动 也在将分时最折磨 ​​​
我无限爱着新的一日 新的太阳 新的月亮 新的海 ​​​
分开后的某天换了一种新的洗衣液洗完后总感觉味道很熟悉原来是你的味道突然感觉好痛会想起曾经我们的一点一滴算了不恨你了你以前对我最好了我想之后我应该要彻底和你说拜拜了 ​​​
如果我的爱变成你的负担 我会勇敢迈出离别的第一步 ​​​
爱与自由三七分 ​​​
许愿以后拥有的爱是与日俱增 是一生都能对我轻声细语说话的人 ​​​
人有三万个明天 拐个弯 和自己和解 ​​​
只今只道只今句 梅子熟时栀子香 ​​​
我确实不是一个很好的人 遇到事情习惯冷漠 我常常要求别人打直球 可是我却做不到 更多时候是那些话我说不出口 如果非要我说的话 我一定会委屈想哭 我本就是一个敏感的人 会在意细节 很容易患得患失 如果感觉到对方语气和行为冷落我 我就会胡思乱想 我会深深怀疑自己是否被爱着 我喜欢试探 尽管我知道这 ​​​ ...展开
我一直觉得自己足够强大  觉得自己可以独当一面 就算遇到再苦再难的事我也只会红红眼眶 把眼泪憋回去 但直到内心防线濒临崩溃 我会爆哭 事实上我一直都不是什么坚强的人 我假装不在意 可每当我一个人的时候 那些突然来的耳鸣和坏情绪会铺天盖地的把我卷进去 好委屈 在每个无助的瞬间 我都在无限后退 ​​​
未来不足惧 过往不须泣 ​​​
幸福的秘诀是 在拥有苹果时 只在意苹果 ​​​
一直做自己 直到有人爱完全的我 ​​​
往者不可谏 来者犹可追 ​​​
我会永远保持心脏跳动 因为总有人会与我共鸣 ​​​
如果有一天我们足够了解 那我告诉你我左耳三个耳洞的意义 ​​​
人须具翻篇之能困于往昔恰似作茧自缚 画地成牢 ​​​
此刻 来年 都幸福 ​​​
都说人和人之间 有那么一瞬间就够了 可每当想起那些彼此袒露过真心 心里都隐隐作痛就像永远不会晴的阴雨天 ​​​
和你分开后我泡在悲伤和黑夜里 直到传来你已经幸福的消息 我决定从今天起好好吃饭好好睡觉 ​​​
然后是谁都可以的话 那不必是我 ​​​
我要筑起一道高高的城墙 不让任何人伤害我 ​​​
恨是爱的衍生 我不想恨你 我想忘记你 ​​​
痛苦的不是记忆 而是慢慢忘记终于快要忘记你的时候 你出现在我的梦里了 ​​​
我决定忘掉昨天 然后拥抱明天的太阳 ​​​
回忆是一把生锈的刀或许我们都有苦衷 于是我们渐行渐远 ​​​
我深知一万首残损的诗才构成一个我 ​​​
