霓虹我真的是被你打怕了闭上眼全是你 ​​​
如果最后还是需要让你一个人去消化所有坏情绪 那我们握紧双手的意义是什么 ​​​
最近整天在研究恋爱中怎么处理好情感问题。。感觉自己现在有点强的可怕。。。 ​​​
我突然意识到自己真的很好 突然开始爱自己 爱我的敏感多疑 爱我的口是心非 爱我天马行空的想象力 爱我奇奇怪怪的性格 爱我的所有 我是一个很好的很特别很值得的存在 因为我永远坚强勇敢 即便遇到难过的事晚上哭一哭颓废一时 我还是依旧热爱所有 我学会留意到别人的小情绪并且站在他人的角度共情 我学会 ​​​ ...展开
一直以为自己是一个不会记录幸福时刻的人 今天在翻相册才发现根本多到翻不完 照片的意义大概就是想要留住某一瞬间在回忆里成为永远 但没有什么是永远的 ​​​
本来抱怨起球想丢掉的毛衣回家却发现经过我妈的手变了样敏感的人就像拿着一个放大镜看世界其实妈妈的爱总是无声的陪伴在身边 ​​​
过年又大了一岁 可是心灵上并没有长大 永远的爱哭永远的爱发脾气永远的记仇 也永远的失去了好多…总感觉陷在一个漩涡里反复挣扎 经常讨厌自己为什么不能坚定一点 为什么总是被别人的三言两语动摇 导致最后要附和别人的计划行事 在充满抱怨的生活里却只能保持沉默 总在一个人的时候偷偷掉眼泪 我讨厌自 ​​​ ...展开
好的总是压箱底 我相信 幸福也是 ​​​
