转发
工作后那种淡淡的死感又回来了 ​​​
中医真的好神奇，也正因为它太过玄妙，真正的“好中医”才如此稀有。要成为一个好中医，不仅要发心正，还要聪慧、有灵性，三者缺一不可。中医的世界博大精深，学习者不仅要对各类知识有所涉猎，更要理解得透彻。更重要的是，要读懂经典背后的历史语境，再与当下的生活现实对照。毕竟古人比我们更贴近自 ​​​ ...展开
转发
苹果古典乐做得好棒！ ​​​
转发
研一的第二个学期再过一个多月也过去了，感觉研一的大部分时间都是在赶作业和准备pre的过程中度过的，有时候在想这个研究生我还有必要读下去吗？读研究生一开始的目的并不是为了一个研究生学历，而是想系统性学习人类学的知识，再真正踏进自己的田野，实际情况与我预想的差很多。但是我却得到了意想 ​​​ ...展开
菜心实在是太好吃了！咀嚼时的声音也好听！身体健康吃嘛嘛香好幸福，幸福到狂吼！看似朴素简单的食材，只是简简单单地烹饪也是上等的菜肴，相信老祖宗们这么些年来帮我们筛选的食材。 ​​​
哭了😭为什么母亲都这样，我的所有女性长辈都是如此，代入到她们的人生，痛，实在是太痛了。 ​​​
转发
