发烧
天根
春夏秋冬化积方
//@D秀洁C://@张玄化:介于今年火运年燥气太重，经请教师祖，把杏仁梨粥的梨用量修改了，大家已这个最新版为准！
感冒发烧
救生汤
过冬方
通中焦及感冒方
退烧药浴方
疫苗
疫苗
