啊
#户晨风全网销号#操 ​​​
#范玮琪还是抖#很有情感啊！ ​​​
#西贝 闭着眼睛点#意思是别他妈那么多事儿 闭着眼吃就行了 管他妈什么预制菜 ​​​
实惠@网易云音乐 ​​​
Repost
#罗永浩回上海了#我们都在 我们hang(西北口音)在 ​​​
#罗永浩回上海了#我们都在 我们还在 ​​​
试试@MUJI无印良品 ​​​
#罗永浩发文再谈预制菜#我们都在 我们还在 ​​​
#王自如开箱iphoneair#挖藕 奥瑟姆～ ​​​
避一避挺好的
Repost
Repost
//@罗永浩的十字路口:对了，转发抽奖两人送出 iPhone 17 一部，华为 Pura 70 一部
卧槽西贝老板黑社会啊 怪不得看谁都是黑社会
这个和古代遇到事占卜一个道理
全靠同行衬托
#西贝道歉# 早干啥来 ​​​
#罗永浩希望与贾国龙当面对话#贾是不敢去的 土鳖上不了太面 ​​​
#西贝创始人称罗永浩是网络黑社会#看他最近的言行和面相他才像个黑社会 ​​​
#西贝创始人称罗永浩是网络黑社会#西贝要完了 ​​​
#罗永浩算没招了吗#土暴发户一遇到需要文化智商的事就容易现原形 ​​​
#罗永浩说西贝的事情告一段落#西贝老板充分说明了自恋会影响智力 ​​​
#西贝召开1.8万名员工与罗永浩作战大会#西贝老板就是吃了没文化的亏 ​​​
#刘若英飞行日演唱会#  ​​​
#罗永浩称难受的肯定不是我#@罗永浩的十字路口 ​​​
只能说西贝老板是真的不了解老罗以为遇到普通的软柿子了@罗永浩的十字路口 ​​​
😂
#苹果发布会##iphone17# 安卓药丸了 ​​​
《洗浴中心》//@武志红:超用心地设计了一个奢侈垃圾。//@黄佟佟:在东北帝王审美上是登峰造极了//@洛兵:哈哈哈哈这装修，这卧室。。。
分享图片 ​​​
#其实爱对了人 情人节每天都过# ​​​
善良是一种很顶级的聪明
#其实爱对了人 情人节每天都过# ​​​
From iPhone12mini  ​​​
正常人谁他妈用三折叠 还是遥遥领先的卧槽//@杨幂:要用就用三折叠！#三折叠怎么折都全面#
没有好好活过才会很看重死亡
#董璇想帮张维伊解开心结#你这样能有朋友才是奇怪 ​​​
感谢@支付宝 ​​​
#东北雨姐发博#“俺们不干了！” ​​​
Repost
折成天地银行的烧给你吧
Exactly 
//@风吹夏d:什么时候孤烟暮蝉
上帝之鹰后什么时候孤烟暮蝉啊 ​​​
回复@尽量不熬夜sc:缺啥的地方发扬啥//@尽量不熬夜sc:赞同你的观点。对孔孟之乡的说法向来很鄙夷。最终是科技发展解决人们的温饱和就业，进而向文明靠拢。单凭孔孟之道能让人们遵纪守法吗。
#少林寺住持释永信被查#什么时候轮到杨永信！ ​​​
#少林寺住持释永信被查#看来真缺钱了 ​​​
HBD
我刚刚在“会员抽抽乐”活动中抽中了【20天微博VIP】！官方福利，100%中奖，快来试手气！！&gt;&gt; ​​​
分享图片  ​​​
For Stefanie Sun  #孙燕姿演唱会##孙燕姿就在日落以后巡回演唱会##孙燕姿青岛演唱会#  ​​​
8424！
#哇哈哈 宗庆后#”俺永不喝农夫山泉” ​​​
Repost
David
Repost
#害怕高度社会化的同学#真诚才是必杀技 ​​​
Repost
回复@雁过别枝:哈哈哈看过好几遍！//@雁过别枝:出自安溥一席 我们并不孤单
习惯性把人工具化 从来不会当成一个有血有肉活生生的独立的人来看
Repost
得了便宜卖乖
回复@呆萌海豹:看：磨盘干废好几个//@呆萌海豹:回复@空谷幽兰空空空:虽然学渣是这样的，只能进厂流水线拉一辈子磨，但你也不能这样嘲讽人家啊
#郑欣宜曾因抑郁症停工2年#First love ​​​
Repost
分享图片  ​​​
#影帝半夜偷海胆被捕#俺不是偷哩这是俺拾哩 ​​​
很喜欢的一首
说啥呀说 都没赶上高铁#孙燕姿鸟巢演唱会##孙燕姿北京演唱会##孙燕姿演唱会# ​​​
没有赶上高铁#孙燕姿北京演唱会# #孙燕姿演唱会# #孙燕姿鸟巢演唱会# ​​​
#劳力士店员否认曾毅戴表为自家品牌#能组成凤凰传奇能有什么文化 ​​​
Repost
#孙燕姿演唱会# ​​​
Repost
#iOS26# ​​​
被风吹过的夏天
无条件的爱
记得初中每次作文课都跟上刑一样 靠到最后只能找作文书抄一下
Repost
Repost
真的！
#曝iPhone17不支持自适应刷新率#库克你刀法真可以 ​​​
张悬《儿歌》儿歌（@网易云音乐）儿童节快乐 ​​​
Repost
定能生慧
回复@Bigdog英斗:想是他的自由//@Bigdog英斗:回复@夬无:班主任路过，那不叫用下，只要带在身上，真的时时刻刻想看
不用理他们 follow ur heart//@一只狗腿子柱子哥:希望以后的日子里我可以放下所谓抗癌博主的束缚，只做一个真实完整记录自己人生的普通人，一个话有点多的热心市民而已。
“我也妹说是给你的啊”
金酒的松树味儿
#情书30周年重映# ​​​
Cool
回复@尼克安闲:你这就是违反诉诸纯洁//@尼克安闲:现在的培养方式不可能正经培养出中医大师来！
#何同学称边充电边玩手机不会伤电池#滚 ​​​
回复@一只叮当喵喵呜:？怎么了你就举报 举报是一件很光荣的事么//@一只叮当喵喵呜:回复@风吹夏d:你再说我要举报你了
#谁是最强苹替#世界上不存在平替这种东西 ​​​
回复@三思思思思思yu:非实名制更有利于票流通 反而降低了黄牛票价格//@三思思思思思yu:回复@风吹夏d:我同事的朋友就是票务，陈奕迅的票还能半价卖给他，当时羡慕哭了平台根本就不会把票全部放出来，要是票务卖不完了，就二开三开，怎样都是赚钱
AUV
上次也是国家体育馆哈哈
