我真的很喜欢《千与千寻》的配乐和画面 ...展开
这发癫男出来开直播随口说了两句一堆人吻上，不是说工薪阶层送外卖吗，事情还没怎样就开⭕️，这群208w能不能都滚，打开微博就看到各种热搜，真正的基层问题无人在意，祝和胖猫一个结局 ​​​
大晚上就不要吃饭了好吗好的 ​​​
收藏了好多做制品的帖子，看到这些乐于分享的大大认真做出这些教程心里就会感觉暖暖的 ​​​
喜茶的小甜水好喝，买的几种都没踩雷 ​​​
快考试了但是下午想看剧，大不了裸考 ​​​
争取每年都刷一遍bcs ​​​
d5这个破游戏，每次略微出手就能霸占松弛ce，确实是其他二游的一辈子 ​​​
想找的图又找不到了呃呃呃呃 ​​​
每当顺着一个人的小号逐步摸到大号时我就会露出幸福的微笑。 ​​​
个人还挺喜欢幽灵那部剧的，毕竟人设比较有意思，但是故事实在太短，总有一种还没开始就已经结束的感觉。 ​​​
……去年听到续订的消息好开心的 ​​​
好绝望………死老鼠我好恨，本来以为最迟2024.12.31能看到的，结果要到明年（而且预告为什么存在这么多第一季的内容啊 ​​​
于是又翻看起漫改电影 ​​​
🦁的片尾曲真好听啊，但是看剧的时候却没察觉出来，我认为是剧情影响心情导致的 ​​​
突然好焦虑 ​​​
………居然还有三个月eee ​​​
🦁就这样播完了eee ​​​
……这剧咋这么没逻辑 ​​​
翻了翻d瓣小组，竟然有讨论帝要不去下海的帖子，刷完了整栋楼感觉真是乐坏了，不要啊不要下海啊！（话说②月的胜者的收视率竟然不错，这真的没想到ww） ​​​
有时感觉夏目新改成剧，狮子拍成电影会比较好一点，毕竟夏目新原作漫画那么长，悬疑的点也很新颖，而狮子的剧情有点无聊，节奏也很慢 ​​​
tfhc咋这么好玩，随便几条都很精彩 ​​​
我真的老实了，对续作一定不要抱有过高的期待，下场就是被续集创飞 ​​​
咋这么好玩hhhhh
又在这里看到你
黑袍能不能今天播… ​​​
