你们总想着抓住一个人，然后就会失去他/她。 ​​​
想练臂力 ​​​
我的朋友们，你们有没有人想要一本zkm杂志啊？ ​​​
14块买了个kato散粉 开心 ​​​
我只想要开心，我会尽可能地忘记不开心的事情，如果一切都没有意义，那就好好生活吧。 ​​​
我太难穿了 大衣都穿不进去了 衣服就剩个领子还没扣 好尴尬 ​​​
希望我的爱戴戒指能一直陪在我身边，不要再掉厕所了 ​​​
真的服了 刚敷完脸又开始擦护手霜和眼霜  皮肤好差 ​​​
#省考#
我染发真的超级好看! 好喜欢这种灰棕黑的色 ​​​
看别人穿搭的时候 真的觉得好好看啊 ​​​
我好累，又困又饿，连着两天没吃早餐 不想吃饭了 ​​​
