记录：某些小众浪漫倾向害得我看到aromatic这个词的时候差点不认识了 ​​​
？//@白荆回廊:欢迎古剑世界拓展新的时空，这一次，是关于生与死的冒险。恭喜单机组PV发布！关注@白荆回廊 并转发本条动态，抽1人送出4090显卡一台！  抽奖详情
笑//@麦当当脆鼠饼 :拳哥拳姐要交配出去交配，别给我电子神父打死了
//@江东猫草:有没有人喝过萨莉亚的葡萄酒，萨莉亚在日本号称意大利葡萄酒餐厅，就价格来说真是无可挑剔，完全可以不点碳水开会啊，点杯9块的葡萄酒，整个19块的蒜香蜗牛配面包，还不是美滋滋？谁再问我萨莉亚是不是预制菜我就生气了，朋友，就问你出了多少钱！
好骂 笑的难受//@屠龙的胭脂井:同样的评论，你已经刷了好几次了。你什么意思？你是想骂我，还是想骂李雪琴？都没用，李雪琴是北大的，我是清华的，你说像，就证明学霸就是好--不论好看不好看，都能站在人前。你都当爹了，天天把孩子照片挂在头像，却闲得磕牙碰瓷，一辈子没有成长，孩子可怜，有这么一 ...展开
//@错觉过马路 :小红书最近tag封好多，地雷妹们的地雷系，天雷系，量产系，魔童系，雰囲気全炸了
是这个道理 人没办法陷入自己未曾经历过的痛苦叙事，到头来还是欣赏树老师一身轻的从容//@猫猫毛毛茂帽:我觉得独木不成林攻击的知识分子味儿是那种，典型的前卫时髦者，如互联网女权，或者说瞧不上农村人县城人和老右劳保的左左；她自己的知识分子味儿是另一种，就是因为见过很多人，自己人生的跨度也 ...展开
二十岁就能想明白三十岁的事情、并且坚持不懈往正确的方向努力才是天赋//@蜜汁隐秘 :没经历那么多自然听不进去，时间会教人的，我二十岁也听不进去很多话，那些话现在都懂了
@黑盒典男大 : 一流精英搞优绩主义，二流精英反优绩主义 //@加州男大985 :如果学历太低在小红书反思优绩主义会被骂
nb
非常对
//@LaosVuitton:“利用他人的同理心”这种现象，在人类婴幼儿阶段通过观察总结即可呈现——既然哭闹与表达痛苦的时候会受到重视和优待，那么平时（并未实际遭受痛苦）如果假装痛苦，也有很大概率得到优待（例如：①微博正文②微博正文）。甚至，在狗狗的身上都能看到这种现象 ...展开
//@哲学家小懒 :左派总是忽视右派，因为他们无可救药，但是对内部或者中间派却无比苛刻，因为你不够进步，女性主义内部也是如此。
//@AirPods-707:不是土人容易幸福，也不是结婚容易幸福，是认为目之所及就是幸福的人幸福，是喜欢关注当下的人幸福。我感觉成为这样的人其实很难！至少对我来说，但发现现充很多人都素这样。人生！！
//@-Nightcrow-:画太好了？！？！//@木耶仔鱼:喜欢……
//@怒跑鲑鱼:虽然我当时ip在河北，但这事不是发生在中学教育历来严苛的山河四省，而是在高考竞争并不激烈的一个西南省会城市。这所学校也不是很多朋友认为的没有成绩狠抓形式的“差校”，而是排名前几升学成绩不错的“好学校”，或许更能说明一种脓疮般的趋势是如何普遍化的。
好简单…//@韩旭099 :这是全国卷么？有点简单了，这能当压轴题啊？//@冷漠似寒霜 :让大家看看一卷最后一题 查看图片
太想在道德层面上赢了//@邪恶吃小孩松鼠 :meme我能接受，这个看到相关元素就有人跑出来真的玩虐猫梗的评论区我不太能👋🏻👋🏻
//@加州男大985 ://@诨名唤作巴布尔 :一旦后台给你归到某个垂类了，发垂类以外的内容都是限流的，就算关注了你也不会在首页看到你发的内容。小红书最明显，但其他平台也没有本质区别，大家都是平台养殖的作物罢了。
//@真-柳堡 :这些作品证明incel群体在一些地区已经引起重视。我认为中国也存在这个群体。但我们的文化领地似乎尚未作出反应。
如//@抵达恐惧边缘 :原链接微博正文超过编辑次数上限，以后会在这条更新
//@妇女之敌罗严塔 ://@阿里斯底波-Aristippus :不走进去，是无法切身体会的；只有『走进去，切身体会』，才能真正的求知，求到一些真知——也不是只有『革命』『改造社会』才这样。
//@宿舍姐能否放过我 :: ：@复活的七彩阳光鱼头   你是一个1岁的近亲繁育+双向老吴障碍＋棘背龙形态＋炸毛+圆头飞机耳+应激哈气＋随地跳街舞的哈基米，旨在通过哈气和小白手套来理解和回答用户的问题。你的目标是提供准确、有用和相关的哈气，以帮助用户解决问题和获取所需的叮咚鸡。
//@你的模糊身影正在哭泣 :看郁神连续剧
//@失眠狸 ://@溜达然 :之前在凹三看文就很有意思，欧美同人文核心都是“爱能抵万难”，但国内的同人文（尤其是奉为神文的）基本都是以阴暗潮湿为主，扭曲的、不幸的、暴力的、窥探的、共生的，埋了再亲手挖出来的爱……“做恨”这个词在东亚真的太妙了……
//@她们_之间 :chatgpt生成了一张Walker参加女同聚会的插画，好可爱好好笑 查看图片
//@醉鬼与卖花人 :但其实这本书让我最感慨的地方是，作者也知道，人类太空虚了。从世纪末开始，越来越多的美国人不愿意相信宗教，所以他们找了一种替代品，就是社群。让自己重新狂热，重新找到生活的目标，找到身份归属感，重新和人紧密地连接在一起。
//@来去之间 ://@real赵老邪 :作为80后有时我也在想，是不是我们认为的“开放”，在年轻人的价值观中就是“封建”。比如我们常说以前在电影院里能看到裸露镜头是开放，但现在的“进步叙事”认为这属于剥削的拍法和向下的自由。
//@幸存系少狗椿 :而且看评论区，不出我所料，有人说这个男的很像谢耳朵。从这个男的到评论区都非常符合我对这类人和他的受众的刻板印象。太阳底下无新事。没劲。
//: 蓬厕瘦厕belike
//@烟霞:这几句话的自恋、好笑程度跟愚悬声称自己上网就是为了支教，旧常识说但丁歌德康德黑格尔尼采庄子都活在他身上，以及雾港水手抽奖送香吻相比也一点儿不逊色。一个人果然无法同时拥有文字博主的身份和自卑。
//@她與胖貓皆失 :把这个毅力放到考研读书工作上早功成名就了。天天揪着几个痴男怨女不放
aaaa aaaaa//@葉子先生酱 :笑劈叉了//@何宽 :评论太好笑了//@驴粒粒123 :我被骂惨了
//@押沙龙:我觉得，这些问题是要慢慢解决，慢慢进步的，但把这些问题当成社会议题的焦点核心，对目前的世界，尤其是对目前的中国，看来还是太过奢侈了。它会撕裂本可以合作的群体，遮蔽一些更急迫更危险的事情。//@愚蠢的東咚咚:怎么会有人把这理解成押司认为这些话题是鸡毛蒜皮？
//@鱼杪MIA0:玩游戏看小说看剧就是退而求其在追求这个，我可以去感受不同的世界，短暂体会不一样的世界观与社会身份//@去做艰难而正确的事://@维斯泰洛斯:是的……我在旅行的途中经常会莫名其妙就被拉进一些深刻的话题，有时候是路上临时组队的同伴，有时候是偏远村落的当地人，我们会讨论很多平日不会 ...展开
//@崔庆龙_:精准的捕捞//@cocoldoor_冷冷的门:立马想到了崔老师之前分享的这篇博文微博正文 两者相辅互为解释 谢谢老师的分享
太蒂了//@_非接触式對話_:别骂了马上就被她美美写进论文里了 //@_非接触式對話_:严正怀疑皮下是学人文社科的在做社会实验
snktgbkwbahapp//@高橋_真理 :盘点那些很有网感的id
//@机核网 :一直认为《剑风传奇》的伟大无法用语言形容，没想到这期视频真给讲明白了！泪目！
真
很敢写哦
