命运反复出题 ​​​
意识不断觉醒 又不断被掐灭人生明明有那么多美好的事情 为什么却时常陷入困境 ​​​
也不是每一天状态都能很好 ​​​
抑制住自己的期望 期待 ​​​
脱离原生家庭 ​​​
小朋友正在长大谁痛苦谁改变 ​​​
突然就很后悔 没有努力去东西湖 毕竟比江夏工资高几万块钱 ​​​
今天小朋友送我没有哭 用心的安抚 耐心的引导 对于任何阶段的🧒都管用 ​​​
从小就要经历这么多次分离 😑可是转头有宝贝赳赳就忘记了刚刚还哭得稀里哗啦的自己和妈妈的分离到底带没有带来负面影响呢不管怎么样 我还是要靠自己的努力解决这个问题 ​​​
有些东西破裂了就破裂了 就没必要再缝缝补补了 向前看吧 ​​​
无病呻吟的话少说庸人自扰的事少想 ​​​
自从考完东西湖 我就感觉整个人没有学习的动力了 ​​​
优秀的人身上似乎有种能量 专心做自己的事 不过分在意别人的评论 以自己的目标为导向 执行力极强 会在生活的各种细节里寻求能量和知识 会利用零碎的时间让自己得到休息 不优柔寡断 不陷于个人情感 不内耗 也不会被道德绑架 ​​​
越长大越发现身边优秀的人太多因为不停的看到了自己的劣势 以至于觉得和自己默契的人越来越少 越来越难以表露内心的真实想法 要么是匹配不上的思想 要么就是找不到的默契要么就是难以掩盖的自卑 开始胆怯  开始迎合  开始害怕 ​​​
明天要上班了搞钱为大多学习 多考试 多给自己一些动力2023年是产后第一年上班 也是人生中上班的第三个年头 想一想我都31了  不知道自己缺失了多少社会阅历和工作机会 但是对于2023年的工作情况我还是满意的  一方面考上了老师 另一方面也存了一些钱 虽然并不多 但是也算努力了一些 2024年希 ​​​ ...展开
从今天开始 话少一点心狠一些吃一堑长一智 ​​​
说完就后悔 ​​​
节后综合症 ​​​
