到底是作家，文字清醒又有力
大三过得好多了。很好👍#记录生活碎片# ​​​
看着这样的信息，感受女儿的成长与快乐，真开心 ​​​
人活一场是为了感受一场，好好感受
也希望我们的社会早日实现夫妻共同育儿，不用通过母亲们自己承担，很多可以共同承担的部分不被当作是母亲们理所应当。女性和男性都应该参与到育儿当中。如果一个母亲她承担不了，她不需要通过把成本转嫁给其他的女性——母亲，婆婆，育儿嫂。
在潮州，10:30才开店门，下午3:30就陆陆续续关店门了。生活就这么不疾不徐就好了嘛#慢生活# ​​​
#令人心动的VLOG# @微博VLOG 在载阳茶馆里消磨了一晚上  阳光超小鱼的微博视频 ​​​
好吓人
忘记这个规定了，我的充电宝留在出发的机场了。那么热闹的一场讨论，最后只是一场热闹而已。 ​​​
欧洲没有996，生育率也低，是怎么回事呢？
的确是QQ好用
我上个花艺课，课都上完了，对面还在问领导怎么付钱 ​​​
我们已经高压生活了几十年。不敢停，也不知道怎么停。
对啊，为什么呢？
我家爸爸在娃还很小的时候，很长一段时间，用她的擦脚布洗脸发现的时候，我们双方都很惊讶
1982年，英国一个节目组到他的寓所采访，他说了许多话，但让我印象最深的一句是：“我一生的经验和信心就是，不相信权力，只相信智慧。”
我的戒指也是这样，突然没了
我发的微博阅读量一般都是100多，过高和过低都挺意外的 ​​​
他是不知道，很多工作为啥要外国人来做吗？ ​​​
这钱谁出？
会被山神惩罚的//@阿毛步履不停:董董关注了始祖鸟这次高海拔烟花的事情吗，真的好生气好难过！！！！我们最爱的大山啊，他们的行为真的对户外生态影响太大了
一对情侣，微胖，拿着包餐巾纸，一边爬一边擦汗，在香炉边乱走，问我：财神庙呢？这里是财神庙吗？刚才我看到牌子说往这里走。我说，你再看看。#随手记录# ​​​
截屏//@王楚钦___:拍好了，拍好了…等一下哈
这也是为什么微博还存在的原因，多少还有活人，活的思想在里面
好棒👍
Cool
就是，到底在吵啥？只是发泄情绪的话，就真的是浪费公众资源
好可爱//@哲哲哲哲哲哲酱:这一幕好漫画啊//@一支银弩染血伤:“对不起，请看”哈哈哈哈哈哈哈郑重其事
主要是对面的大学生，文科学的不扎实
爱情的样子
觉得西贝贵不好吃就不吃咯，我搞不懂在气愤什么。
转发
哎……
所以，之前看到有人愤怒我们的地铁安检，就很不解
如果自由和权利是靠每个人手里的武器来捍卫，那还要法律干什么？
好的
转发收藏
是哦
大部分人的人生是这样的
都说他口才很好，我看了一些视频，的确是无论如何都能说一些观点的人，以至于很明显的指鹿为马，歧义诡辩。
我没有🫘，在我用的平台里，小番薯的确没法刷屏。信息茧房太严重了
所以，就去美术啊，音乐啊，各类体育啊，让孩子去追求自己的梦想，不管能不能赚钱，反正可以啃老
人往高处走
最近经历一些事情，发现阅读能力差，表达能力差的人真的很多。
//@绳不断亦要挥剪割下:当年看岑凯伦、琼瑶、梁凤仪、张小娴后来看张爱玲、亦舒，也看金庸古龙温瑞安梁羽生，所有的课余时间都在看闲书（此处感怀下当年和现下完全不同的学业压力氛围）这些书所建构的世界在我个人生活不愉快的少年、青年时代起到了很大的精神放松、驰骋幻想支撑，真的非常感谢它们。// ...展开
哪里的海底捞
这是啥软件
母亲过世后，就希望这个世界有鬼魂
女儿这学期做助教，好想有人给录个视频，让我看看 ​​​
思念化菊慰旧梦，清风愿惜眼前人 ​​​
只能卖科幻小说了
会有讲解版吗？好多没见过
#微博上线九三纪念专属点赞特效#我来试一试 ​​​
雨过天晴，事情好像解决了，但其实也挺不舒服的。男方的亲戚都这么多事吗？ ​​​
在美国两个月睡眠好很多，还以为激素调整过来了，以后就会好睡。一回到家，就受了份刺激，这两天都没睡好。哎…… ​​​
所有的风雨都是你带来的 ​​​
哎呦，是这样啊，我的感觉还是对的
期待下一场
时隔两个月，感觉家不是自己的了。下午先大剪子把院子里疯长的植物剪了一部分。 ​​​
暑假来陪了女儿两个月，明天也要回国了。心情也很复杂
一方水土养一方AI
这个暑假的成果 ​​​
哦
哇哦，可以这样说这么沉重的话题
这个老太太是谁
问题就在于现在有趣的男人太少了
一地鸡毛 ​​​
这审美！//@吹水哥NJ:就差一张逼格拉满的工牌了: 阿里P9
转发
信息茧房
本科读完，赶紧离开 ​​​
为什么对医生这个行业这么大的恶意
我记得之前有未成年留子霸凌，被判了很多年。具体多少忘了，但的确惊到我了。
好可怕
怎么有那么多该下地狱的畜生啊！
网暴已经死了很多人了，就没办法了吗？
留在微博，就是因为还能看到这样的文章
来美国后，面食技能再度启动。三年前在房东奶奶那里学会的，回国后发现根本没必要使用。但来了美国，一则打发时间，二则中超价格太贵，又开始做面食了。 ​​​
//@手机召唤师峡谷第一肥螳螂:我看她过的挺不错，房贷还完了，孩子也已经成年，家人都健康，也没什么压力啊，房子值几百万，唯一的压力是说没存款，怕将来没法给儿子娶媳妇，没苦硬诉了属于是
写得真好啊
在国外，点不开美团
他们承受住了压力
如履平地
优秀的运动员，强大的内心，平和的心态值得所有人学习
分清现实与梦境，也不是容易的事
好看啊
我也有认识的人在美国打拼，国内高学历，来美国后做着基层工作。买了大房子，有三部车，三个孩子。拍个照片，很幸福美满的家庭。其实他们压力很大，有时差点下个月的饭钱都成问题。但也是人生的一种模样。
//@科科一六:“能吃苦就能赚钱，上一代的人就是这样一点一点把钱赚到又熬到孩子独立。”写的真好，又从这个故事里感受到了力量最感动的是太太出生就锦衣玉食，却还能拥有这样的同理心。喜欢旅行中的风景和故事
回复@二得很低调:良渚房价应声而轮//@二得很低调:你好，请问藻类只选了余杭区爆发吗？谢谢
还什么媚男。这个词是用在普通人身上的吗？说这些话的，是出于嫉妒吧？
她比大多数同龄人聪明，通透，果敢，智慧，不必瞎操心
//@CC爱吃的:我们是球迷，不是裁判，更不是管理者。保持边界感，尊重专业，才是对莎莎最踏实的守护。
怎么有那么多自以为是的人，应该是收钱了吧
给了所有人体面
说的对
我买了周日决赛的票，现在赶紧再补女双决赛的票。这次飞过去就酒店和大球里玩玩，主要看比赛剩下的小将们加油啊，门票200刀/张啊！ ​​​
谢谢绿豆
应该赔钱
世界真奇妙！还是待在信息茧房里吧。 ​​​
好看
