我讨厌钢伴课！ ​​​
我觉得保洁真是一个很伟大的职业啊 想想 无论哪个地方缺了保洁/清洁工 都不会好过这个职业 如果让你们干 让我们干 咱们愿意干吗？ta们默默无闻每天低头哈腰忍受着所有的臭味和细菌 在不堪的地方收拾 打扫 却只有那一点儿工资 为什么都不配拥有一个保洁室 ​​​
思想就像内裤 ​​​
都好几年没看了 童年回忆
头脑发热又想买数码产品了 ​​​
我的脸突然变成大饼 ​​​
不要太“等不及” ​​​
喜欢
你说的未来到底多久才来 ​​​
粉丝帮哭惨的网红说话=丫鬟担心自己锦衣玉食的主子 ​​​
不信
右脚踩踏板踩的我感觉小腿肌肉比左腿发达2倍约等于开车一直不停的换踩刹车离合 ​​​
人是没有未来的人只有过去知当下，未来永远都是虚无缥缈的，无法抓住的东西。我们一直习惯于用现在的痛苦和忍受过去换取我们未来的幸福，我的意思是不要执着于一个虚无缥缈的未来，未来是由一个个当下所组成的，现在幸福 未来也会车福，享乐主义也是一种滋养，请适度及时行乐！ ​​​
我今天才明确的知道富士山下和爱情转移是一首歌之前一直觉得咋那么像啊也没仔细注意过 ​​​
杨澜演讲真的很好看 演讲里，杨澜还分享了... 戳我看视频&gt;&gt;网页链接 (更多 @漫春恋. 的视频都在小红书 立刻下载 APP：应用详情) ​​​
羞耻心是这个世界上最没用的东西 ​​​
再说一次 旧眼泪干涸后 就是新种子的河床
哎 我的微信铃声和手机铃声都是方大同的《为你写的歌》 用了好久 现在听见就伤心了 换掉有好一阵子不敢听大同的歌了 ​​​
告诉我这是假的行吗我受不了
最近的#plog# 拿了本就上路 感觉自己稳如老狗啊p2附赠我妈美照（给了我100块钱摄影+p图费）后天就去学校了 时间要不你倒流吧 ​​​
我妈让我必须和她互称姐妹 她现在跟我说话每句开头都不离姐妹 ​​​
分享图片 ​​​
七八年而已@抱哥别抱我 说话请投币wpdjfb的微博视频 ​​​
我几乎每次都这样 前几天考科目三科目四还有模拟都要早起 我定了铃声但是在定的时间之前就醒了 不过我发现我的铃声迟迟没有响 然后检查发现我虽然定了闹钟但没选择闹钟的音乐无声闹钟
某些用力过猛的产物让我感觉疲劳和乏味 ​​​
看呆…
别再说没时间了 放下手机你明明有很多时间 什么时候都不晚 ​​​
food enjoy ​​​
好喜欢哇
偶买噶 信息差太重要了… ​​​
朋友来了要陪好 ​​​
旧眼泪干涸后 就是新种子的河床 ​​​
这辈子何时能拍出
感觉自己是一个猪 ​​​
可爱的宝贝们 ​​​
分享图片 ​​​
分享图片 ​​​
为何人人都幸福 就本宫没有 ​​​
最近看的两部剧感觉都不错 善意的竞争和童话故事下集 都还没更完 不知道结局咋样反正剧情都挺有意思的哈哈哈哈哈 ​​​
科目三一把过belike：迈出胜利王者步伐去签字 ​​​
路边站着尿尿的男的给我滚 ​​​
我每次拍写真拍出来的成片都特别奇怪 特别丑 一点都不像我 每次写真都是对我的一次创伤 我要气死了 我得等底片自己修 感觉摄影师还不如我会拍 修图的也不如我懂自己该怎么修 ​​​
我不是刚放假吗 怎么就快开学了。。、 ​​​
很装的人 好运发财情绪稳定美丽大女人一枚的微博视频 ​​​
#plog# ​​​
啊呀呀呀呀呀！
人总是怀念过去是因为 过去已经回不去了 并且再苦再累 你都熬过来了 ​​​
元宵节快乐！我在吃榴莲汤圆（快吃完了才想起来拍 ​​​
#生活手记#前几天不知道怎么了 每天都很down 这两天好点了以前九年义务上学的时候总爱逃避学习、作业 觉得耍耍小聪明可以蒙混过关 但是随着长大 越来越发现 自己到底是骗不了自己的 不学习永远都不会  不行动永远都没有真本事 而且短暂的欢乐过后心里其实还是无尽的空虚其实我挺懒的 自控力 ​​​ ...展开
我以后工作了最好能适当给自己定期break的时间 旅居 做义工 ​​​
呵呵 驾照比高考难 ​​​
现在的美女“越来越多”  因为大家都开始学习着打扮自己 成为自己的大女主我很认同没有丑女人 只有懒女人这句话 所以我觉得一个人的“美”更在于她的审美和气质 最重要的是 自信 ；支持这种由内散发出来的魅力 因为皮囊之美太过肤浅 似昙花一现如果“美”能成为自己最不值得一提的点 再好不过 ​​​
一练琴我就想哭 ​​​
 ​​​
我现在非常需要再次戒骄戒躁 戒掉浮沉 静下心 回到正轨 鞭策 抽打自己 ​​​
我感觉我现在只能接受花束般的恋爱那种纯爱恋爱 ​​​
我以后必须养一猫一狗 ​​​
食物中毒了 凌晨三点开始上吐下泻了三个小时 紧接着发烧39.5度  赶紧就去医院急诊了 抽血打针输液 意识一度昏迷 话都说不了 鬼门关里走一遭 幸好妈妈在身边 现在好些了南京我再也不来了 ​​​
抛下硬币的第三面  ​​​
多舛  ​​​
没有人比我蠢 早上出门没带包 包里有我所有化妆品和家钥匙关键是我要赶高铁 没有回头路（高铁上大吃大喝ing ​​​
放假到现在胖了十斤左右 居然没咋胖脸 怪不得我都不焦虑呢哈哈哈哈哈哈 ​​​
蔡依林太美了哇啊啊最近发现70 80年代美女真的是都美的特别自然有特色
哎呀 今天在路上看到清洁工大早起来就收拾大街 大年初一的 年纪又大天气又冷 好心酸 ​​​
哈哈哈哈哈哈哈哈
蛇年吉祥㊗️大家今天上午在我家贴了个贼有意思的春联还有立体春字 但是老掉下午尝试做了糖葫芦 晚饭还做了锅包肉（失败版好好玩儿 晚上放烟花好冷呀 ​​​
老婆
这一年 收获颇丰可能不是最好的那一个 但我已经在努力让自己不留遗憾请继续勇敢 从容 ​​​
@抱哥别抱我 zxy咋瞎开车 ​​​
贵阳五老歌 虽迟但到 好运发财情绪稳定美丽大女人一枚的微博视频 ​​​
每次聊天和别人产生不愉快的时候我都想着我还不如不说这么多话呢…还不如就让人家爱咋说咋说 我点头闭麦或者一笑而过不就行了 没必要表现出来自己生气了 ​​​
看得出来玩抽象的时候是真开心 ​​​
朋友们晚桑好 ​​​
好烦被突如其来而且无法推脱的事情打断自己的安排我做所有事情都要提前安排 不喜欢临时安排事情 ​​​
我靠看漂白看得我做噩梦 ​​​
要过年了好激动！ ​​​
事实上是 世界正在极速走向我们无法预料的状况 ​​​
在家庄的宝们可以来市美术馆看看 因为离我家特别近大概1km所以我每个假期都会来一次 每次都会换新展 今天临时决定来看看 是一次大展 有很多国际作品 真的特别视觉盛宴！而且还有一个专门画女性的展馆 这次的展也很多样化感觉我们小市馆也不输一些大馆 嘿嘿 蛮骄傲的  ​​​
dji3太脆皮了我天 租了六天时时刻刻提心吊胆 感觉自己很珍惜了 寄回去定损要赔偿360，比租金还贵 ​​​
看看我 ​​​
我应该是哑巴新娘那一种… ​​​
我觉得我要是拍这种购物分享肯定比网购来劲 ​​​
第一次感觉旅游这么累 ​​​
贵阳美食合集  ​​​
抢我吃的还吓我的臭吗喽  ​​​
史上最长vlog看看我在昆明都干了些什么吧～  好运发财情绪稳定美丽大女人一枚的微博视频 ​​​
昆明美食大放送十八张根本盛不下！吃了思茅菜（普洱菜） 傣味边境料理普洱茶汤圆菌子火锅柠檬撒米线越南小卷粉稀豆粉粑粑卷等…喝了泡鲁达山山茶茶上山喝茶麒麟大口茶煲珠公奶白酒还在农贸市场购入一堆无花果、释伽、榴莲、鸡蛋果、芭乐青芒草莓酸嘢 #我的美食日记#  ​​​ ...展开
好想吻上去
我又没屌 你们能不能滚阿（最近一大堆 已全部移除粉丝并且拉黑） ​​​
你还要我怎样 ​​​
我愿意死在这  ​​​
分享视频 好运发财情绪稳定美丽大女人一枚的微博视频 ​​​
我真是受够了南方的大阴天！！彩云之南变灰云之南 ​​​
分享图片  ​​​
小记：来舍友家玩的短暂两天结束喽真是平坝最冷的两天 不仅没太阳还下毛毛雨 室内跟冰窖一样而且潮湿 成功感冒😷但是不影响心情 因为我真的很喜欢在这种小众的地方逛游 用心体会 是从来没尝试过的美食和从来没体会过的感觉 又解锁了新的人生板块 开心  ​​​
李明德被胖猫转世附体了？ ​​​
从一个阳光明媚的家庄来到了天气巨烂无比的贵州  ​​​
好看…看的心疼想哭 ​​​
思考穿搭毫无头绪 ​​​
我其实挺自责的 一个晚上都没咋睡着 我妈一直安慰我没事 破财免灾了 到时候再新买一个 现在目前让我最难受的就是卡里面的东西 和我过两天要去玩没有一个好的设备录vlog了 ​​​
