首藤 治 ｜小鸟胸针｜大师之作栩栩如生的小鸟和小花，小鸟身上彩宝的配色，以及翅膀渐变的颜色，肉眼所看到的细节之处，无不感叹做工的精湛。金叶片上的细节，更是惊艳，瞬间就闪现“布契拉提”的关键词！！简直太精妙了！！ 那么首藤治何许人也？🔺首藤治起初作为珠宝匠人，后来成为顶级工艺大 ​​​ ...展开
Tiffany大钥匙*最大号*难得的全套含链23克1990年的经典设计 猎心的珠宝小盒的微博视频 ​​​
梦幻浪漫紫罗兰色— —无烧蓝宝石#珠宝设计##高级珠宝##蓝宝石##紫色蓝宝石##紫罗兰色##珠宝定制##首饰##戒指# ​​​
拼个九宫格，原图直出无滤镜无美颜感兴趣的移步  🍑【猎心珠宝】 ​​​
将为姐妹们带来香港珠宝展的 中古品牌珠宝专场，全场捡漏漏，福利满满，性价比高高，欢迎过来聊聊天～求关注求点赞求转发求分享，开业不易，感谢支持 ​​​
二月生辰石|瑞典王后西尔维亚的最爱紫水晶（Amethyst）：作为二月的生辰石，象征着爱情，诚实，平和。价值一度被认为可与红宝石，祖母绿，蓝宝石媲美，常被国王和神职工作者佩戴。 🔺在古代，紫水晶被认为是权力和地位的象征，因为它在当时是很难获得的。因此，紫水晶被视为一种珍贵的宝石，被用 ​​​ ...展开
18K金镶红宝石小精品合集 适合秋冬/过年 红红火火&amp; 日常也可以佩戴手链/耳钉/戒指 都有哦主石都是精挑细选的天然红宝石 重要的事情说三遍：每一颗颜色都很好！每一颗颜色都很好！每一颗颜色都很好！ 材质：18K金+天然红宝石+钻石 ​​​
✨那些惊艳的品牌珠宝设计分享✨系列（一）💎 珠宝，不仅仅是财富的象征，更是个人品味和风格的展现。在璀璨的世界里，有那么经典的品牌设计，令人一见倾心，久久不能忘怀。今天，就让我们一起走进那些美丽的珠宝设计，感受那份独特的魅力。1⃣ 梵克雅宝的浪漫花园系列：以自然为灵感，将花朵、 ​​​ ...展开
十二月生辰石，英文名“Birthstone”，是欧美传说中代表十二个月份出生的人们的诞生石。古老的传说认为，每种石头都与一年的12个月相对应，每个月的生辰石都赋予了一种特殊的能力，可以传递到这个月出生的人身上，这种说法可以至少追溯到1世纪。有猜测认为，在犹太大祭司胸甲上的12块石头就可能与 ​​​ ...展开
