招魂锁帝翎+1 我又想了 ​​​
我真觉得把cv的声线和脸对上号特别恐怖 所以一直极力避免看见对方的脸 无论是谁 结果还是会刷到 我好心碎 ​​​
我觉得天天在gc巡逻然后sj别人的那种人很可怕了好吧 ​​​
码 广播剧 ​​​
不知道烧不尽能不能听啊 看到是hnq原著我心底涌起一阵害怕 ​​​
尼玛再也不敢因为广播剧去看小说了 本来广播剧也没说有没有前任洁不洁的 我就默认了 结果一去看小说就被创飞了 ​​​
喷了 只记得凌晨迷迷糊糊把耳机放进耳机盒里 没想到都听到这里了 但是印象还停留在第二集 ​​​
我们不是情敌吗第一集听完 故事剧情还挺有意思的 又是那种前期受对喜欢攻的人有好感 攻喜欢受的剧情hhh 有点吃这套 听过来感觉攻很主动 主役对手戏还挺多的 剧情节奏可以 不拖拉后期不错 配乐什么的都恰到好处 ed还挺好听的可能因为太困了迷迷糊糊 有几处地方声线分不出来 应该是受和他朋友 但不是 ​​​ ...展开
哇我发现我还没看过互攻 互攻到底是啥感觉 互捅吗有点难以想象 ​​​
漫播你回来吧我想你了。 ​​​
我其实就是个俗人 我发现我听广播剧就爱听小情侣相处甜甜蜜蜜黏黏糊糊谈情说爱 什么宏大世界观什么家国情怀什么伟大抱负 我都不感兴趣👉🏻👈🏻虐的不听 感情线少的不听 和前任拉拉扯扯的不听 ​​​
死对头第二集听得我很开心嘿嘿嘿 人类需要更多小甜剧听商玦喊宝贝儿我一直在笑 陆屿行是脑补大师吧？！分分钟小剧场内心戏超足 就这样自我攻略后期的各种音效铺得有一点点满 不过欢脱小甜剧倒也不算出戏两个cv声线很搭 反正我听小情侣对手戏就开始嗑嗑嗑笑笑笑 但我感觉是不是我最近 ​​​ ...展开
我感觉我就是有感情洁癖 你要是没让我事先知道但特好看 看的过程中知道了一笔带过 我忍忍就算了 要是事先告诉我我就特难受根本看不下去 哎我真不想和现实拉扯上关系 让我看点身心双洁小甜饼到底咋了 我当然知道这在现实很正常 但这特么是小说又不是现实 有些人非得追着人咬 嚷嚷着打倒双洁党要干啥 我 ​​​ ...展开
哎呀…同坠原来下架了T T 本来想着白芥子小说改编的广播剧好像都挺对我胃口的 打算听一下来着 ​​​
凌灼和陆迟歇小情侣拌嘴特别可爱好嗑好嗑 ​​​
扇了我终于爽了 ​​​
对 这件事不是一件可以心存侥幸的事 你现在每一次侥幸 对自己说的每一句没关系算了吧 都会成为回旋镖扎在你的身上 ​​​
纠结了一会儿把小蘑菇买了 好了我感觉我现在真的没啥念头了 剧堆了好多还没听完 就等着那些在更的停更的慢慢更新完结 然后再试图扒拉一些没听过的剧 不过🐱改了页面之后很难去淘点想听的 只能在别人的安利里挑挑拣拣 ​​​
一口气把年花听到第七集 心情复杂 今年我能等到船尧的绰约吗 我一直在哭 ​​​
快快快 搞完我要上床窝在被子里听年花嘿嘿嘿 ​​​
我擦没人觉得这个b细胞生物学很难背吗 我背得想哭 ​​​
突然好好奇顾时夜cv是谁 搜了一圈还没得到确切答案 ​​​
谁懂每次一吃完早饭就发晕 ​​​
突然想吃点古风南通广播剧 嘿嘿 ​​​
深欲还有铁马冰河入梦来 我会一直等你们的好饭不怕晚呜呜呜 ​​​
我求你了 坐地铁坐反方向了 ​​​
话说漫播不是说延长一个月的会员吗 还是我看错了啊 好了现在更没有每天打开它的理由了 ​​​
暗火好甜哦 凌灼你好乖 这样是要给人做老婆的 ​​​
我听了预告又哭又笑 好期待下集剧情 呜呜呜你啥时候回来呀我的宝 ​​​
停更就停更叭 避避风头也好 总比为了顺利更新删减得一塌糊涂好 我会一直等的呜呜呜 ​​​
可是学习动机理论的大题有九道啊🥹怎么写得完嘛 我两张卷子的大题都还没写完 肿么办 ​​​
把24年的选择题做了只错了一个我感觉我又可以了 ​​​
好可怕了 来学校已经141天 好像从来没有待过这么久 ​​​
这个歌手的好多歌我都好喜欢好喜欢哇 ​​​
今天才发现那个大题的文档有十二万字 太吓人了 你真的特别厉害宝宝 继续加油吧(OvO) ​​​
昨天把乱七八糟的东西理到一道大题里 发现居然有两千六百字 孩子你好厉害 ​​​
陆璟深好像有那个瘾嘿嘿嘿 每次他做手工活被封肆发现我都会发出奸笑 这个深欲听得我太爽了 ​​​
本来没觉得有什么 结果看到丹丹的道歉信又开始哭 这几天跟泪失禁了一样 我好痛苦好难受 ​​​
还欠了挺多广播剧的 标记一下 待听(^-^)这个月好像只听完了情蛊和未得灿烂 ​​​
对了全糖海啸我还没听💧我的待听list就这样不断加加加加到厌倦 ​​​
我还是把年花买了 就是不知道猴年马月才会点开听 ​​​
深欲我一直在哭 刚打开听就发现下架了 还好前两周买了 每周四的快乐被剥夺了…何时才能回来 ​​​
死对头 深欲 逐云墓场都还没来得及听hhh 不知道到底在忙什么 可是每天的任务都没做完明明我真的很努力很努力在做了 ​​​
何时葡萄先熟透 你要静候再静候 ​​​
我真的很累 ​​​
我好想哭了 好难背好难背 为什么背过一次的东西还是这么拗口晦涩 为什么遗忘的发生是如此频繁 ​​​
我每天都在因为找不到能舒服背书的地方而哭 ​​​
打开朋友圈看了一串才意识到今天是个特别的日子 诚心诚意祝福每一个保研上岸的同学 没有羡慕没有嫉妒 只觉得每一个人都很辛苦很不容易 非常敬佩 或许我也终于明白他人之得非我之失这个道理 ​​​
宝贝先做再说
江洛妈咪…铁马冰河入梦来的所有小剧场我都非常非常非常喜欢 ​​​
大多人推荐吞海哇 但我其实不太喜欢刑侦类型的 纠结ing ​​​
猫耳好卡啊好卡啊好卡啊 我还寻思要不要再买点啥呢（盯）（叹气） ​​​
打开猫耳一阵养胃感袭来 ​​​
打开大题看到进步教育运动那一刻大脑褶皱仿佛被抚平 几个朦朦胧胧的念头在脑海浮现又说不出口 ​​​
果然是因为生理期嘛 好烦好烦 情绪不稳定背书巨慢 小腹还胀胀的好难受 没事再过两天就能回家了 ​​​
第五章学姐给的资料实在是太乱了啊！！我要全部理成一个大题 ​​​
做不到很快 那就慢慢地去做 做不到很好 那就不太好地去做 ​​​
我早上脑子根本没办法清醒 没有说下午和晚上很清醒的意思 ​​​
听出礼治的cv是苏尚卿哈哈哈哈 天天在抖刷到视频 但是没时间玩 上次吃饭的时候看了一会儿thh直播 怎么会这么忙 待办清单又+1 ​​​
感觉我下一秒就要昏睡过去了 还欠了好多广播剧没听呜呜呜 ​​​
别说不要放弃下午四点了 目前对我来说连晚上十点都不要放弃 好吗 ​​​
woc我感觉我不行了 今晚做了大纲样卷选择题错了11个 我一直在哭😭 ​​​
没有哪天的任务是真的完全完成了的 是不是时间还不够啊啊啊啊啊 是不是应该再起得早一点回去得晚一点 休息时间再压缩 ​​​
可别说了我想起来还有两套卷子没写 时间到底都去哪了！！ ​​​
尼玛我快被热晕了 ​​​
