雾下菘超话  太太啥时候更新我等的花都谢了 ​​​
找小说超话 找一本古言校园文，女主小时候把姐姐吃了，哈哈哈，她不是故意的，男二是明星，和女主姐姐把女主害死了，然后女主重生在另一个人身上，然后遇到男主，男主很傲娇，把女主和蛇扔在一起，哈哈哈，然后女主就一步步的夺回身体，哈哈哈，男主有洁癖，反正还有一些类似有超能力的人一直逼男 ​​​ ...展开
抽我抽我抽我
