我就这样什么都做不好 ​​​
昨晚太困了 十一点多就开始睡觉就开始睡觉了想着早点起来写作业但是闹钟响的时候起不来 延长了二十分钟就这样到六点二十……学了一会又躺床上睡了这下好了 睡到七点半迟到就要去倒那一层楼的大桶的垃圾………………但是我觉得还行……因为终于睡觉了。 ​​​
卧槽 为什么我完全学不懂物理啊 我真的一点也不会啊 ​​​
对
在最无助的时候随机播放到最让人泪目的歌尘星你还要感动我多久 ​​​
 看了听歌记录 我竟然没有完整听过南风的伴奏……？总之随机播到就听了一遍 跟完形填空似的 歌词就这样一句句从嘴里蹦出来了…… ​​​
恋与制作人超话 哈哈哈哈这次连单人池都没有善待我 72发给我来了张旧卡 早知道不赌了啊啊啊没钻再来了……只剩三十抽了 ​​​
我支持你的成长 我尊重你的想法和情绪 可你为什么总是在消耗我……情侣不合适还能分手呢 朋友不合适却找不到好的方式体面离开 ​​​
i wanna smile：） ​​​
……我还以为是那三个呢 我还以为我穿越了呢哈哈哈哈哈 ​​​
给我和好朋友们一人买了一个柚子叶挂件 去晦气避小人 ​​​
这个点还写不完作业的我就这样风啊疯啊 ​​​
日记写了一句数学老师就进来讲题了今天晚自习困得不行 不知道是晕碳还是因为昨晚睡太晚 晚自习没用掉的精力好像被保留到现在了夏末的时候因为夏天的逝去而悲伤了好一阵 今晚经过江滨桥时 风凉凉的 有一股秋天的味道凉风比热风更能让人有吹风的实感 刚刚下雨了 接下来的两天都会下雨雨过后 就是秋 ​​​ ...展开
我的两个宝宝啊！
果实 常言道冲动是魔鬼，但我觉得冲动对于犹豫的人是很重要的。犹豫、摇摆不定，是因为害怕犯错。我说，我连点一杯奶茶都要反复查小红书，看看点什么糖分什么冰度。这周冲动了两次，第一次是买了特百惠的杯子，看到不久后就喜欢，想着买来泡咖啡，第二次是买了个鸭舌帽。其实也不 ​​​ ...展开
什么叫傻人有傻福 ​​​
🙋🏼‍♀️这条想收集一下大家的mbti 突然很好奇捏（如果没人理我我就偷偷删掉。 ​​​
鸡皮疙瘩起来了天哪（虽然我上一季主线都还没过完）
分享图片 ​​​
来惹
遇见了态度很差的便利店店员 本来下定决心不再去 但是没办法 好多冰淇淋只有那家有……果不其然 今天又被气到。 ​​​
如果可以我还是想死得体面点 ​​​
xfh的歌声就是我的眼泪开关刚听了一遍时不录音室版的朋友歌 没什么感觉一听合唱我真的不行了“祝我好运” ​​​
发现自己在面对朋友的情绪的时候，好像总是提建议和做法，并没有关注情绪本身，越亲密的朋友越是如此。因为我好像害怕面对她们的情绪，不是因为我冷漠，而是因为我太担心她们了，我太害怕她们不开心了，所以我逃避，用冷漠理性的语句和建议，来达到看似安慰了实则没有的状态。这么剖析了自己好一阵， ​​​ ...展开
竟然已经到了吃柿子的季节 ​​​
所有老师就这样跟催命一样鞭策我而我被约谈一次难过一次 ​​​
感觉已经练成自动驾驶模式了 每天回到家根本不用思考 因为要干的事都一样。 ​​​
这件衣服彻底失踪了…想它！ ​​​
我靠这个表情竟然没了 我之前老爱用了 ​​​
怎么会这么累啊怎么会这么累啊 ​​​
