#谁懂这种旅行搭子的含金量啊#有一个会拍照的朋友重要性 ​​​
现在研学真的去不起
偶尔的劳累，也是一种轻松#带着微博去旅行##雪乡#  ​​​
有趣有盼，不负心中热爱厦门超话#沙坡尾# ​​​
#心情日记# 感谢每次没有想法，你的某些举动给我坚定的信念。让我更加明白自己需要的是什么！每一种经历都是成长，摆正自己，加油！致自己超话 ​​​
#张墙# 张墙演唱会，大型蹦迪现场， 墙姐说，二楼的不要蹦，注意安全，不要崩过了  www青春不迷茫的微博视频 ​​​
