精神维护费
感恩自己
感冒 根本不用吃头孢！//@意大利华裔郭医生:头孢 不是 消炎药！ 感冒 根本不用吃头孢！也不能吃 头孢！ 感冒只需要： 喝水+休息+症状治疗，比如发烧就吃 退烧药（对乙酰氨基酚 或 布洛芬），鼻塞就洗鼻，肌肉骨骼酸痛就吃（对乙酰氨基酚 或 布洛芬）！对乙酰氨基酚，布洛芬，泰诺林，美林，是你们家庭 ...展开
你的内在世界是什么样的彩色和基调，你感知到的世界就是什么模样。
生活的游戏在于，没有任何人有完整和正确的信息。
#王光海的红包#哇！好运来袭！我抽中了@王光海 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
来了，就接待。 走了，就送别。
//@言心心理:“悲伤不是一道可以轻易跨越的门槛，而是一片广阔而复杂的地形。对大多数人来说，它是一座可以走出的深山；但对少数人来说，它是一片难以逾越的沼泽。”
做以前没做过的事儿，这就叫成长。
谁告诉你错误是坏的？
#王光海的红包#哇！好运来袭！我抽中了@王光海 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
养护情绪
健康的身材，是体脂率正常、腰围达标。
你关注什么，你就成为了什么。
所有人都有不那么光鲜的一面
行为是潜意识真正的意图，语言是表意识对这意图的遮掩。
#王光海的红包#哇！好运来袭！我抽中了@王光海 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
其实很多东西的对错是流动的
永远都是，先救自己。
“如果你一只脚在过去，一只脚在未来，那你就是在对着当下撒尿。”
去区别想象和现实
//@我心焕然://@恩予开心:走出来就会发现，那些原以为的重要关系其实就是肥皂泡，一戳就破。但找回的那个自己却是坚实有力、稳稳踩在地面上的。解除抑郁的过程很难，但值得
“一切都会过去的。”
为什么烟和酒一直是硬通货？
出错也是生活的一部分
为过去懊悔，为将来焦虑，这就是“狂心”。
最难的是放下
人最需要守护的是健康与清醒的自己。 ​​​
苦是她选择的，不需要孩子去负责，即使孩子搭上了自己的人生，也无法改变妈妈的人生。
思考不是制造负担，而是给情绪降温。
//@闫昊佳:再强调一下吧。人千万不要让自己心里太苦，不能太苦。
疗愈不是痛苦的消失，是从暴君变成了偶尔来访的故人。
所有看似的偶然，其实都是命运，唯有接受。
人不仅是孤独的，也是寂寞而无助的。
其实人应该学会的是支援一个受伤的自体
『是我玩这世界，而不是这个世界玩我。』
你不能一直待在错误或有毒的环境和关系里。
我们是特别平凡的人
多去掉应该怎样、必须怎样那部分。
痛苦的一大功用是防御虚无。
“发生什么，就直接顺应和接纳，从这个起点出发。”
唯一拥有绝对控制权的领域就是自己的行动——如何与生活环境互动。
人一辈子做的工作就是训练自己，教育自己。
正心正念
生活至简逻辑
真正的爱，是先让自己舒适。
藏在骨子里的人性，往往比想象中更冰冷。
比昂的容器理论
一个人退休之后，无法扮演社会角色时，生活状态完全是由个人的积累决定的。
一切其实都是你自己抓着不放。
去尝试发现身边事物有趣的地方。
稀释焦虑：多去不同的地方，跟不同的人聊天。
命名即驱魔。
接受死亡是一种自由
世界既没有确定性又没有秩序，尤其是涉及到人的问题上。
「熵减」
选择，是摒弃我没有选的东西。
成年后最大的课题就是不让自己受委屈。
他人的世界，你轻如鸿毛。
“行动产生信息”
人际关系的本质，就是“等价交换”。
少追求对错和世俗评价。
混乱、失控和意外常常是人生的一部分。
让精神世界的张力拉起物质世界的窘迫。
友情是人的快乐的永久的源泉。
把“为什么发生”换成“现在能做什么”。
无限局
去链接让自己发自内心感到愉悦的存在。
“菜花黄痴子忙”
去学新东西。
业力传递的本质，就是痛苦的传承。
滋养自己的永远是“我喜欢，我愿意”，而不是“我应该，我必须”。
没有什么是非如此不可的
//@夏天_下大雨:无论是我命由我不由天，还是彻底接受命运，在我看来都没有问题，只要你过得去自己内心那一关。人真正要面对的只有自己。
感觉到压抑和不适就要远离。
//@阿什顿泥:唯一可以做的就是允许，等待起心动念的各种背后能量耗尽...内心重归平静
情感推动、体验更新
减轻不配得感
通用法则
微尘而已，多虑可笑。
速效救心丸的多种用途！
我不羡慕任何人了。
用力地活不动了，就先瞎活一活。
往外走，往内看。
但凡难过，便是强求。
决定心境的是趋势。
人品会变，人性不会变！ ​​​
想太多伤气血
人之所以烦，是因为你的心打结了。
正确的愤怒才是回魂的仙丹
活到中年，当下即永恒。
照顾好自己=爱
来微博一起共庆#首个非遗春节#我在微博寻年记 活动中抽中了0.13元！简直不要太开心，带#身边的年味#发微博分享过节习俗/记忆中的春节故事，有机会抽中2025元惊喜红包！ ​​​
我在由@极氪ZEEKR 发起的#新年新愿极氪实现#限定集福中，抽到了极氪好运卡，收集新年心愿，“极氪”就实现！ ​​​
#金蛇添福迎新年# 添福卡惊喜开奖！巳巳如意，蛇年福星当属我~成功开出@微博开新年 送出的1.28元福运红包，新年一定“蛇”么都好~！ ​​​
成长是为了抓回命运的主动权。
人性的底层逻辑是不分性别的
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
让症状不起作用。
他是否身心健康，才和他的未来有关系。
