#七夕#愿我有健全的人格，强健的体魄，完善的灵魂。 ​​​
今天这两集看得我直翻白眼，许研我们离婚好吗？我真受不了这个男的了 ​​​
#许我耀眼云合31.7%#太牛了，这就是真爆剧的威力吗？好激动 ​​​
我靠，我的梦校我爱你，我将永远拥护你，么么 ​​​
#宋江又帅回来了#别再继续练了 就这样保持就很好 ​​​
我靠，诡秘我害怕诡秘，好命哥太吓人 ​​​
对不起，梦校我错了，我知道你爱生如女如子，请让我今年一定上岸好吗？谢谢你我的梦校，我再也不骂你了，你大人不记小人过，好吗，爱你，么么哒 ​​​
买棉花娃娃越来越爱10cm的了，又小又方便携带，又可爱，简直是宝宝 ​​​
真爆剧就是不一样，太爽了，爽爆了 ​​​
太牛了，太牛了，许我耀眼爆爆爆
作妍究生，成为研究生 ​​​
许我耀眼里有段希区柯克式变焦简直是导演在炫技，但是我看抖里很少人剪这个镜头。这个镜头把人物当下的心情和状态展现得非常准确，而且这段镜头里赵露思超美，配上合适的音乐肯定会爆。 ​​​
#毛利兰双TOP#是的 宝宝就是这样权威 ​​​
#许我耀眼每晚18点七天连更#这个电视剧真的很令人着迷，每天晚上我都将会坚守在平板旁 ​​​
期待期待抽我
我早上是纯困仙人 ​​​
#秒懂热点就用智搜#哇！好运来袭！我抽中了@微博智搜 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
#许我耀眼#这个许我耀眼好看到爆了好吧，期待之后的故事走向。当然更期待的就是许研离婚场面，我将像期待滴血验亲局那样恭候这个名场面 ​​​
蹭完了又开始说所谓的自由，拜托向下的自由不叫自由，那叫走入牢笼 ​​​
下次有这种不当皇帝的机会可以给我们李煜和赵佶吗？他们想得一直在哭，太可怜了 ​​​
#许我耀眼开播#有没有追剧日历，这对我很重要 ​​​
#金鸡奖提名#女演员我感觉卫诗雅，宋佳和咏梅都有可能，但是可能性最大的我觉得是咏梅。因为我感觉《破.地狱》和《好东西》这两部影片的表演性没《出走的决心》强。剩下两部没看过所以不评价。 ​​​
#秒懂热点就用智搜#哇！好运来袭！我抽中了@微博智搜 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
#段奥娟首次提名金鸡奖#我靠火箭少女的段奥娟，我还以为是同名，没想到这么牛，首演电影就获首提，厉害 ​​​
总有装货喜欢表现自己，不过也对，如果不表现一下怎么体现他装呢？ ​​​
#郭敬明 百妖谱#从狐妖小红娘被改电视剧我就预料到百妖谱肯定也会被改，只不过没想到这么快，也没想到导演是郭敬明。别拍成麦麸剧就行 ​​​
#秒懂热点就用智搜#哇！好运来袭！我抽中了@微博智搜 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
#汪苏泷生日和俊辰一起逛街#  ​​​
我现在整个人一下子不好了，都怪你 ​​​
大半夜知道这个消息的我真的很恨你，我的梦校，你什么时候改革不好偏偏在我考试的时候改革 ​​​
我恨你，快考试了你变更书目，你想咋 ​​​
