想和你一起
快快进组
超可爱
平安
权威
yw
刘耀文
回复@吃饭的时候不要吃饭:照顾好自己@时代少年团-刘耀文//@吃饭的时候不要吃饭:世界上最善良最勇敢最美好的宝宝🥲真的辛苦了宝宝 希望你的世界里永远都只有美好和爱 永远被阳光和鲜花簇拥🥺谢谢你成为自己的韩雨辰我们会一直坚定的支持你的一切决定🤲🏻北京下雪啦❄️你要注意保暖 照顾 ...展开
宝宝你怎么这么善良这么好
快快进组
萌晕
好美
快快进组！
老公你怎么这么善良😭
守护最好的丸子
怎么可以这么可爱
萌物啊
好想你
哥哥
就这个晚期爽
天生奢牌脸
时尚宠儿
萌小狗
生图也这么扛…
我领走。
萌鼠
好美
太可爱了….
又帅又萌呀
萌小狗
帅帅
期待
完美无缺
老公小伎俩罢了
宝宝//@Vicky21_:宝宝
不愧是楼内男模
权威
我的老公王
好爱好爱//@LCikyeryw_:饭撒小天使😚😚🫶🏻刘耀文超话  #刘耀文# #刘耀文 时代少年团唯一门面主舞#
坚持一个中国原则//@时代少年团-刘耀文:#中国台湾省# 台湾从来不是一个国家。
勾我
耀文教我
可以eat到了
可爱
我真的爱你
我狗就这样萌
啊啊爱你
我爱死你啊啊啊
铛铛铛铛铛
权威
#粉丝认证号#叮！#刘耀文#的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！ ​​​
ep大爆爆爆！！！
老公我只爱你
圆圆的嘴角咋可以这么可爱
我爱死小宝贝
可爱
太权威
帅晕…
马背上的男孩 我要爱死
宝宝
ip变！ ​​​
可爱小狗
小宝宝 心软软
真想亲
爱惨了怎么调理
啊啊啊我摸摸老公
刘耀文楼奢一
就这个all in爽
宝宝
朋友们可以做做吗哈哈哈哈#调查问卷##调查问卷互填##青年演员刘耀文# ​​​
快快进组
回复@耀芝麻丸子:想你！@时代少年团-刘耀文//@耀芝麻丸子:给你科普一下鸭子的种类：有 达克鸭、小黄鸭、扁嘴鸭、还有 老公我想你了鸭😭😭😭😭˃̣̣̥᷄⌓˂̣̣̥᷅
老公我好想你！
我文帅的不像话 搞得我难以入睡 ​​​
想念这个刘耀文
最好的你
想念这个小孩…//@我不是杨迪公主酱:想草你文儿。//@但我有吃饭呀:小女孩才喜欢说啊啊啊 查看图片
老公这张脸太权威
宝宝情人节快乐
宝宝
回复@碗帝帅的一批:耀文元宵快乐@时代少年团-刘耀文//@碗帝帅的一批:老公！元宵节快乐🏮老公我们只听你的大EP😍🤲🏻老公我们只爱你🩶🤍老公我们只听你的单曲😚🤲🏻老公我们只看你😉🤲🏻老公我们只听你的话🥺🤲🏻老公我们只期待你😎👍🏻老公我们等你路演🤤 ...展开
老公
想你//@时代少年团-刘耀文:炙热的爱永远属于你！
回复@我不是杨迪公主酱:老公@时代少年团-刘耀文//@我不是杨迪公主酱:神：恭喜你，你已经成为最帅的人了。我：那。。。刘耀文呢？神：刘耀文吗？已经很久没有人这么叫过我了……//@时代少年团-刘耀文:炙热的爱永远属于你！
一路绿灯
韩雨辰一周年快乐
陪你度过漫长岁月
来支持
回复@耀神降世:期待！@时代少年团-刘耀文 //@耀神降世:老公只期待你的大EP呀🥰🥰
刘耀文
老公
Repost
耀文耀文
回复@我不是杨迪公主酱:宝宝我想你//@我不是杨迪公主酱:宝宝新年快乐🧨在家好好休息，好好吃饭！祝宝宝新的一年有新的幸运，新的快乐，新的圆满！刘耀文在蛇年一定有蛇有得有福气，无忧无虑无烦恼🥳🎊新的一年也永远爱你永远爱你永远爱你！！！
太棒了老公！
回复@晚月纪:好爱你啊@时代少年团-刘耀文 太棒了宝宝//@晚月纪:祝天下第一棒的宝宝新年快乐哟🥳和家人一起在春晚上看到你啦！大家都说耀文特别帅😎你一出来我的眼睛根本离不开你！还有！今年过年我吃了韭菜鸡蛋馅的🥟，宝宝年夜饭吃了什么呢？好想你好想你🥰你是我最好最善良的宝宝 ...展开
新春快乐！多多见面！
新的一年wpp厄运缠身//@重生把婉儿宠上天:新的一年wpp厄运缠身 ​ ​​​//@吃饭的时候不要吃饭://@药不耀丸:新的一年wpp宋亚轩厄运缠身//@陷落耀域:新的一年wpp厄运缠身
爱你
多多见面！
