好骂
穷姐夫vc ，olay 小白瓶，帽子口罩和防晒霜，太爷那辈的肤色基因，不知道应该感谢你们谁，不到一个月就白回去了（不过在qd 的一年多偷懒不好好防晒确实只黑了一个度 ​​​
这周满220min啦，平均每天运动半小时，我真牛！核心终于有劲到能跟完帕梅拉的10分钟新手练腹，很开心没有辜负今天摄入的蛋白质。复健接近半年，体能堪堪回到2020年练两个月的水平，年纪大了进步得慢就只能坚持 ​​​
低钠鸡胸肉没味道怎么办，张亮/杨国福/刘文祥点一堆菜，鸡胸肉丢汤里泡一会儿就是美味营养健康餐赞美连锁麻辣烫店！ ​​​
对价格的钝感是富人的特权，我们穷人在这方面就是记忆力特别好//@一个特别虚荣的人:我能一点理解额，其实这里面很多都是普通人在穿在使用的牌子，这些她都在意得一件一件背得出价格，可能是经济条件真的很差。她也没对她室友说什么特别难听的话，有些评论有点过了// ...展开
又实现了一个愿望，在找聊天记录这块真的和甘道夫差不多厉害了嘿嘿 （年龄也是离老头近了很多
加上无氧，这周已经练满140min了（原来视频结尾jo 姐还会认真地鼓励一下力竭的朋友们 ​​​
悼念一下会担忧台风天的日子
嘻嘻
还得是迅哥儿
肉夹馍是馍夹肉 ​​​
码一下盛世天下搞定宽带了就玩 ​​​
有氧+无氧，今天动了40min ​​​
评论区笑死，接一个：我可能这辈子都当不了杀手了，因为晕血的我可能比被害者倒的还快
跑了跑了 ​​​
确实很容易疯//@那当然是立马有offer啦:中央选调生来的//@怪团一:一上岸好像就是省级干部
是的，随便什么东西
码，周六路上听//@猪猪Beatriiiii_iiiiice://@Madyke:通勤路上有东西听了//@祝贺我顷刻碎过:播客名字叫《恋爱脑》，vol.28《我的约会心法：让自己爽到才是赚到》
//@nionio_妞妞:也许是一种有安全感的退行
是的，25岁左右开始慢慢长出脑子//@深海与黑夜:我老师给我的督导建议是“25岁以下建议按青少年处理”；我认同，毕竟大脑前额叶皮层也是25岁发育完全。22岁属于青春期遗留成年极早期的叠加过渡阶段。大学毕业实习，基本上还是属于“小朋友”
是//@发亿条退网:凤凰鸣叫🐦‍🔥➕死亡翻滚[比心]一套丝滑小连招起床仪式
昨天也跑咯，公里配速进7分半了，希望年底之前可以跑到6开头 ​​​
无氧+有氧跑步时被一只活泼边牧和奶多牛少的小猫打断了一会儿 ​​​
三连了之后去玩就复刻你的攻略
真好真好真好请精灵们继续给我带来好运吧🙏 ​​​
九月第一次酣畅淋漓的有氧上肢训练配重也涨到2kg了，开心！ ​​​
蛮有道理的，看完不那么羡慕了
很好很好，由于老师头像是软乎乎的豹豹所以可信度再加10%
@Shallwekook 互勉回首过去我真的蠕动得很慢但也坚持蠕动了很久
#文学艺术乱想# 去年准备《格列佛游记》时和同事们聊了下为啥很多文艺作品喜欢构建一个“小人国”，今天趁着失眠，对这个问题又有了新的思考。其实除了“小人国”，还有不少作品会反向操作，比如让人类闯入巨人的国度，此时人类亦成了巨人面前的“小人”，也许两种安排想要达成的效果是相似的？（放 ​​​ ...展开
高中开始总因为丢手机挨骂，大学时去找朋友玩，在人很多的商业街又丢了一个，但是朋友情绪稳定地提供了替代方案，之后就决定也要这么对待自己在乎的人//@银教授:是的，先搞清楚什么是正确的，再决定要不要做。暂时做不到也没关系，但是一定要知道什么是正确的。//@6毛一:被治愈了。谢谢。明白银教 ...展开
毕业后在职场结交的朋友比本科时期多的多人还是要往后活 ​​​
码，朋友似乎送了一本无条件投降博物馆，下午就看！
好//@洛阳纸杯:其实人只要自由的活过是不会特别执着于活的长的。想活的长的人都是因为他的人生从来就没有自由过，所以老想着：长一点就好了，我就能做到了。一个人真正自由的时候，每一天都可以是开始，每一天也都可以去结束。
//@曼妙沪上女:周围人不是买车就是买房，我只能跟他们说我又买chiikawa了 //@熬药彪子:
肥宅又复健 ​​​
是的，能解决的问题越来越多了，自己给自己一些安全感。
最近都在吃：奇亚籽，蓝莓，可可粉，牛奶，蜂蜜柠檬水，莓茶，粗粮+细粮的主食组合，鸡蛋，牛肉/猪肉/鸡肉/蛋白粉保证蛋白质每天摄入至少50g ，虽然还是不到一公斤一克的标准，不过已经吃肉吃到有点累了这么一总结，最近生活习惯除了熬夜，简直健康的像是在备孕 ​​​
精神小妹配色，希望有精神小妹一样的精气神🙏 ​​​
好，我努力
King’s move！
所以不想着把自己变j了，b站首页刷到什么练什么，放弃制定书单这样不切实际的幻想，去图书馆前着急忙慌抓一本就看，顺应天性之后感觉生活的阻力变小了很多
开始缓慢但稳定地掉秤了练上肢的时候会觉得自己更有劲但其他时间还是懒懒地不想动逆天而行把自己练成高精力人群看来是不可行的 ​​​
做了个丑丑的美甲，心静静地死了 ​​​
很有故事感的图老师伟大
更像是迷恋
真的很忙 ​​​
马克//@彪形丽人孙大圣_:马克
好，我猛猛练！//@弗贝此木:能训练肌力、协调、耐力、认知的综合性运动都可能实现“压缩病态期”的效果。gpt给我的结语：未来可能真的会是“咔一声，走得好看又干脆”。这句话的电波其他用户看了应该要生气，对我而言是最纯粹的祝福//@别介意旋转楼梯:干脆清爽的死亡么好有吸引力// ...展开
没有哦
时隔8年再看《爱乐之城》，被感情线狠狠伤害😢想借石头姐和加菲的恋情move on一下，然后意识到无论戏里戏外，这对都是遗憾收场仿佛为了避雨慌张找伞结果天上又下起了刀子 ​​​
想不通
狗将重拳出击！
这不就是无限和小黑
很有东亚特色了//@Polarbearinsuits:belike 90%的修仙文第一件事儿就是测灵根爬天梯，从外门进内门要大比第一，当了大佬的亲传弟子要五大宗门大比当第一，当了大陆第一要几个大陆天骄大比第一
下雨没跑，但忍着腹肌酸痛跟完了10分钟的帕梅拉1kg哑铃也能举重若轻地做完上肢训练 ​​​
#悉达多# 吗呀什么三无大学生面试现场痛苦回忆再度来袭 ​​​
以为《牧羊少年奇幻之旅》就够神棍的了，直到我翻开《悉达多》但是好看的，迦摩罗一出场直接从僧人车变成人车 ​​​
感觉大家发量都很优越
意外发现了一个加快消耗奇亚籽的办法牛奶加可可粉再加点奇亚籽，原本很难搅匀的可可马上被驯的服服帖帖 ​​​
#脱口秀和ta的朋友们# 看高寒段子有感：如果说“锄禾日当午”说明李绅没真的务过农，那“晨兴理荒秽，带月荷锄归”是不是说明陶潜真的务过农，但是并不擅长… ​​​
跑！跑起来！（复健版 ​​​
葬礼现场的“永远怀念”“沉痛悼念”等字眼，是最生动的讽刺文学 ​​​
喝点比酒随地小便的，对穿吊带的女性“行注目礼”的，披麻戴孝在长辈灵堂上启动王者荣耀的，pc导致导致老婆宫颈癌还找老婆家里人借钱玩乐的，病房抽烟的… ​​​
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@ZON-腙:这个世界就是一个巨大的鸡窝。
整洁的书桌和干净的床铺放在属于自己的卧室里，还有给小朋友的正姿椅，门口被贝壳装饰得漂亮又温馨 ​​​
犄角旮旯翻出的冰箱贴背面粘了枚一角钱硬币好像种了一株磁力菇哦 ​​​
看过太多某个时间点的爱的切片，就会忘记在时间段里爱常常是面目平凡的样子。
体制内🟰填不完的表➕兜不完的圈子 ​​​
从高考体检测的164长到166了，到底是哪里的空气有生长激素 ​​​
谁懂这个既视感 ​​​
谁能不爱无限，谁能！
有点理解光膀子的厨师了，厨房真的很热，为什么大家默契地不在厨房装空调呢？ ​​​
老🀄️人多少都有点M属性//@银教授:学生身份，复合m特征//@幸运的小地鼠叽里咕噜:这就是为什么我当不了s，真的比高考还难
需要被偏爱，但已经过了可以心安理地接受别人付出时间和精力的年龄段了，现在被过分关注已经是一种压力。连自己也不能过度操心自己，很多方面都需要“装糊涂”的态度才能自洽，细想会抑郁的，比如身体健康，比如人际关系。童年缺的纸飞机长大后哪怕飞个千年隼回到手里，我也已经变成了一个忧虑千年隼 ​​​ ...展开
27岁来了，慢慢习惯心理上无家可归的出厂设定了，所以没有想象中孤单，也因为还有可以聊天看电影的朋友，刚好买得起联名chiikawa 的喜茶。 希望37岁有一条老狗陪着我。
//@推拿熊:加缪文学在上海//@吼爽蛙:今天，我们总经理被带走了。也许是昨天，我不知道。
小时候学画，画具上面也有个不知名牌子印着“浮生若梦”//@瞎七八潮:然而浮生若梦现在改名成了玫珂菲，听起来像微商牌子，外国佬就是没文化//@你好请你别过来3_0:好神奇哦 浮生若梦和露华浓被用来给化妆品取名，但两首诗的作者却写出“以色侍人能得几时好”的话
呕吐之后食欲性欲好奇心全面消退精神年龄可以取代生理年龄的话应该是能原地退休了 ​​​
码
和朋友的星露谷存档快度过秋天了 很多人都在往前走，但我可以偶尔快乐地退行，或者停下
我真的需要大学室友//@银教授:难怪很多人喜欢去自习室和咖啡店
手快的先摸
最享受的一次夏日军训
在最无力的时期遇到雪糕打折好恨呐 ​​​
卡密
#SVIP体验卡免费领# 我已成功领取3天SVIP体验卡。快来点击卡片领取，主页访客、留言、去机型小尾巴、动态头像、评论气泡等超多尊贵权益等你来体验!   ​​​
虽然我缺铁又需要补黄体酮，但我还是爱你浓茶和咖啡 ​​​
医科大学附属医院，本人见过的管理水平服务意识最为差劲的三甲，本地录取分数线低的一匹，主治医生还能正常交流，部分护士和助理医生不知道在拽什么这种傻逼医院能靠没得选的患者供出一群又一群银川婆罗门，难怪医患矛盾越来越夸张一辈子花钱吃屎的宁夏人 ​​​
交作业下肢酸痛就练上肢 ​​​
操
这不就是王维
痛经狂睡了两天然后皮肤状态变得特别好虽然有点浮肿但尸体哪有不肿的 ​​​
码
萌晕，请支持罗小黑支持帅师姐支持池长老的大扔子喵
哈哈哈哈哈哈哈哈
没考上过，但带入了一下确实应该比考上该高兴
道德绝大部分情况是用来御下而非向上的 ​​​
码住
还指望用着毒卫生巾长大的比来扭转出生率呢，此时此地
