周二 下雨 吃梨 ​​​
周一 虽然起得早 但是睡得晚呀 ​​​
周日 工作日听到一个心理学家说 沙吹进眼里流的眼泪是淡的 情绪激烈时流的眼泪是咸的 ​​​
周六 红 ​​​
周五限定海盐面包🥐 ​​​
周四 蓝天白云 ​​​
周三 脑雾 戒断 心流（早上五点的天色） ​​​
周二 生日礼物兑换券 ​​​
周一 怀念一下周末的泰国大排档#来来来# ​​​
周天 发呆 ​​​
周六 🥱 ​​​
周五 茶水间发现兰花🪴 ​​​
周四！ ​​​
周三 薄荷味巧克力冰淇淋 ​​​
周二 狗链断了 ​​​
周一 喝杯苦茶醒脑 ​​​
周天 继续听课 ​​​
周六早上的工作照📷 ​​​
周五 手机卡罢工 电脑屏闪  嘴角起痘  ​​​
周四 无人来找 这很好 ​​​
周三 落～提🎹巧克力跳跳糖鱼🍫🍧🐟 ​​​
周二 肩紧图片来源《图话易经》 ​​​
又到周一 ​​​
周天 喝鸡汤#半山腰# ​​​
周六 带上小紫出门耍 ​​​
周五 突如其来的川菜 ​​​
周四 麻椒藕饭（面藕适合炖汤 ​​​
周三 向着9睡5起的目标努力 ​​​
周二 中午下雨 天是黑色的 ​​​
周一 偶遇仲景 ​​​
周日 看一个很能吃的小孩吃饭  ​​​
周六 遛娃日 ​​​
周五 七夕双人餐🍽 ​​​
周三 早睡a ​​​
周二 好想在家睡一天觉 ​​​
周一 荷花 ​​​
清明🧐 ​​​
可拉倒吧👋 ​​​
周五 保持节奏 ​​​
周四 甜胚子 ​​​
周三 成都三大炮 ​​​
周二 早起上班（七点的地铁依然拥挤 ​​​
周一 体检套餐 ​​​
周日早饭 小面 ​​​
椰丝菠萝包 酸甜配比不错 就是太顶饱了 ​​​
来自南欧的礼物（手工皂&amp;小鱼巧克力）包装好民族风～ ​​​
转发
午饭 嘻嘻 ​​​
周三 不要生气啦 ​​​
周二 哭哭 ​​​
周一的快乐 ​​​
周天 吃葡萄 ​​​
周六 改善伙食自己动手 丰衣足食 ​​​
周五 奄奄一息 ​​​
周四 立秋（温度38湿度83） ​​​
周三 地铁上看到一个人大腹便便的人T恤上赫然印着【骨瘦如柴】愿景很不错哈哈哈 ​​​
周二鸭胗酸笋粉 ​​​
周一 轻轻的 碎了 ​​​
和小姐妹吃螺狮粉 ​​​
来趟xtd还是来搞🦷 ​​​
周五 习惯了紫苏的味道 ​​​
周四 怎么还不到周末啊 ​​​
周三台风天🌀 ​​​
周二伯牙绝弦🥤 ​​​
喝了几口睡眠丢失 ​​​
小时候吃一次吐一次所以没吃过几次还是m安全点@NeueEsther ​​​
周一打老马 ​​​
读书app签到赠书本周抽到曾经在书架前驻足过的荣格的《东方的智慧》隐秘的吸引力法则的一次显现？ ​​​
工作人员说我可以天天来#westbund# ​​​
没想到休假前最后一天忙到饭都不想吃 ​​​
新昌菜年糕/知了/南瓜叶/鱼头 ​​​
 ​​​
出了地铁站被送花是犒劳工作辛苦吗 ​​​
荷花返图（好糊 ​​​
云上上新 ​​​
明天去 看荷花 ​​​
种牙种完喝了两杯冰水 一红一绿 ​​​
雨季 ​​​
🎨🖌 ​​​
徐家汇⛪️ ​​​
甩米线🍜 ​​​
吃上枇杷了 ​​​
和三和的同学一起遛娃G同学对墩说 我好喜欢你呀墩问 为什么呢G同学说 不为什么 就是喜欢你（启发：喜欢是无条件的，没有为什么） ​​​
才发觉 在上班环境里会持续头疼这种情况也许已经持续多年了可是被自己选择性忽略了 ​​​
绝 明天要带娃派对今天来大姨妈 头疼 ​​​
周末去了沧浪亭 比记忆里热闹很多高中毕业第一次自己出游去过的地方也混上小孩给拍照了 ​​​
才周二就想出去玩了呜呜 ​​​
假期最后一天春光大好适合干活（bushi ​​​
系鞋带#现场教学# ​​​
little island ​​​
像吗像吗像吗 ​​​
想逃离的时候 就看一眼相册吧 ​​​
睡了个饱觉带糕晒太阳 ​​​
周一奶茶&amp;lipstick (好陌生的组合） ​​​
在这个气温异常的周末穿这绿色的衣服去上课lgg趴在纸上耽误我写字了 ​​​
书者 舒也书者 散也 ​​​
拒绝一次性饭盒 ​​​
今天的早饭是约我手法体验的同学带来的满满💗#周一# ​​​
抓紧做喜欢做的事情吧 ​​​
老墩子自求多福吧 查看图片
