原谅是每次想到就要原谅一次
音乐节太贵不去 夜排不去 主办烂不去 拍不到酒店不去 关内随便刷不去 大山里不去 某些地方不去 我上哪追还能？ ​​​
一天挂一个好不好 爱装的正规军全挂上 ​​​
无话可说好吧 ​​​
其实朋友干什么都可以 讨厌的人做好事我也讨厌 ​​​
晕晕晕车到厌倦 ​​​
几百年前的视频每天剪不同的bgm发 见人就推见人就贴 好想学习这种不要脸的精神 ​​​
套我话bp的祝你任何活动代入都进不去 商务车从你身上压过去 贴车窗贴到贴保 卡电梯卡到贴保 凳子被偷 位置被占 你跟飞被改签 演唱会被退票 收票永远进不去 拼盘永远看不了 彩排次次被抓 蹲地下他们走大堂 蹲大堂他们走另外的出口 独家永远是你讨厌的人拍的 祝你跟车跟丢 拍fo按到慢动作 拍独家手机没电 ​​​ ...展开
大晚上的能不能不要站在门口吓我了
是的
线下积点德 ​​​
我真点了
想拍人生四格了 ​​​
我发 ​​​
