现在的一切让人感觉仿佛在2016 ​​​
带着任务的吃喝玩乐果然最有看头
还有两天
这对我很好 心心念念的asmr终于有了
美丽帅气又可爱💕💕
内！！！！
转一个采访
呜哇哇哇贵气的两位
这是我应得的
我要这个
真好
哈哈今天就看这个了
我想放十天假 ​​​
鱼饼欧巴就是这么好
一个负责说，一个负责笑，一个负责眼神交流
不看人名我都认不出来是谁
太好噜
啊啊啊啊啊啊啊啊啊
这封不错
看康俊提到死亡诗社和进巨 整个DNA都动起来了 ​​​
期待书推
//@折枝做梦甘露寺重生版:复读
谁这么会形容...... ​​​
信号的海报真的👍🏻👍🏻👍🏻看剧到一半再看看海报，泪两行
是小狗
怎么又去种地了
二搭就是神奇
呜呜又要来国内了
这个女人就这样看到康俊尼在官咖的留言后不争气地流下了泪水。。。。。。 ​​​
补药啊//@郭帆FrantGwo:一觉醒来……@电影流浪地球
还挺带感
国庆假期真的想逃到小韩去了谁都别想找到我 ​​​
好想看
进组
话说我感觉鱼饼哥好像没什么樱花粉，都是欧美粉多。这是要开始闯日了吗感觉之后会去樱花国开fm了 ​​​
滴
我发现我其实是p人 ​​​
补上 康俊出道十二周年快乐✧٩(ˊωˋ*)و✧
赞同
没有人会来，也没有下雨//@黄腿肠:某人。//@妈妈种树枝:没有人会来。
二位二搭吧
晚上回家路上碰到两只小狗，一只跟在另一只后面闻屁股，开心地玩很可爱。走着走着又碰到一只小狗，特别天真好奇地回头看我，我也回头看看它。啊 我每天好像就是靠着这样的小确幸活着 ​​​
挺文艺的我喜欢😍秀智的演技愈发有质感了
最常用的是倒计时和音乐
我真哭了 ​​​
可以
琥珀//@ThoughtcrimeX:#那年今日# 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文
合作！
其实总觉得这对是外人看上去生活很幸福的样子，但是果然加上婚育还是会有很多看不见的辛苦。。 ​​​
领养挺好......
在姐姐身上看到了我的影子...所以哪怕是育儿这件事也对自己有很高的要求，想尽量亲力亲为面面俱到，才会给自己很大压力还是不婚不育才能有比较大的自我空间
好想去旅游 ​​​
金永大很适合演一本正经的搞笑
剧宣实感🈶 ​​​
君名
好感动托管费终于到账了 ​​​
九月份能出正式预告了吧剧照物料请哐哐砸晕我剧宣综艺请二位上起来 ​​​
剧情预告都还没出呢目测又有一群人要急得开骂了这个应该是棚拍另外做的造型，我觉得也没多难看啊就是有点阿拉丁童话风而已，这不挺贴的吗不过剧情还是要靠你了啊恩淑 ​​​
#金宇彬秀智二搭新剧#期待我们的二搭cp这次一定是he了吧 ​​​
期待二搭
啊啊啊啊啊啊啊啊啊终于
？
从它依托网络素材编造假新闻、生成的答案看起来煞有介事但是读起来语言逻辑混乱开始我就知道
脸蛋天才们
鸡皮疙瘩全起来了
好好笑🤣🤣
不要再拿精神病为犯罪开脱
先转再看
巨人 tellumysecrets的微博视频 ​​​
服了啊什么噩梦都给我做上了。。。。 ​​​
好
疑似湿气太重出现幻觉
下完的话冬天就不许再下雨了
要是我有钱的话我会到处飞
喜欢看恩扫把睡觉的举手🙋‍♀️
🔛🍺🥄 ​​​
今日玛喜达 ​​​
天高水美树绿🌊 ​​​
😂
🏖💎 ​​​
好热，跟老广有何区别 ​​​
🙏🙏🙏
现在的新闻借助ds来写好歹也删除一下冗余的引号比喻吧😅看得人视觉疲劳
男主好容易吃醋 喜欢冷战 没有安全感 ​​​
没有人在看完你也是人类吗之后会不喜欢徐康俊 ​​​
这也太可爱了
俊英眼镜牙套一戴感觉像我的某个同学或者表哥，一脱完全就是大帅哥了啊 ​​​
温俊英你只和女主谈了一天恋爱就对女主念念不忘那么多年？？这么纯情蠢萌的男主果然只在影视作品里才会有 ​​​
康俊呐请像牛一样工作吧
得了一种一看到你们就想笑的病
哎一古
我不行了 看完一部李相二的戏，下一部戏还是有李相二😂 ​​​
看过电视《健将联盟》我的评分:★★★★★ ​​​
金宇彬超话豆豆2路透坐地铁去了好接地气🤣cr：Guadalupe Chavez tellumysecrets的微博视频 ​​​
帅成这样合理吗啊❓
和现在任何区别吗 没有
对我的眼睛很好
我要看
哇是自拍
哇.................眼神好帅...
