妈的拿考公的劲学啊  
李好头  原图 
我真的考得上吗  
下雨多了傻逼也像春笋一样冒出来了 连着几个外卖佬脑子都有病 祝你们这几个人怎么也赚不到大钱  
不要害怕没有准备充分就行动 做了再说 一边做一边完善 不然永远都出发不了  
妈的给我学！遇到难的就自动开始躲避刷手机啊啊啊啊啊啊别搞了 考不上了赶紧的  
妈的赶紧学 你考不上了 赶紧。  
今晚的计划是把拼豆下单了！然后只能周末玩哦  
这礼拜的目标就是 每天两篇阅读 单词不能停！然后管理学一定要背一遍 经济学过一遍  
再tamade这样下去你真的会完蛋我跟你讲。  
按部就班地学就能胜利  
再他妈松懈就考不上了我跟你讲。  
我一定要完成这个大挑战。一定会成功。  
等我强大了，绝对不会将就去委屈自己，像租房子这样，会有一天我一个人没有负担的租下喜欢的房子的，甚至买下来。  
真的我大学运气已经非常非常非常好了 出来才发现 碰到这样的舍友一起住了四年 是多么多么幸福的一件事！  
其实我很想去东北读书 想想就好像会很爽的样子  
今天星期一，我的健身卡星期三要到期了，我找店长姐姐问能不能帮我延到星期五。她好温柔软软的，整个人白白的，偷偷跟我说不要告诉别人噢。  
一定一定要努力！这次一定一定必须要成功  
我会是最棒的  
不要因为难就放在不理放着不做 万事开头难 往后更难 更应该早早早早开始准备 面对它！！  
很讨厌那种照顾人的感觉。。  
换了套壁纸 好喜欢  [组图共2张] 原图 
最近好脆弱。。想吐。。。  
最近瘦了好多，大概是因为毕业季太混乱了吧，那会就没怎么大吃大喝，加上毕业之后这段时间很不爱吃饭，所以每次洗头发都一把一把的掉头发。。还是要好好吃饭好好睡觉才行。btw，这个房子原来的住户绝对155cm左右，花洒钉的太矮了，每次洗头发都要低着头洗，累死了。  
分享图片  [组图共9张] 原图 
慢慢顺利了起来 开心咯！  
讨厌不干活还指指点点的人  
芒狗牛奶巧克力牛奶  [组图共2张] 原图 
学饭一口一口吃，路一步一步走。  
毕业季 离别让人流泪  
宿舍楼下经常有好几只傻猫，路过它们总会拍几张照片，总是会去想象，毕业后我会很怀念它们吧。不要再去想象以后的事情了啊啊啊啊啊，越想越难过，凭空想象越来越害怕未来  [组图共7张] 原图 
我的小宿舍 我的930 我不敢想象它搬空的那一天我会有多难过  
2024年3月23的截图，笑鼠啦那会头发的确黄黄的，傻鸟一样 [查看全部图片/视频] 
好虚好虚。星期五一个钟有氧，今天骑了半个小时车，感觉累累的，好久没感到累了  
好馋！三文鱼🤤🤤🤤🤤  原图 
起诉！  [组图共4张] 原图 
朋友圈有许多上岸的朋友，我晃的一下有点羡慕，但是都会马上回过神来，因为我选择了更加困难的考区，这是我的选择，已经很勇敢了，就算是失败了，那有什么关系呢，每个人的路都不一样呀～  
塔到了一组挺好的牌，临近毕业总是害怕那害怕这的  [组图共4张] 原图 
":翻看前两年的微博，半夜总是emo焦虑，做不到自己想要的样子，现在准备毕业了，每天无所事事的躺着，明明没有工作没有着落，但把一切都抛之脑后，逃避现实，竟意外的平和，明明当时的难受现在都能隐隐约约感受到，明明非常非常紧绷焦虑的度过了很长一段时间，现在回头看，虽然最后令我焦虑的事情都没有达到想要的目标，都没有好的结果，但是好像也没什么关系，放下了，往前看，开心过好最后的大学时光。
虽然时间能疗愈一切，但也时不时的在想时间为什么过得这么快，我真的不想毕业。"
不要下雨啦 我想打球我想运动  
:一直觉得自己不是有大幸运的人，但是刚刚刷牙的时候，猛的冒出了好多小小幸运的事情。毕竟临近毕业了，四年来的事情总会时不时的冒出来跑马灯。大一一年虽然住在招待所，很破很烂，六个人挤在一个那么小的房间共用两张桌子，根本没有自己的位置；宿舍没有热水，需要出去走廊尽头打热水……但是很幸运的，我们的宿舍是临江的，每天一觉睡醒，撒在珠江上的阳光也撒在我们的宿舍里，每天望着珠江边车来车往，晚上灯光闪闪，幸福感直接拉满。搬了宿舍，虽然没有真正意义上的上床下桌，但是也是有了自己的空间，也算是舒服；宿舍就在一出电梯的拐角，不用弯弯绕绕的走半天才能回到宿舍。舍友也是很和谐，一起吃了很多顿饭，聊了很多很多无谓的东西，大家都很包容我，觉得我才是经常会打扰她们的人，但是四年来从来没有意见，无比感激。进了排球队，虽然四年了到现在打得还是一如既往的烂，但是起码有交到朋友，无论在海珠在白云都发生过很好玩的事情，各种八卦蛐蛐局。还有什么小幸运呢，一时想不到了，无论如何，都非常感恩四年来出现的朋友们，是你们让我大学的四年熠熠生辉，有你们的存在，我真的很幸福；更感谢我自己，回想四年来中间有过太多太多难以度过的时候，但也这样过来了，长大了，真棒啊。毕业以后也许还会有更多更多难迈过去的坎，但相信你，会带着这四年的收获，一路前行。         [
