给熊孩子画的生日礼物，她好像不是很稀罕的样子老母亲指关节和颈椎都快累废了好不好 ​​​
2012年的夏天发生的一件小事，受老爷子的委托，救了一个被骗入传销窝点的女孩子。当时正值放暑假前改卷录分的那两天，为了不耽误事，连夜改完学生的试卷，天亮搭乘四个多小时大巴车，回家放下行李，在窝点附近找好酒店准备接应她。凌晨三点很不巧下起了暴雨，心中忐忑，但想到有人还在焦灼地等待我， ​​​ ...展开
小时候去外婆家一定会经过一片这样的石蒜花丛。后来再看到石蒜花，总是忍不住想起有关外婆家的点点滴滴。​我很想外婆，很想很想。趁我还没老到不记事，我想把它们好好记录下来。想起我在她家做客，在门前突如其来的骤雨中拾捡散落的一盒火柴，她着急地喊「不要了不要了」。想起顽皮的童年和小伙 ​​​ ...展开
