田震和孙悦 嗓子咋这么好 ​​​
睡不着但明天要早起 想到上世界古代史每次都能睡着 遂去bilibili看看课 期待睡着 ​​​
神女
我不想生活在 觉得善良是弱点的世界里 要允许这个世界有理想主义者 ​​​
你们不觉得ai照片ai视频很恐怖吗 之前扬言ai破坏生活ai会取代人类 要抵制 现在我朋友圈各种社交媒体上全是ai自己的图片 夸豆包权威的 不否认ai给人们生活带来便利 但是那种跟爱豆合拍亲密照片 或者是用ai做视频的 真的很吓人啊 感觉脑子都被荼毒了 有的那种搞笑的鬼畜的我觉得尚且能忍受 可更多的是看 ​​​ ...展开
加一
美的我失语
别喝了 ​​​
又想喝奶茶了 我真快特么得糖尿病了 ​​​
咋这么美
lxt别吃了 ​​​
//@化身乌鸦叼走全村假发:是的 有个肠炎 查看2张图片 //@万花的花花神:不想下载🍠但是好像看后续啊，上次这个人是不是还发了个去医院的日记
我不要舒服的选择 我要正确的选择 ​​​
感到空虚而哭泣 一定是渴望得到充实 ​​​
下辈子让我长成这样
这样爱的人也会分开
#苹果新系统#新系统好丑 还好我没更新 ​​​
上课五分钟签完到后前排两个女生酷的一下就拎包往后门跑 老大声了 后排两个女生也跑出去了 我的表情如下😲 ​​​
路过被骂
我早就发现这个惊恐地事实了 不是名人的好处=不会公开处刑我的日记
你知道在微信聊天页面上划下划等着别人回消息有多痛苦吗 ​​​
我确诊了
余虹 我想活得强烈有罪吗 ​​​
黄绮珊《离不开你 (Live)》离不开你 (Live)（@网易云音乐）我他妈听着歌又死了我俩 太不公平，爱和恨全由你操纵。 ​​​
樂園，三代人的夢。  ​​​
我是哲学家谁支持 ​​​
高逼格 ​​​
愿朋友圈可以发十八宫格幸好书店还在   —门洞里 ​​​
这就是高级一等座吗 ​​​
感觉被全世界抛弃了呢 ​​​
其实我是一个很不希望别人看到我脆弱的一面的 我很讨厌在关系好的人面前哭 是真的 除非我忍不住（我经常忍不住 但其实我不愿这样的
这微博能注销吗 我真的有点后悔加现生 ​​​
我不想吃蛋挞了 可以不流眼泪了吗
这张照片太有意思了 ​​​
我不行了 这个陈粒怎么这么好听 ​​​
操你大爷 毛笔字给我写的在宿舍里哭 操你爸滚啊啊啊啊傻比 ​​​
谁发明的写毛笔字 我请问呢 我以后给学生上课需要拿毛笔上课吗？？？ ​​​
我最近忙的一部电影要分三天看完 我真的是生气了 ​​​
赵涛太迷人 叶蒨文的歌恰到好处的出现了 ​​​
口红回家
老婆
我操这我真吃过 小时候我姑给我买了好多盒 我还拿去补课班分给同学一盒
