饮料是每天必喝的 酸奶是一定要吃的总结：大馋丫头 ​​​
小狗快跟我走 ​​​
不社交 爽！！！！ ​​​
步入正轨 ​​​
又是一场酣畅淋漓的说走就走  ​​​
@MBTI小行家 根据我的微博 判断我的MBTI ​​​
求求你们去吃这个 真的 太太太太太好吃了 ​​​
这是我最爱的南京  ​​​
逃出去散散心  ​​​
看了眼我的课表 又看了刚刚给店长发的辞职信 我相信我做的决定的正确的 ​​​
请问谁家大英周末上课 ​​​
我爸妈来看打铁花 我来吃饭  ​​​
很希望今年生日可以去自己想去的城市过 ​​​
快二十了 定个外卖还要背着家长 ​​​
开学前最后的一丝丝挣扎 ​​​
远离不舒服的人或环境 真的会影响自己的磁场 ​​​
又失眠了 自己的生物钟已经完全变了 两三点钟入眠已然是常态 到底怎么样才可以调整到原来的正常作息 ​​​
下学期绝对绝对绝对不翘课了真的真的 ​​​
早一点要到复习题 我就不至于通宵干到三点多了 怪我 ​​​
明天上午考完数学就回家 14晚上回来 16下午考完通管立马卷铺盖走人 你问我为什么 因为不想在宿舍待一天 ​​​
明天考完数学 我又是一个活泼开朗的小女孩 ​​​
哈哈 考完了。这社会思想史考的跟汉语言一样四页全是文言文翻译 ​​​
不知道每次商家看到凌晨点单的我会怎么想 ​​​
不敢想象15号上午考完马原后跟好朋友一起去吃好吃的有多开心 与其在宿舍天天内耗 不如走出去多跟值得的人在一起玩 ​​​
在图书馆待了一天 面对即将要考的无缝衔接的三科 我真的想杀人 ​​​
嗯嗯我不学啦 ​​​
我在床上很想死 ​​​
谁学社会学啊 一天时间背十章 ​​​
又要回学校了 好烦  ​​​
换了个新名称 今年微博要经常营业咯 ​​​
