人有了物质才能生存有了理想才谈得上生活 --- 雨果 ​​​
我娃没有这么严重，但是也有点这样。有时候我想管我娃吧，有的朋友又说我得“抓大放小”，好像这是小事。然后呢，很多育儿专家又说“要尊重孩子”，关键尊重孩子，孩子真的不听，有的时候，真的不吼娃，好像孩子听不进去。吼娃又后悔
期待抽中我，期待上市
最近有一句话很流行：no one is coming。没有人会来。不是说没有人会出现在你的生命中，而是说没有人会帮你承担你本该承担的责任。《哈佛积极心理学》里有这样一段话：“要知道，承担生活的责任，就是要认识到，没人会变成穿着闪亮铠甲的骑士来到你跟前，带你前往那个永恒的幸福乐园，没人会来替你 ​​​ ...展开
今天应做的事没有做明天再早也是耽误了 --- 裴斯泰洛齐 ​​​
马克思主义思想的“对立统一”，道家思想的“阴阳鱼”，佛家思想的“色不异空 空不异色”，讲的都是一个意思。抛开应试的视角，从实战的角度看，马克思主义思想的实用性真的很强。特别是那种利益结构很复杂的问题，马老师从逻辑到心法，再到具体的方法论，讲的那叫一个明明白白。如果只是点对点的 ​​​ ...展开
分享一个最近看到的育儿书观点，里面提到“贿赂型”父母，比如孩子哭闹的时候，就说别哭，带你去买吃的。贿赂带来的问题是，他做任何事情都没有来自自己内心的动力，他的动力全部来自外在的确认。书里说“如果一个人感受不到事情本身的乐趣，是很危险的。我们想想看，人的一生中永远都有人给你外部的 ​​​ ...展开
//@斜风-细雨-:陈工说得好，只需要安心生活，不需要剖析那么多人性
//@是勇敢的美少女:真情实感的深度怨恨过就明白消耗有多大了，没有伤人，全是自伤。父母本就是我们精神肉体很基本盘的构建者，自己和自己猛猛打架罢了
//@小小机智红:让速不让道，一定要记住，不然无责变全责
//@特能搞://@重生之不叫小兰:支持了 本人never传播负能量 也不接收负能量 每天都无敌开心 所以也超级幸福//@AAAAA非主流贩卖大师:咋说呢 这是我生活最简单的一个座右铭 我一直觉得自己是一个幸福感超级强的人 我上网属于不看任何负面情绪 如果看了立马会看搞笑东西消化掉 绝对不会因为别人影响到自己  ...展开
//@特能搞://@带你逛B站://@影视菌://@大头和他的朋友们: 不要让八小时的薪资，买走你24小时的心情
//@特能搞://@你的雕沙到我了:我念//@展台手册:俺念//@小狗斯特:好滴//@西升月:我念//@噗叽咕咕咕:默念//@奶思玩家:凡是发生皆有利于我！//@每天都在废话:一切都会容易又顺利！//@你好我要一箱养乐多:福咒我念！//@夏目家的小诗哥:我牢记//@黄濑濑濑濑:我念！//@风吹铃铛响叮叮:好
租房这种硬性功课并不难，兜里有钱就行...难在如何帮助孩子的学术辅导和建立本地社交群体...毕竟是第一代移民，要做的软性功课还是很多的 ​​​
黑夜无论怎样悠长白昼总会到来 --- 莎士比亚 ​​​
#云端的搬家断舍离# 怎么之前买了那么多一次性内裤，晕，这个有没有保质期 ​​​
有时候生理性创伤是没办法用理论层面的心理学知识去解释的这就是为什么很多人道理都懂却过不好这一生比如小时候受虐待严重的（情感虐待或身体虐待等），就会不自觉在对待他人时情绪控制不住的激动，导致态度不好，虽然Ta可能学了很多心理学知识，又看似很清晰的能解释自己行为背后的动机。可是每 ​​​ ...展开
"『通过持续的行动，消解无意义感』西西弗斯被诸神判处无止境地推石上山,象征人类面对#荒诞现实 的生存困境--
我们终其一生追求的目标可能如滚落的
巨石般消解意义;

但加缪在《西西弗神话》中指出当西西
弗斯意识到# 荒诞本质 却依然选择推石,他完成了对命运的#超越‌。‌‌​像『荒谬英雄』一般 ​​​ ...展开"
#云端的搬家断舍离# 有三个点读笔，但是孩子没怎么用过 ​​​
男孩子社会化：职场是个丛林法则 ​​​
#云端的搬家断舍离# 搬家断舍离才发现自己1.有好多夜用卫生巾，原来平时日用的卫生巾用的快。夜用的卫生巾用起来很慢。接下来两年+都不用再买夜用卫生巾了。2.好多暖宝宝，我这次把暖宝宝和卫生巾放在一起，因为它俩是好伴侣。主卧的柜门是推拉门，非常难用。这是我不爱收纳的原因之一。3.很多面 ​​​ ...展开
有一点可以肯定的告诉你，不管现在你觉得多难，多么的无力，最终生活都会好起来，人生的很多痛苦的阶段往往都是生命上升的阶梯，它会让你变强，不用去分析，过多思考对错，不要试图用读书来找到答案，答案在生活中，走出去，做什么都好，就是不要闲下来，哪怕是麻木的做一些事，别回头想过去，也不用推 ​​​ ...展开
鸡自己最靠谱//@Xback-p水之目:黄蓉软磨硬泡请洪七公教郭靖，洪七公嫌郭靖太笨不愿意教。为啥黄蓉不自己去学降龙十八掌？她肯定一学就会了！还是鸡自己靠谱最近有感
//@melodylovesyou:感觉就是把希望放在别人身上挺累，双方都累
想让孩子干什么，就说:你看谁谁都干什么，我们也要去。👈这句话是育儿大忌，经常对孩子说，会让孩子没有主见，容易攀比。 这句话我也经常说，踩雷了，咋办
