//@GiveMeYour_:这个照片太震撼了//@心凉山:甚至还是前夫，法理上没有关系的人也是家暴哦//@哼哼唧唧hollis:结了婚就能把故意伤害美化成家暴，到底谁还想结婚，严惩凶手
“你若上台装疯卖傻，吸引来的不是傻子就是疯子。”   养蛊自噬
//@罗小卫://@老黑奴1984:鼓吹战争的都不是好鸟。对生命缺乏最起码的敬畏
//@蓝色理想19711102:孙女士没有侵犯公共利益，她只是表达自己的观点，鲁迅纪念馆可以不采纳孙女士的观点，公众也有表达不同看法的权利。那些质疑孙女士动机不良并网暴孙女士的人更需要道歉。
转发
转发
//@钺人戈:结束创伤代际传递的最好办法——没有下一代。//@西峯_突然之间:说起软肋，北京那谁的处理还没下文？//@自学日语中:三体小说那么火，里面叶文洁当年被组织要求写揭发其父亲的材料，其母亲也写了揭发的材料，只有她坚持认为父亲没有错。小说只能写这么一点。 而拿捏软肋这种算是小儿科式的手段 ...展开
//@麦卡PU10P:杨同学上诉，是完全合法的公民权利，某些人再拿诬告说事儿是真正的侮辱司法。肖家的好日子在后头呢。YOU WANT A WAR YOU GET A WAR//@一片快乐吐司:好棒，坚强的杨同学挺住！
我必有
转发
转发
//@嘛萨卡:弯道超车//@马瑞连焖肉:不会是因为口罩吧 //@姐很难追:太爽了吧//@小粉狗王大红:达必佳//@没品校花:世速一//@TorturedSlut_13:大基数比较好减//@13个午夜梦feat-taylor:speed drive～//@QueenTayEra:为数不多的喜事//@ART大过天:中国速度💪//@CharlieDurian2号:哇塞好玩好玩 ...展开
转发
转发
转发
转发
//@五毒毒WooDooDoo:我没什么好说的，只觉得网络上那些贱货该给具具俊晔道歉//@Jurique88: 查看图片
转发
//@刘耘博士://@邵宛誉的视窗://@鲁镇的柜台:看完了，毫不含糊，观点鲜明。这样的态度对这个混浊的世界太重要了。
//@菲鸡:转发
//@出版人周筠://@蔡一玛://@粽子蓝云舒:附议。//@林水妖:我完全同意
//@不学了当主唱:那很美了//@巴塔哥尼亚小刺蛇:有道理啊🤔//@Hey是SuSu啊://@QueenTayEra:难怪封神成这样//@一大盆葡萄:一定要这样气死所有人//@CatastrophicBlues://@Paradox_谬误:地表最强王者//@爱嘞亲亲:商政娱三个圈子里最恶臭的男人/
//@麦卡PU10P:医学的确是有专业壁垒，很多是反直觉的，普通人第一眼未必理解，容易误解。但被像很多博主这样的专业人士科普之后还坚定地执着于将徐熙媛的去世归罪于同行家人的人，挡住它们的就不是专业壁垒而是人性壁垒了。
//@0x007e:嗯//@ChineseRock摇滚地狱:嗯//@阿根廷出口小虾:嗯
//@没药花园案件: 这家人对操控网络得心应手，大S无力招架，她的名誉被凌迟，成了它们钓流量的饵，在这时还买水军自我吹捧，简直恶魔。 //@wanananw_2323: 人死了还要买水军！ 查看图片
//@顾不厌:造谣的人真恶心，信和传人也真蠢//@我又有一些真知灼见:别作孽了//@潘萌SoPhia:大过年期间真的积点德吧…
//@任性的咩咩Luna: 编出好多版本了，可是就是有人每次一出就相信。 查看图片
//@此生石火光: 不要开上帝视角，不要事后诸葛亮，不要随意指责别人，网友肯定没有家人爱，不要网上教人做事，别人的命运不是来教你东西的，有那么难吗？
//@握爪三宝:所有的信息都基于网上一个不知真假口音严重的所谓司机发的泄露客户隐私的八卦网络帖子
//@呃这不行吧kjjkjkkj: 真的是世界的蟑螂
转发
//@唐不闻://@宋方金://@火禾子://@水木丁:我也不懂，说不上话，就转吧。//@无边桃炎://@有盐电影://@商小略://@守法周市民://@王太弱:发出一点声音//@罐头辰://@雪霏Sophia:转发救命🙏//@孟常:世界乱局，不如身边的权利重要。
//@麦卡PU10P: 什么是小红薯永远不可能给美国用户推送的内容（哪怕他们主动搜索）？这就是了。//@这是油饼不是烧饼:看起来，是因为旧的方法能多赚钱，还是保护了旧技术的生产线。让现代人活在旧社会。
//@爱酱在大阪:加一捧柴//@黎黎的金鸟笼://@卡了蛋儿kk://@苍炎的人形师:比起小红书洋抖那些无聊的事，我特么更在意这些问题。。。//@楚惜刀:集采有质量问题如何解决？//@l鱼苗I:这下真的抵达恐惧边缘了 器械质量这么差医护人员也没办法啊
//@在也门钓鲑鱼:自费也不能买原研药吗
//@握爪三宝:HAHAHA//@魔幻艺术大观://@夏语冰96:尤其最后一句。
//@駱駝夜奔: 都不记得戴师怎么火的了…一般性火成这样都没被封杀的kol都是那啥的那啥
//@在也门钓鲑鱼:笑了//@樱桃本色1997:新闻学家蒸鹅心//@倒贴的上班族bot:啊啊啊神金//@畏徳:好吧苟全性命于盛世
//@小天王_://@JoannaBlue:1974年11月26日，法国卫生部长西蒙娜·韦伊向众议院提交了《自愿终止妊娠法案》，在面对几乎全部由男性组成的众议院（9名女性和469名男性），韦伊连续三天承受了保守男议员狂轰滥炸般的攻势，最终让法国成为第一个合法堕胎的天主教国家
//@饲养场形势一片大好: 责任还在美国
