#生活手记# ​​​
新年快乐万事如意 一切顺利 允许一切发生 还有就是高考顺利！ ​​​
距离我艺考还有六天咯 ​​​
运动会好冷 ​​​
还有10天❕ ​​​
报名成功！ ​​​
今天终于下定决心把双眼皮割了👏不容易❕ ​​​
#郑钦文好牛#不知道为什么 没打之前我就有预感她会赢 刷了好多个视频 都有说她拿个第二就很不错了 但我就是有超级强的预感 她会拿金 简直女王牛逼！！ ​​​
明天开始就开启了高三补课模式！！希望是活力满满的 时间真的超快诶就高三了 我的回家搭子出去集训了真的哭死 希望她一切顺利 躺在床上不知道一年之后的我是在家里开心等着录取通知书呢 还是在想以后该怎么办 我希望至少是不留遗憾的 高中三年那么痛苦 至少结局会不让我失望的吧 ​​​
我不要去学校！ ​​​
放马过来吧高三 ​​​
高三我来了✌️ ​​​
喜欢到不想撒手的人 ​​​
啊啊啊啊啊啊啊啊啊为什么我的朋友能和我所有讨厌的人一起出去玩 还能在朋友圈互动 见不见啊！！ ​​​
👏 ​​​
真是够了… ​​​
我想我会一直孤单 ​​​
小姐姐 你不是讨厌她吗… ​​​
讨厌所有当面一套背地一套的人!在我面前说别人的坏话 在别人面前是不是也说我啊小姐姐 ​​​
怎么那么能装啊我晕^_^ ​​​
高中同学都挺贱的真的…… ​​​
