#电影哪吒之魔童闹海# 不负期待，很好看 ​​​
好听
期待我们楚瑜#宋茜山河枕# 
期待陈小满
期待陈小满
Wow，期待陈小满
天天开心
#春晚大赏#上微博聊春晚，和特仑苏一起找搭子迎龙年！我的#春节搭子#是宋茜，快来一起串门吧！春节搭子 ~
