同意，打死我也不想再上学了 学的够够的
我我我我
开开心心🥰 ​​​
马克
好，我对象是真的爱我，老让我别干了，摆烂吧，注意身体 开开心心的就行[幹飯人][幹飯人][幹飯人]//@-奶油蘑菇浓汤-:yes//@格兰芬多公共休息室:没错//@M大王叫我来巡山:真的…所以现在也尽量减少和别人透露自己生活的幸福了//@矮周迅://@珈正锦:还真是//@太皇太后您有喜啦://@多肉猫饼:确实// ...展开
马克！！！！
这么多年过去了我依旧是那个我分趾鞋真丑 太丑了 ​​​
#美力618# 参与美妆人格测试，揭秘隐藏人格副本！我已解锁本命妆容DNA，快戳链接“测颜格·晒人设”，一起晒出618美力代码吧，戳 → 网页链接 还有MBTI爆款测试，秒懂你的职场天赋+社交模式，解锁专属人生剧本哦~ ​​​
好久没发微博啦😈  ​​​
盗火线真的是我的人生电影//@谷大白话:Farewell Iceman  查看图片 //@kylegun:《壮志凌云2》给了他一次体面的道别，不容易啊
呜呜，我也想去！！！！
牛 想到某天还有人和我对线达尔文的学说 反正我不管 我是进化论学派的 谢谢
初中小学要校友会了一个群里 一堆人说话看着这些照片真是大部分都不认识了完全失忆了 ​​​
码了
当时真是哭的稀里哗啦的
确实，申公豹让我好心疼😔
轉發微博
马克
呀
Mark🚩
太好啦！！！//@M大王叫我来巡山:修好了耶//@乔凯文:都五年了//@馮偉文://@ZRGNiX:什么，突然就修好了？//@芋头_Sa74:@GUEST扫地机器人 明年五月排行程了！//@黑桐红茶mkIV:法国人效率最高的一次，走走走//@弥溯精神状态稳定想睡觉:太好了//@给我遊:！！！！好！！// ...展开
这帮人也配和1985年的比？？？
诶呀，看哭了
好家伙//@M大王叫我来巡山:好东西！//@jagaimotatop:我需要这个！感谢分享//@澍澍生://@湍行特急:黑猫现在就一个人播好多了🤣是罪案里我觉得资料整理最齐全口条最清晰剪辑最好的(且没有口音很加分😂)另外霓达也不错是夫妻档//@黑山老桃桃桃:好好好要这个！//@_Acquiesce :// ...展开
人活一世历史 艺术 文化 哲学 思想 这种东西是很奢侈的东西每天忙忙碌碌 奔于生存 奔于生计 都没时间去品尝世间沉淀的美好最近有了想去欧洲的想法  然后下定决心给自己留了课业 学习好了欧洲史 文艺复兴 书画的艺术再去开始看书看记录片 哇 豁然开朗原来世界这么美 艺术这么夺目而璀璨 书这么好 ​​​ ...展开
长大以后通过旅游 交流 读书可以看自己 看朋友 看爱人 爱世界真幸福🥰 ​​​
好鬼畜！我喜欢！！！！
好好听啊
工作wx 和生活wx分开现在工作wx 好友都已经破千了……坏消息是 生活wx好友只会减不会增了也没啥人给我发消息了不过好消息是我过的很不错很快乐 大声说我快乐是因为我真的快乐哈哈哈哈哈 ​​​
准备买个拍照手机，苹果真的拍人好丑是不是xr 拍的最好看 ​​​
轉發微博
我和我的女性朋友们，和我爱的人 努力把自己活的更加精彩 没什么可打拳的 只会越来越努力，越来越自洽，人生越来越精彩 有时候思考一下现在，发现想要的都在慢慢拥有，真的很快乐很满足。 继续一起加油呀
真好真好
微博！你给我吃点好的！ ​​​
咋说呢任何事儿不应该有鄙视链比如我看 圆圈正义 十分钟冥想 真正的修行 人性的弱点(确实是我看的 小装一下你看网文  耳朵说它想认识你 什么宠人的未婚夫……(小红书看的书名，不太懂……咱俩都是读书，本质上没有区别，只要能快乐。别老上价值，啥事都要弄个我高你低，谁上谁下。 ​​​ ...展开
  ​​​
Tmd 想着看着恐怖片详细解说看看破墓也给我整什么民族情怀 正义凛然西巴是不是疯球了给我看的好下头大哥，这可是恐怖片……#破墓# ​​​
你看这两个字，“自由”本就条条框框。但总有一笔冲出牢笼。 ​​​
最近重新听起来 TVXQ和JYJ#jyj# 感叹以前我吃的真好 东神永远的神最开始只是一个初中生15年过去了#东方神起# 现在有钱了不知道什么时候能看 TVXQ JYJ或者在中的演唱会！！！！ ​​​
多多挣钱享受快乐生活 ​​​
有一说一到现在也听不懂 富士山下还有什么 是但求其爱歌词都在说啥啊…………听不懂是不是也是一件幸事 ​​​
牛
世人道我轻狂可我本就年少 ​​​
花了3天时间昨天看到了凌晨1点半把黑暗中笑声看完了洛丽塔的作者文笔真的很妙烂俗的故事 脱俗的才华！！看前半部分感觉就很一般 是个3分左右的狗血故事看后半部分 这才是写作！这才是文笔！！这才是天才！！！！#黑暗中的笑声# ​​​
下一本准备挑战一下金刚经金刚经超话 ​​​
花了4天时间读完了悉达多感觉这本书真的随着悉达多的感悟跌宕起伏里面蕴含了太多 印度教 佛教 道教各种学说最喜欢的还是前半段 悉达多没有接受佛陀教义的时候这个人在我心里已经发光了#悉达多# ​​​
快到九月今年才读了8本书得继续加油了24年起码有质量的读个15本吧 ​​​
阅读是平静的归处//@大神说://@别是个沙雕吧:阅读是精神保健品//@浮生若梦dreammm:面对一地鸡毛的生活，至少还可以阅读//@冷笑话精选:读书真的会带来快乐//@困呼呼__:在感觉很艰难的时候，阅读到喜欢的书真的感觉被拯救了虽然生活还是一地鸡毛
看了一下加繆的局外人不好意思完全没看懂……#加缪# ​​​
只要我想做的事没有什么做不成的！！！！ ​​​
每个节日 每个周末都狠狠玩儿去想去的地方做想做的事情简直不要太爽了Eason fear and dreams演唱会超话 ​​​
发一个读书心得继续读书📖#告白# ​​​
这三年第一次下60kg感动了59.9运动加饮食有用！！！ ​​​
啊呀，女人们真棒
太牛了……
哈哈哈哈哈哈哈哈哈哈哈哈绝了
同意✅ 我也是教育部全盲审 有的人根本不懂水下这个领域 给我74 C 差一分B就这么恶心 然后又要多送两个人 等于5个人盲审我毕业论文 最后还好有惊无险 还有一个100分
不行了，现在回到了7岁的时候  对读书真的有无限大的兴趣 恨不得挑灯夜读 拿着手电筒看
全体起立！！！！
狗gucci你是不是克我已经丢了俩手链 一个戒指了无语 ​​​
Tilda上了岁数还是这么美丽 这么有魅力 
哈哈哈哈哈怪不得演唱会说她都吃过了 查看图片
继续发疯🤪 ​​​
忘了在微博发疯了！ ​​​
我和 看书写写划划的势不两立！！！我的书看完了还是和新的一样！！！！！！ ​​​
啊……//@M大王叫我来巡山:好简洁易懂//@真十内:这下懂了//@优癖:我去？！（吊高嗓门拉长音） //@当心迪滑:终于懂了//@-不可食用薯饼-:笑死了//@弱_智_性_恋:看明白棒球规则后就该来看失忆投捕了//@愛吃犬攻 :忍俊不禁//@Lucciola-cwx :要是把球換成雷，那觀賞性就高了
想摆//@M大王叫我来巡山:👏🏻//@江南大野花:这个好//@重工组长于彦舒:再转一次，这是好事啊//@使徒子:心动了，想去摆摊卖冰棍 //@蒋胜男:浙里办里可摆摊，希望每个城市都为可摆摊留下位置//@桑格格桑格格://@碎叫://@开水族馆的生物男:让大家感受一下浙里办的效率
Hi 请根据我的微博判断一下我的九型人格@九型人格小行家 ​​​
……
其实现在 现代人或多或少都有点心理问题心理只是一种暂时的人的状态比如我现在状态很好但是之前有一段时间不好然后你这个不好就非常尴尬要是真的很严重就要去精神科去看病去吃药但是我这种只是想排解一下 去了精神科 医生大部分时间很忙 没时间和你聊几句 觉得你仅仅是没事找事然后我花钱去了 ​​​ ...展开
确实
之前都说 自律即自由现在我狠狠懂了有钱即自由爽 ​​​
太牛了。。。非常非常非常非常respect
好的，qq农场需要//@局部气候:大学生就业指导（不//@风息神泪:肯定记不住但还是全部看了一遍。说不定会留在潜意识里什么时候用得着。
练臀腿真的太痛了。。。痛哭我了 ​​​
李飞飞的自传 我看见的世界虽说多了很多的离经叛道 有点失去一些立场 具体不方便多说但是确实让我感受到了一些女性的共鸣一个成功 智慧 坚强女性的魅力让人很感动 ​​​
顺利硕士毕业已经2年半了从实现了自己的学业目标后确实做到了每天以快乐为目标好好生活 开开心心甜甜蜜蜜真好呀真好为自己的快乐自洽满意自由点赞了 ​​​
我擦，看到朋友圈这么多人结婚生子居然都过母亲节了吓死我了。。。。我感觉工作里肯定不用说，支棱起来了生活里我还是小宝宝十年以后。。。也还是 ​​​
看黄雀在后又看一半儿就猜出来了 ​​​
我为什么胖我为什么减肥如图 ​​​
跟朋友聊天听故事是真的觉得很恐怖他和女朋友在一起3年了，然后周一做完饭出差，周四回来饭还在锅里女朋友也不刷，家里特别乱，他晚上8点才到家，也没有人关心他吃没吃饭，自己只能对付一口，本来周末准备去柳州求婚的，然后也没求，女朋友也没问。到那个节点没求婚，慢慢的他也不想求了。但是他和 ​​​ ...展开
学了学了//@夸你可爱就是喜欢你鸭://@电影芒斯特://@吃瓜群众CJ:用不上的知识增加了//@风息神泪:好的，原来吸血鬼42分钟可以吸干一个人的血。（但喝得下那么多吗？），请大家记得不要鲨人。 
