两个独立的人走了好久    才找到了柔软的栖息地 ​​​
别急  命运会把你带到对的人身边  晚安#生活手记# ​​​
人如果被好好的爱着   心就不会皱巴巴了 ​​​
人间最美四月天 ​​​
小窃喜 ​​​
要永远有向前走的能力  任何时候 ​​​
年少不可为  ​​​
