特别害怕健身房要倒闭…… ​​​
大腿在颤抖 ​​​
教练带我训练1小时后 又让我继续跑1小时跑步机的我：😰 ​​​
上了节私教课 教练带我练了1小时 练完又让我跑步1小时 腿在颤抖 ​​​
就是对所有东西慢慢祛魅祛魅祛魅 ​​​
再次相信选择大于努力 ​​​
幸福属于身体好和心情好的 ​​​
上班的作用就是 激发我去旅游的欲望 ​​​
何炅：人不能待在同一个环境，不然会不快乐是真的 ​​​
很想去爬山徒步 感觉非常治愈 前几周去旅游爬山 到了高处俯瞰风景时候感觉所有烦心事都没了 在高处时真的会忘了一切烦恼 意识到自己是多么的渺小 啊啊啊我要继续去旅游 我要出去玩 ​​​
今天去上了拳击课！开心！ ​​​
特别好笑 我打车出门玩 结果院领导全部在大门口 刚好车后排满人 我坐前排 他们一群吃瓜脸看着 以为是我男朋友来接我 ​​​
大横按按到崩溃 ​​​
谁来帮我写谱子谁来帮我练琴 ​​​
分享图片 ​​​
上班就莫名其妙的丧失了活力 ​​​
瑞幸版蜜桃四季春（我就说怎么喝起来这么熟悉） ​​​
2025-9-11终于整理好了为了拯救回来已经遗忘的英语也是拼了[黄金薯R]以后必定每天从头开始背单词背完单词造成短文记单词➕语法➕口语英语我和你拼了 ​​​
好久没这么生气了 刚给公路车换的新胎，骑了1km，胎又爆了 ​​​
不行了 我得出门旅游了上班困着这么久真的好颓废 ​​​
可以及时给予正反馈的工作是最开心的干一堆琐事工作没有看到成果，完全给不了反馈的工作就好像温水煮青蛙，磨掉工作的热情，慢慢变得厌恶…… ​​​
太喜欢上课认真 有礼貌有教养的小孩子了 ​​​
不乐意刷太多短视频了 全给我推的高新体面工作人感觉全世界人工资都比我高…… ​​​
 ​​​
给口腔溃疡喷西瓜霜的痛谁懂 ​​​
感觉上班后学习能力直速下降 感觉最聪明时候就在上学时期了 ​​​
《小王子》这本书 总有很大的魔力吸引我重读好多遍 ​​​
我看青山真妩媚，而青山看我当如是。 ​​​
在家幸福感真的很高上班时候郁郁闷闷 下班时候骂骂咧咧回到家看到弟弟坏心情一瞬间没了 幸福感爆棚 我要回家工作 ​​​
感觉浪费一年就应该去上学的果然路只有自己走过才知道 事教人一次就会 ​​​
每次打扫房间看着自己掉的头发 真的好想又剪短发 ​​​
醉了 ​​​
记2025-8-23中午点外卖一个小时才到 导致吃完饭立刻出发去考场 到了考场门口 才想起检查身份证和准考证 没想到真的忘带了当时距离考试开考还有45分钟我也不知道什么时候练就了强大的心态心理轻微慌乱 但想着没有解决不了的事情这时候在考场门口 好几个扫码送资料的机构美女看到我说上午考的怎么样 ​​​ ...展开
原来考完试后真的会恢复活力！ ​​​
噢耶！终于解放了！ ​​​
做题的乐趣就是看下面的评论骂出题人 ​​​
刷朋友圈都是别人发的美照和旅游 而我……我选择关闭朋友圈 不看了 ​​​
很难不赞同 ​​​
妈的 学的好崩溃再也不临时抱佛脚了 ​​​
做吐了。 ​​​
发现某个人网易云互关好友的歌单很有品 可惜 ​​​
最近上班忙起飞 下班后又学习 多邻国都忘记了 心疼我的连胜 ​​​
“你的时间很宝贵，该用在写方案的键盘上，用在给家人做的晚餐里，用在下班后那半小时的散步中，用在所有能让你成长、让你感到真实幸福的事情上。别让别人的剧本，乱了你的节奏。你自己的人生，才是最值得用心演绎的故事。” ​​​
擦干净眼镜片 感觉世界都明亮了 ​​​
啊啊啊啊啊啊 现在的状态是 暂时摸鱼不学一会习就会很开心的状态 ​​​
分享图片 ​​​
谁出的摇一摇到tb啊 我服了。走路点开微博必是tb ​​​
心怀希望 ​​​
生活永远充满阳光和希望！情绪是最好的风水 ​​​
小红书发展成这样了吗 可以把歪果仁说的话实时转文字或者翻译 ​​​
原来啊 好多美好生活下都是一地鸡毛 ​​​
啊啊啊以后绝不在朋友圈发自己旅游的事情了一发肯定有突发事情或者工作找上来！ ​​​
今晚吃的烧烤 等了1h才上 ​​​
每个假期我都出去玩 玩乐是不会腻的 ​​​
嘻嘻嘻 ​​​
世界奖励勇敢的人 ​​​
听到几个中年男人的聊天内容：中年男1：你几个儿子啊中年男2：3个儿子（骄傲自信脸）中年男1：呀，你也3个儿子，有福气哦接下来的对话都是讨论自己儿子多有出息果然那个年代都是以生男孩为荣 为了自己满足面子而生孩子 希望孩子出人头地帮他们翻身和养老 办公室一个姐姐 因为她老公想多生一个 ​​​ ...展开
翻了一下记录 发现2025一直吃吃吃 怪不得现在对美食没什么探索欲 不像大学一样和朋友出去吃一顿火锅烤肉就很开心 原来是上班后经济独立后满足自己好多小愿望啦～ ​​​
