一些幸福时刻🤤 ​​​
这几天天气阴晴不定 和杏子在修水淋了一场大雨雨冲洗了世界 也冲刷了我的心情抬头看 树真绿啊低头瞧 好多值得开心的事情今天是大太阳 我也放晴了#地球上线之大王生活碎碎念# ​​​
现在只想回到开学前的 暑假的任何一天就好 让我更细心一点 给我一次补救的机会
新一届 ​​​
一边掉眼泪一边备课  有文学真好啊 这几天在讲《沁园春 雪》用的臧克家“有的人死了但活还活着”导入；讲范仲淹的《岳阳楼记》“不以物喜，不以己悲”；和朋友讲宗璞的《紫藤萝瀑布》“花和人都会遭遇各种各样的不幸，但生命的长河是无止境的”…… ​​​
不管什么事情总是不到黄河心不死 不撞南墙不回头那天很想很想很想掀开被子 盖子看 到现在 还是觉得没有亲眼看到 就不是真的 ​​​
地球能不能爆炸 最好下一秒就炸 ​​​
听400遍反方向的钟可以回到四年前吗？ ​​​
日记#地球上线之大王生活碎碎念##生活手记# ​​​
有的人看着还活着 实际上已经死了 ​​​
每回玩南京都是不一样的朋友 导游经验值➕1 ​​​
舒适到让我想永居 ​​​
以这个浪漫又热烈的夏天为起点望永远赤诚相爱、共赴白头 ​​​
腰给我干废了 ​​​
好天气 ​​​
分享图片 ​​​
跟着小张混 一天吃一顿 ​​​
情绪越来越稳定的小王 啥情况都稳稳接招！ ​​​
又一次见面 ​​​
努力每天都好好生活 ​​​
好喜欢孺子书房的这个阿姨！第一次不知道怎么进去 她教我说学会了下次自己也方便书房进来了奇奇怪怪的人 我们没注意她还写纸条来我们身边提醒我们留个心眼昨天我待到最后她下班 她笑着来和我说要下班啦 明天见 东西带齐噢因为这句明天见！今天又来了刚刚离开 她又笑着和我说拜拜 明天见我赶紧 ​​​ ...展开
我妈妈和我视频​看到我还在外面 问我在哪玩​我说刚从书屋出来​我爸插话:谁知道是看书还是看崽里哦​我镜头一转:真是书屋啊 你看​我爸一瞧 长叹一口气:哎 你也去看点崽里啊爸爸 书中自有颜如玉啊 ​​​
✌🏻喜欢大树喜欢孺子书屋喜欢散步喜欢蓝莓🫐 ​​​
长大真好 我可以一下班就来找薇宝一起吃饭一起散步一起逗问号彻夜长谈 睡到自然醒又出门玩一起吹风一起看行人一起感受自然 ​​​
今天的台上表现  自己很不满意感受到自己除了时间把握 感情地抒发其他的都没发挥好下台后有点自责郁闷但是抽到的课文是我自己做的那部分外县专家老师说这是今天思路最好的一个可其实是我裁缝出来的 指导老师晚上又私发消息来夸我她说我今天真的好棒好棒好棒 这段时间辛苦了以后肯定会是专家级 ​​​ ...展开
不能去想 只能去做 ​​​
