竟然还有这个视频👍👍👍
最近有点刮痧上瘾虽然几乎每隔两三天就断断续续地给自己小范围刮痧，但刮痧后并没有做到传说中的各种梦。就一次刮左手手三阴，晚上做了一晚工作上焦燥的梦，感觉又干了八个小时的活。昨天上午去无为灸灸了关元两个小时后，虽然回来胸口闷闷的，但晚上手闲又稍微刮了几下肚子。结果晚上做梦全是老鼠 ​​​ ...展开
昨晚闷热难耐，盖着被子嫌热，踢掉被子又有点冷。好不容易折腾到十二点过后，迷迷糊糊睡着了。梦里到了外婆家，凉爽干净的老房子，外面还有柔和明亮的超级大月亮，惬意惬意。一觉睡到早上～～谢谢外婆～～我以后还会继续烧纸祭拜您们的～～～ ​​​
最近几年真是太容易中暑了，预防措施要做好～～
嘿嘿嘿～缓解下垂～～
🙃 今天尝试给我妈刮后背，太难了😫首先，完全忘记老师说的沉肩坠肘松腕。才刮了一个小时不到，我手又酸又累…其次，低估了我妈身体里的宝藏…十年的精神病药不是白吃的。即使之前已经喝中药扶阳了一年多都抵消不了。左边的后背就是超厚的滑冰场，怎么都刮不进去。右边的后背好大几块结节，太顽 ​​​ ...展开
今天练习刮痧后背。我真是脾气大，容易生气的性格… 轮到我给搭档刮时，我竟然被她身上的大结节搞的很生气，又摩又刮还是消不下去。然后就疯狂地刮摩。还好老师看到了，耐心地指导我。碰到这种搞不定的问题，一定要耐心，顺着它来…急就输了 碰到难题要沉住气有耐心 ​​​
订制了一把小扇～～活泼的汉隶～～​我的初心是提醒自己精神内守。我爸妈看了，觉得这扇子味道太重，适合上厕所的时候用[翻白眼]突然感觉不好了… ​​​
简单记录一下自己最近的排病过程…4/12 周五上午火针后，从下午开始感觉胃难受，寒得受不了，晚上逐渐往小腹转移。第二天是周六，白天没啥感觉，但晚上还是小腹难受。周日月经来，周一发现一条细细长长的肉色不明物体滑出来。啧啧啧，估计这次扎针是把胃里的寒冰扎破碎了…4/19周五上午去艾灸关元两 ​​​ ...展开
哟哟哟～～很有份量的样子
痛定思过喝药扎针练功睡眠…好好养了一年后，大概觉得自己又可以了。这周飘飘然地春笋、蚕豆、巧克力、小蛋糕…整了起来。终于在周三，大快朵颐了二三十个蚕豆和布朗尼蛋糕，配合连绵不断地阴雨天，我柔弱的脾胃在下班的时候闹脾气了，地铁上胸闷头昏，排了点气后，略微缓解了点。周四不得不控制饮食 ​​​ ...展开
前几天去医馆扎针，碰到一个很虚弱的小姑娘，估计才二十出头吧。她已经两三天彻夜失眠，不能吃饭，不自觉地扣嗓子呕吐，连喝水都觉得恶心。据她妈妈说，这已经是第五次犯病了。经过同学推荐，来这里扎针试试。看她妈妈的样子，小姑娘应该先天也有不足。医生说她肝胆寒，要她以后吃喝的东西不要低于体温 ​​​ ...展开
昨天去扎针，顺便问了下医生，年纪大的人拔牙，又担心伤身体，有啥建议。医生说，挑个天气好点的天去拔，不要刮风下雨天。避开节气。好嘞 ，下周降温下雨，我妈拔牙事宜再延一周吧。 ​​​
年初一看大戏第一次现场看京剧，太丰富了，不愧是国粹。以前我怎么没发现京剧的无限魅力呢？今天浅浅地发现，京剧不仅是咿咿呀呀的唱曲，更有独特的服装和走秀，精彩的武打和杂技，恒古的历史和文化传承…看到一半不禁感慨，这才是美啊，美得高级今年争取多看几场不同类型的曲艺，养 ​​​ ...展开
浪里个浪 浪里个浪 过年好呀 真呀么真开心～～
要来试试手气~
