原来“自由自在”还可以是这个意思，很美好。 _王也萌_的微博视频 ​​​
最重要的时刻永远只有一个，那就是现在。现在是我们唯一能主导的时间。最重要的人永远就是那个当下和你在一起、在你面前的人，因为谁也不知道将来你是否还会与他共处。最重要的事，就是让你身旁的人快乐，因为这就是人生所追求的。——《正念的奇迹》 ​​​
#王一博 王漂亮#想要命就直说，给你！！！ ​​​
过情关以后再谈情，过钱关以后再赚钱。你不再匮乏，迎接你的就是丰盛。 ​​​
在阳光下就会有足够的安全感。 ​​​
路过一果园，偷摘了一苹果，脆甜爽口。红苹果都在高处，够不着，只有眼馋。各种脑补那些红的，得多甜多好吃啊！ ​​​
天天上课落东西：今天语法课本，明天文具袋，后天整个人睡不醒就不来不上课了……我是真得很爱自己啊，想怎么散乱就怎么散乱，活了三十好几年，第一次不焦虑。这个世界很美好的，无忧无虑地活着就是幸福。 ​​​
阿勒泰的李娟超话  世界就在手边，躺倒就是睡眠。嘴里吃的是食物，身上裹的是衣服。在这里，我不知道还能有什么遗憾。生活永远都在一边抛弃，一边继续。我想，我最后还是会知道的：我们为什么要这样生活。 ​​​
今日流水账：1，今日大清早跑去去医院查血了，然后马不停蹄地赶回学校参加荷兰语考试。同桌Lorena学习有点吃力，我依次把写好答案的考卷推到她那边，方便她一下。因为我以为自己没带笔，直接拿了她手里的铅笔✏️用，她自己又忙不迭地去削了一只自己用，我总得礼尚往来对吧。2，因为没带钱包，在医 ​​​ ...展开
泡茶时，保持正念：准备一壶茶款待客人，或泡给自己喝。在正念中，缓缓地进行每个动作。不要失去正念，让任何一个最细微的动作滑过去，心中要了了分明。了知你的手正握住茶壶把手，提起茶壶。了知你将清香暖热的茶水，倒入杯中。每一个步骤都要在正念中进行。比平常更轻且更深地呼吸。如果你的 ​​​ ...展开
今日碎碎念：1，试着用正念的方式用吸尘器清洁每个房间，每处角落和每张床底都被打扫干净了。很神奇，没有着急做完或烦躁的心情，反倒是很仔细地感受着整个清洁的过程；因为不论我在做什么，那都是我的时间，都是我生命的一部分。2，继续读《正念的奇迹》并完成了整本书的阅读。感谢崔庆龙老师在他 ​​​ ...展开
想想桌子的例子。桌子依赖以下事物的存在，才有可能存在。我们或许把这些事物叫作“非桌子的世界”：森林（树木在那里生长，被砍伐）、木匠、铁矿（变成钉子和螺丝），其他与这张桌子有关的无数的东西，包括木匠的父母以及祖先，乃至让树得以生长的阳光和雨水。如果你洞见这张桌子的实相，你就会看到 ​​​ ...展开
"当别人问你前天或者过去的一周干了什么,你能很快记起来吗?我的答案是否定的,更不爽的是根本就记不起来哪天干了啥......这着实让我很害怕，就是那种“我那几天好像不存在”或者“没活着呢吧”的那种困惑和恐惧。 无图无真相，无记录就无存在。所以为了补救我这上了年纪后忘事儿的窘况,还是每天在微 ​​​ ...展开"
阿勒泰的李娟超话  太有画面感了……🌳 ​​​
“正念”听起来有点玄，其实意思很朴实。简单来说：正念就是带着觉察活在当下。不去评判，不去急着改变，只是全然地注意此刻正在发生的事情——无论是呼吸、身体的感觉、还是心里的想法和情绪。🔎 换个角度理解不是：让大脑空白、什么都不想。而是：清楚地知道“我现在在想什么、感觉什么” ​​​ ...展开
正念（Mindfulness) 是一种将注意力有意地、不加评判地集中在当下此时此刻的心理状态和能力。这个定义听起来简单，但包含了几层非常重要的含义。我们可以把它拆解来看：正念的核心要素1. 有意识地关注（On Purpose）这不是一种自动的、无意识的状态。正念要求你主动地、有意图地把注意力引导到 ​​​ ...展开
一场急雨后的彩虹🌈…… 小满Miracle的微博视频 ​​​
我清楚地看见我自己。 #我的阿勒泰背后那个想要话语权的女人# #我的阿勒泰里的女性不需要向任何人证明自己# 
"机缘巧合下以【不爱他人】【不爱这个世界】的方式生活了几天，发现心被扭曲着，根本活不下去。我只能以【我】存在着，如果不能，宁愿消失。只有爱能救自己于苦难。#生活方式##可持续生活方式##健康生活方式##杂记##随记##记录,是一种生活方式##记录时光##生活##生活手记# ​​​"
感觉括号里才是作者想说的重点哈哈哈 ​​​
在喜欢你的人那里，去热爱生活。在不喜欢你的人那里，去看清世界。 让花成花，让树成树。 ​​​
//@硅谷陈源博士:从另一个角度，我们也要学会接受现实中不完美的亲人和朋友，不要期待和强求他们成为那个并不存在，应该”更好”的他们。
泪流满面……
分享图片 ​​​
市面上还能找到比刘老师这更精细精准的干货吗？！晓光老师诚不欺我，把饭送到嘴边了。
扎心了
一切全凭天意。 ​​​
  萌小满Melody的微博视频 ​​​
原来不原谅是种勇气和力量。 ​​​
