小蛋蛋
好累啊😭😭感觉只有生病的时候我才能休息 我今晚就穿吊带在阳台吹风 明天可以发烧吗 ​​​
接明天早上急性肠胃炎发烧下床踩空崴脚
每次困的拿着手机睡着
这学期第一次主动吃早餐✌️🤓✌️ ​​​
OvO
我猜蛋蛋明天会更新 ​​​
蛋蛋没更新微博的第三天 ​​​
我完了 我投给了“12.11”~
我不想自己越来越恨你(ᐡっ ̫ •̥⸝⸝ᐡ)  ​​​
一边焦虑尾款一边花钱不眨眼 很有生活了🙄🙄✊🏻✊🏻✊🏻✊🏻✊🏻好像把自己打死 为什么对自己这么好啊😂😂 ​​​
减肥减不下来😫😫💦💦 不想胖胖的见宝宝😢😢 ​​​
想不通为什么喜欢你 想来想去发现好想你🤓🤓💕 ​​​
期待每件事都是好结果 但就算不是我也没关系（傲娇嘟嘴
对～～所以我呆在这个成都真的特别烦躁呃啊啊啊啊啊整个人快发霉了
对！//@监控人类:上天让你得不到的都是为了给你更好的
卡牌不断加加加加到厌倦😂😂✊🏻 ​​​
哎我就是那种说这要攒钱 每天焦虑怕自己攒不到钱 然后转头又疯狂奖励自己的人啊😔😔💦💦晚饭又点达美乐又点烤串 我后悔了.. ​​​
我投给了“c.7”~
好想咬一口 看起来软软糯糯有股米香还拉丝😩😩💕
每次知道白羽老师要来上课时我就这心情✌️😂✌️怕被骂的很惨 怕累趴下但是想想其实无所谓🫤
我需要你😫😫💦
我就这样每天哄自己把自己哄的很开心✊🏻🤤
🥺🥺
今天好开心 成都出太阳了开心 上摩登课开心 吃到粉和饺子开心 开心的时候也会想到二宝和小宝 ​​​
你知不知道我很想你🥺🥺💔💔 ​​​
好想你…但是不敢打扰你😢😢😢😢😢 ​​​
今天左腿耗叉加到三块砖老师直接把我压到地了 没有哭 只有苦笑😂😂横叉也让我加砖 还让庞雨蝶坐我身上 我说这很考验友谊了😂😂💦💦💦 ​​​
你不可以的 为什么又回110了🤣✊🏻✊🏻✊🏻我要打你了
我有时候真是这样😫😫💦💦
哈哈哈哈哈小可爱 爱肠粉子的微博视频 ​​​
每次看到这个心就暖暖的😔😔💕妈妈也想你 ​​​
喝中药真的瘦不下来…不想再喝了 喝了大半年什么时候是个头✊🏻✊🏻✊🏻我要减肥…. ​​​
原来看直播真的这么费流量😫😫😱 ​​​
哎 希望我教的学生都能这么开心的进步下去😋😋✌️ ​​​
好感动呀学生送的小花花😫😫💕💕💕下节课我尽量对你温柔（傲娇嘟嘴 ​​​
你的控制欲强的我快窒息了 你的爱像湿外套 我快被你逼疯了你知道吗 为什么就不能把我当成一个独立的人格 ​​​
耶熬过去啦🤣🤣🤣我也太棒了😘😘 ​​​
我已经自我调节好了 再苦再累我也会走完的🥲🥲🥲🫳🏻🫳🏻 ​​​
妈妈好累 妈妈想你们🥲🥲🥲 ​​​
哎今天有个学生上到后半节课突然心情不好 我刚开始真的很生气 气他莫名其妙给我摆脸子 我再上课就有点小情绪 下课把他留下来谈心才知道是他学习压力太大了 来上我的课是来发泄压力的 听到这句话我真的很开心！！但是也很心疼这小孩儿 我很庆幸还好不是我上课才给你带来压力 我觉得小男孩就是天生调皮不 ​​​ ...展开
最痛的纪念品🥲🥲💔 ​​​
谁让我们老师刷到这个体能视频的 本宝三十秒就已经累得不行了 爱肠粉子的微博视频 ​​​
想念是会呼吸的痛😫😫😫💦💦 ​​​
想到小宝今天在成都我就很想抛下一切去见她！但是我啥都没准备还一身班味 哎还是不要让她看见妈妈狼狈的一面吧😮‍💨😮‍💨赚钱养娃😣😣💕 ​​​
每天闲下来就好想你  ໒꒰ྀི⸝⸝⸝ᵒ̴̶̷̥́ ⌑ ᵒ̴̶̷̣̥̀⸝⸝⸝꒱ྀི১我得让自己再忙一点！！明天不要太累啦😣😣🫳🏻 ​​​
好想多了解你一点 但是你看起来很忙 我也好忙😮‍💨😮‍💨 ​​​
回功…. 星期天芭蕾课怎么办啊😫😫😫😫💦💦💦💦💦完蛋惹…..我真的完蛋惹… ​​​
去武汉的时候一睁开眼撞进哥哥的眼睛😫😫💕 ​​​
哝哝你是不是知道我明天要去上学了😫😫🥲🥲🥲🥲🥲 爱肠粉子的微博视频 ​​​
我这辈子能把这个视频剪完吗🌚🌚💦💦感觉没有下次吃pocky了 我好害怕 小蛋蛋答应妈妈千万不能学会弹pocky好吗😋😋🫳🏻🫳🏻 爱肠粉子的微博视频 ​​​
你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱你为啥这么可爱 ​​​ ...展开
哎大宝是个小醋包 妈妈已经很尽力在端水了 元姐说过一句老话 孩子不和多是老人无德啊😫😫✊🏻 ​​​
想到20号去学校又要半年看不到这些小家伙我就难过😔😔💔💔没有小狗小猫陪我睡觉了 ​​​
点了😂😂😂
这时间也太快了像做了场梦一样😫😫💕💕 ​​​
二宝今天没好好吃午饭妈妈很心疼😫😫💦早知道再点点好吃的给二宝了😔😔💔💔 ​​​
这眼睛和二娃一模一样 ​​​
我妈明明舍不得我还天天找理由（傲娇嘟嘴）说什么听说五月份要爆发大流感 怕我中招 让我要不五月份回家吧 每次放假我都是提前回家最晚回学校的 我拒绝不是因为我不想在家！！我是怕得罪老师啊😫😫😫 ​​​
好怀念啊 在广州一节课一个半小时然后上自习 在成都一节课上三个小时 好累啊😫😫这个斗牛组合好好看 但是就跟着单人班上了一节课 学会了60%吧（冯老师给我编的斗牛组合更好看！冯老师我想你😔 爱肠粉子的微博视频 ​​​
猜猜我十五号要干嘛🤔🤔 ​​​
