我肚子上有三层肥肉 ​​​
悄悄的我来了 悄悄的我走了 ​​​
卧槽撑死我了 怎么还没消化完 想把食物从肚子里挖出来 好难受 ​​​
国庆我来了 手机我来了我爱你们 ​​​
真的很好 就这样吧 我会很开心的
怎么办睡不着 可是明天还要上学.. ​​​
尼玛我不行了
特烦班主任 发奖励用班费奖钱 老子给班费是要你奖钱的吗 真他妈闲班费多了 一奖励就十几十几几百几百的发 拿班费装大款脑子真特么有坑交的班费没啥东西是花在刀刃上了 脑残就去治 真特么烦人 ​​​
就是 关我啥事
现在真是干啥事都很烦！有病！ ​​​
我很懵逼 我啥事没干又请家长了 脑残吗 懵逼ing ​​​
2b学校2b老师 能不能去死有病就去治行不行 ​​​
感觉每次我们学校集会就他妈的扯蛋 讲一堆没用的破事 纯浪费时间 脑子指定有啥疾病 不知道咋当上啥书记啥老师的 就爱搞点受害者有罪论 你妈你那死顺直男味儿藏不住了傻逼 爹味满满 女生带耳钉就是吸引异性了 你脑子没事吧 畜生一个 ​​​
有些人长得就是个烦人样 一看到我班主任和年级组那几个逼就贼烦 贱人样藏不住了 ​​​
我一句话都不想说只想砍死你 你明白吗 ​​​
困疯了真是要 一回家就好无聊感觉没啥事干 一直在玩手机 ​​​
我头晕。滚 ​​​
小鬼王琳凯超话 wlk#小鬼把更多时间花在音乐上# wlk#小鬼王琳凯专辑先行曲对是错的#  老公轻点帅.. @小鬼-王琳凯
就想躺在这一句话也不说 淡淡的... ​​​
啊啊啊宝宝
忍无可忍， ​​​
我已经忍舍友打呼噜四个星期了 忍无可忍 今天必须说清楚 妈的其他几个傻逼是没耳朵吗 晚上那么吵都不说的吗 去你妈的 ​​​
心累。 ​​​
好牛 我们寝那死猪跟没事人一样，、
准备上学学ing ​​​
小鬼王琳凯超话 wlk#小鬼把更多时间花在音乐上#wlk #小鬼王琳凯专辑先行曲对是错的# 老公多更 超爱看...&gt;_&lt;
你们都是很好的宝宝 我爱你们(^з^) ​​​
感觉自己有一瞬间长大了！今天没去上学 但还想着我的数学课呢 ​​​
这么冷的天我还是想穿短衣短裤出门..很方便emmm ​​​
为啥每次卷完刘海没几会就塌了 啊啊啊我恨、 ​​​
现在还不是很会打理我这头被剪毁的短发！理发师我恨你（囧rz ​​​
萌得我下奶了（何时我的双马尾也能扎这样&gt;_&lt;
我靠啊简直主人级别
我幻想我抽烟的样子就是这样。，、恩恩
还挺想拍点氛围感散步视频 但我没那个身材谢谢 ​​​
我觉得抖音的评论区很尴尬无聊，说来说去就那几句话 我都能背了 ​​​
诶我想起来之前一个博主 就是一个讲自己闺蜜被混的人追 然后他们吐槽的一个视频 有好几百万赞！但我觉得真的很无聊。。不知道咋火起来的 一直在大叫 评论区更是尴尬的没边。。 ​​​
很佩服长期不换社交头像的人！我每次都看自己头像不顺眼 ​​​
我对身边玩乙游、第五人格、原神 小说妹还有二次元的人很恐惧 他们就是我的舍友 ​​​
这空调咋回事 咋开一会又没声了 好冷啊！！！！ ​​​
还有十万张照片等着我去p ​​​
感觉我微博的负能量真的很大！我得振作起来了！ ​​​
我太喜欢张思捷和考拉的颜了我啥时候能长那样 ​​​
蒽！
好冷好冷已经开上30度的热空调了 ​​​
我莫名的屁股痛 好像一个人有节奏的捶我屁股 阵痛阵痛的 ​​​
还我十天假期
真的很吃金川鲤鱼的颜( ̀⌄ ́) ​​​
#王琳凯抄袭惯犯#王琳凯无妄之灾 ​​​
感觉把学校的时间和在家的时间联想在一起 时间过得还挺慢的 像现在我第一节课还没下课捏 ​​​
小鬼王琳凯超话 wlk#小鬼王琳凯专辑先行曲对是错的#wlk#小鬼把更多时间花在音乐上# 早上好 ​​​
好冷好冷怎么这么冷！！！ ​​​
今天困得好早 ​​​
我房间的网是一小团风 吹到哪算哪 ​​​
这网络特嚒的几个意思 翻个身的功夫就没了 刚从设置里连好 又他妈没了 我要疯了 ​​​
每次听到10%这首歌心情就会变得好嘿嘿嘿 ​​​
给我一根不会断的烟！ ​​​
啊啊啊啊啊啊啊
多多正能量 ​​​
你的人生完蛋了！ ​​​
好想念夏天 秋天没啥长裤穿 穿上就特臃肿特肥 ​​​
学校把我的纯真磨没了 我恨你学校 ​​​
死网老鸡巴卡啥 再卡找人弄死你 ​​​
国庆我喜欢你
每天就乐意幻想一些没可能的事 ​​​
再也不想等了呵呵 ​​​
好想中个大彩票 每天只想着怎么花钱
我怎么这么容易心软 不管别人之前对我有多坏 他只要对我打个招呼或者对我示好下 我就会立马原谅他 前面发生的也就烟消云散 我就会像以前一样对你好 ​​​
我舍友都不是啥正常人 都是一群被营销号洗脑的脑残 营销号说啥信啥 还老爱跟风 简直一群老式人物 ​​​
我只是一个脆弱的小女孩 ​​​
这网易云真特么有病 想emo一下发现根本听不完整首曲子 ​​​
想死又不敢 真想没出生过 想哭又哭不出 我的泪水你去哪了 ​​​
