九月底就要听九月底 ​​​
睡觉了 明早打算6点起 睡觉睡觉 ​​​
考研时间已出，倒计时87天 ​​​
专二难背 s难吃 ​​​
她妈的 你们的眼都瞎了嘛 贴了三张提示 你们还往上面走 都差我怕纸贴你眼上 新生的眼她妈的都长屁股上了嘛 ​​​
回学校的第一个晚上，睡觉。。 ​​​
我真的很讨厌那种你有事来问我，我回答你了，你一句话也不再说的那种人，你觉得我很闲吗，很不礼貌 ​​​
进入九月了，已经三天没在状态没有好好学习了，这一点也不像ky的样子，晚上不睡，白天起不来，再不学就完蛋了。调整状态，学不进去，每天也要学，少学点也是学，不学越不想学。还有5天开学，珍惜在家的这几天吧 ​​​
这个暑假，搁家备考一切都挺平常，一天天的过着，两个月的假期马上结束，假期里令我最开心的有两件事，就是假期里四六级和专四专八的成绩会出分，今天专四成绩公布了，原本不抱一点希望的我，刚刚同学给我发来了通过名单，我竟然过了专四！！！因为是这第二次机会，我在学校又要忙着考研，又要学六级， ​​​ ...展开
分享图片 ​​​
一夜没睡… ​​​
大家都一样哈哈哈 丹丹带背跟着写都累的要s 写的手酸 到考试那天不敢想 这才是一道大题的量 赫尔巴特你厉害👍 ​​​
这是ky必须经历的吗 ​​​
饿了 我也想吃淀粉肠 ​​​
md 背着背着睡着了 我服了我自己 点个外卖 吃完还债 ​​​
正确率保证了 速度也得提提了 ​​​
受不鸟了 大家在听17年text1时一定要注意 有打呼噜声哈哈哈哈哈哈 ​​​
重新开始 调整状态 ​​​
我好烦 为什么进入八月就倦怠了呢  这研你到底还考不考  早起起不来 任务任务还有那嘛多 马上开学了 在学校能像现在一样有充裕的时间吗 每天都焦虑 焦虑又不行动 自己意志力不强 就别考了要不 ​​​
讨厌自己又熬夜 醒醒吧 剩四个月了 122天了 ​​​
无数次的重新开始哈哈哈 day1 ​​​
今天依旧 ​​​
真有意思 ​​​
上岸
为什么 我发的微博全被删了 为什么！！！ 渣浪cnm ​​​
