请看 查看图片
刷到 认同 转发 共勉
和李老师在一起后的状态 与大家共勉
大部分微博/碎碎念/小幸福仅好友可见 爱视奸的三八土肥圆们不好意思咯 ₍^_   ̫ _^₎ ​​​੭ﾞ ​​​
是啊我的私生粉也挺可悲的永远不会明白这个道理
从初试复试到终审 每一天都很焦虑 心神不宁 但好在实力➕运气➕命好 每一步都是好结果，（昨天焦虑了一天吃海底捞都没心情吃着吃着别人告诉我我过了哈哈马上跑出去打电话报喜）我很难用语言来形容这份offer的含金量 只能说它是这五年来我最向往和最喜欢的一个公司 我们双向选择双向奔赴了它不仅是 ​​​ ...展开
分享图片 ​​​
我刚刚上传了动态视频封面，动态视频封面是微博视频号的个性化专属功能，快去我的主页看看吧~更多有趣、精彩的封面，尽在#视频号封面大赏# 我想变成一只小蝴蝶的微博视频 ​​​
