“其实司机是PUA高手来的，争吵明明是他先挑起的”。—— 看高端吵架局有感  
虐猫，坐牢14个月。  [组图共2张] 原图 
打个喷嚏，岔气了，肋骨疼半天。(牙巴里)人不顺的时候，喝凉水都塞牙……  
:难得想挥霍一下周末的闲暇，于是一口气刷完了一部平时不太可能点开的剧(因为网评说虐心)。现实生活中，我很嫌弃“读空气”的技能和场合；然而看剧的时候，又禁不住赞叹导演对氛围的渲染刻画：青春的萌动和纠结，在细微的肢体动作中，沉默却震耳欲聋。演员们的实力也在线，无论是少年的鲁莽直白，老师的怯懦逃避，还是母亲逐渐疯狂的阻挠，都表现得那么自然，时不时会带给人一些心底的震动。至于那些虐心的点滴，那些聚少离多，就当是成长的陈痛，爱的代价吧！≪中学圣日记≫
":好多年后，再次与岩井俊二的作品相遇了。虽然片头的雪景似乎让人看到了<<情书>>的影子，可惜这一次并不是唯美纯爱。在311地震带来的丧失和创伤中成长的路花，一直饱受负罪和责任感折磨的夏彦，努力逃脱却依旧败给命运捉弄的Ikko，三个年轻人的遭遇，交织成一幅令人心痛的残酷青春成长画卷。不幸中的万幸是，善良和温情依旧存在。
不是一部轻松的剧集，会掉眼泪。"
疯狂追完奥运，有种夏天结束了的感觉。  
啊，乒乓球看得也是胆战心惊，每一球赢得都很艰苦……  
单杠真是可怕，动不动就掉杠，看得我心突突的……  
感慨一下：川普如果没有在关键时刻向右转动他的脑袋的话…… 运气真的是决定人生的重要因素呀！  
