无意间刷到了直播，五月天成团日直播下个月现场见 ​​​
打工哪有不疯的，花也是 ​​​
水培郁金香🌷 ​​​
听哭了
第一次来这个地方十岁左右，再次来这个地方小孩也十岁了，不知道这边是不是这个城市最忧伤的地方… ​​​
人生就是不断地相聚与分离，渐渐长大，没有回头路 ​​​
@左拥公孙先生右抱展护卫的包大人
这版本可以
以为是ai合成，没想到是信妈，更想哭了
stay real预售产品2025年笔记本+笔终于到了，野周壳也到了 ​​​
哇
我们的第九天
戒断期从第一张专辑开始听他们的歌，今天正好是听到乱世浮生的一天，很喜欢。MM说这首歌听起来很欢快但是为什么感觉到有点忧伤巧了我也是这么觉得不知道当时是不是他们的本意怪兽曲+阿信词，开头和间奏很好听的吉他声 ​​​
今年1122又去看了五月天的演唱会，时隔十一年，中间发生了太多事情，有结婚生子，有抢不到票，有疫情看网络演唱会，有这次说走就走的行程…看完回来在戒断期想起一些往事，曾经突然好想你那首歌，阿信让我们打给自己想念的人，我记得自己拨通了那个号码，很忐忑，怕他接不知道说什么，怕他不接错过什 ​​​ ...展开
✌️
哇
好棒啦
