…好恨啊 ​​​
鬼灭也 就是 很恶心 一个男的娶三个老婆 然后三个老婆都对他讲敬语 甘之如饴 还要塑造美好浪漫一团和气的风貌 。。。 ​​​
不过其实看鬼灭也是很 ​​​
意识到wb也要读空气之后就又跑回来了 妖怪日记 这里才是我的家 你才是我的家 ​​​
嗯 对 对我来说 就是 认识到重要性是很重要的一件事 其实所有人都是这样的 比如读空气什么的 不然就不会读 不过很多人没我这么倔 不明白含义但是知道需要这个也会好好做 ​​​
哦对哦绝境逢生 我想到可以切换叙事 ​​​
然后我爸说你有病得治我操 ​​​
就是有一种你还要我怎样的歇斯底里感 我已经每天都因为设有而天天出门了然后你今天晚上也在外面黑灯瞎火地看电脑你还要我怎样你还要我怎样你还要我怎样啊啊啊啊啊我曹你妈 ​​​
好像 没有什么东西能让我感觉到满足 ​​​
转发
😢//@罐头辰://@河森堡:这些文字，不追求技巧，不玩弄辞藻，但发自内心，应力极强，读着读着只觉得字句击穿胸膛
而且我讨厌没有人理我 ​​​
打了胖球身体好累但是睡不着 好累好累但是睡不着真的好难受… ​​​
我的内心大喊着谁能不能爱我一下 我知道有人来问我过得怎么样 问我还好吗 可是我知道你既不在乎我也不爱我，你只是一个同样不懂爱的普通人。要去爱人吗？资/苯/加也会爱人吗？ ​​​
//@崔庆龙_:最近《西游记》很热，我在很早以前就写过一篇对于西游记的解读，从分离和相聚的视角。就像伽达默尔所说的，解读就是一种重新诠释，这个世界上没有多少真正的还原——因为主体间的不可通约性，而打动我们的必然是由“偏见”所构成的经验世界的彻底敞开，也就是作者性的充分体现。
别太灾难化 先打断你的灾难化、去除紧张。 ​​​
焦虑不安、社会生活是我长久的人生课题。。 ​​​
不知道啊不太想打这里 还是手写吧我拿ipad去写 然后可以放点歌单
好了我要开始说点最近的想法了 ​​​
人们只记得自己在乎的东西 ​​​
注意力系统的书 ​​​
本质上什么东西要把控距离之后分享呢？致命弱点？不体面的东西？过分亲密“这是我能听的吗”的话题 ​​​
心理距离：性的话题 。。。 ​​​
種類　某个事物内的区别 比如ワインの種類、書籍の種類、映画の種類種別　基于特定标准下的分类 比如荷物、切符、書類等等 ​​​
。哦我还以为你是神经病在看我 误解你了但是太好了你给我滚 ​​​
哦老哥是想换个座位 在那看来看去的 ​​​
而且老大你睿智吧我看哪你也看哪傻逼 ​​​
我操傻逼吧在麦当劳对面一男的到处乱看看看我看看那看看这烦死了别看了傻逼 ​​​
在想所以说，心理距离到底要怎么划分；什么话是在什么情况能说的？（未完）【一些话题与方面】体面人，内心感受。这个跟社交目的和对方是什么样的人也有关系。什么时候100%维持体面人，什么时候交朋友，什么时候相互support相互支持解决烦恼。什么时候说心里话，什么时候骂别人。喜好，喜欢的电 ​​​ ...展开
“所有上瘾行为的源头是不被爱” 我突然意识到了这个 因为没有拥抱 所以才要幻想 所以才做了梦女 ​​​
我其实特别特别脆弱 ​​​
那么或者说我想偷懒本质上是对压力的反应呢 顶不住了 ​​​
自我效能感与自我服务偏差“我是有能力的” 好处是让自己前进为自己服务的认知倾向 好处是不让内心受伤 不让自我形象受伤 可以前进但是如果过分的话会变成傲慢我还是觉得这么看也太 就是 太偏颇了 我会觉得是要根据现实的 越认清现实越好 在此基础上要保持自己的激情 才会有好的人生呢 ​​​
我更加清醒地发现我没办法在我妈这里得到爱 或者说只能得到一点点 更准确的说 我知道了事实是什么样的 ​​​
我要把自己曝光到视野之中吗？这样或许会更值吗 ​​​
智勇双全！
转发
一分也好 请给我健康的爱吧 请亲吻我、用那样的爱沐浴我
才发现好久没看这个号关注的那些博主了。都是很棒的心理学博主 ​​​
没有经历燃冬的青春期怎么算是青春期呢（狂笑） ​​​
哎哟我美死了我朋友夸我写得不错 ​​​
可以去看看别人吗 别人的创业经历？俞敏洪什么的 ​​​
思考时…脑袋很难受那个状态 极速状态会让我不愿意思考的 不利于养成良性的舒服的习惯 ​​​
满足了我…什么样的动机呢…（反复默念） ​​​
而我对男人是带有精神洁癖的。。这个世界给姐们骗惨了 我没办法像九那样去真的爱一个男的rps 或者甚至我对人也有洁癖导致我强迫症地无法接受不完美 因此无法爱人 这又是满足了我什么样的动机呢？ ​​​
把日记博和社交博分开真好…感觉有一个能够存活的地方了呢 ​​​
偷懒的本质 也是一种 成瘾行为啊啊啊啊啊啊 ​​​
自我服务偏差1⃣️动机扭曲对现实的认知一种成瘾行为同时也是一种短视可以通过意识到这个长远带来的危害来打断2⃣️信息处理过程导致 ​​​
团结起来 我们的力量//@罐头辰:活该//@荀夜羽:好么，在微博上追到后续了。
看了郑网球美网止步四分之一，意识到原来所有冠军本就是充满巧合的事情。之前会担心东拿了冠会不会觉得是没有打败龙的冠军而遗憾，但是或许体竞本就如此。 ​​​
害怕的时候就不断不断告诉自己我能行的 ​​​
转发
//@钰珏_佛狱恶女:代孕早就不是公众讨论“要不要合法化”的程度了，从十年前就是两会提案如何通过规范代孕实现合法化的程度了15年删除了《人口与计划生育法修正案》中禁止代孕的条款，至今没改。而代孕不光是子宫买卖，还是新生儿作为商品 查看图片
在想为什么做一个事情做了一会就是做完了一个小节我就迅速地感觉好了我做完了完成任务了我不要再做了 想迅速撤离远离 然后等一阵子再重新开始 就是 为什么呢 ​​​
转一下嘿嘿
是那种被接纳的氛围吗 ​​​
本质上…是因为那种“我愿意帮助你”的氛围吗 ​​​
本质上是什么呢？本质上我并不认识他 ​​​
所以既然 我如此厌恶他、排斥他，那么我当初又为什么因为他的友好与陪伴在他身上感到深深的安慰？我对人总是这样的 ​​​
如果想他只是 会让我接下来上瘾中毒地不断想他的话 那么不做梦女也好。 ​​​
突然意识到梦女并没有有用，难受的时候幻想谁来拯救你的故事并不会带给你力量、同时会让你最近突然想他的频率变高，让你产生依恋和依赖、反复反复地想他。 ​​​
所以说写作是为了什么呢？为了探索新的事物吗 ​​​
转发
转发
转发
转发
转发
转发
所以我能不能持续地当一个谁的梦女 然后保全我对其他部分对世界的理解 ​​​
转发
转发
转发
当梦女的这条路会断送我对真实世界的认识 ​​​
在麦学习 右边一哥们跟有多动症一样呢 ​​​
转发
胖会不会在夏季的雨水里和龙抱着拥吻 会不会一起渡过劫难 会不会在对方的怀里用湿润的眼睛说万幸我们活下来了 ​​​
分享图片 ​​​
嘿嘿面对我爸 慢慢地明白我什么都无法得到 他不会长大 他永远自私愚蠢 要明白放下期待 ​​​
不 我只是…很需要睡眠罢了 ​​​
还是有点要活不下去了呢 我好敏感又容易痛苦的一个人 ​​​
要是以很温和的态度去看待这些呢 大家都不容易之类的这种角度 ​​​
你们这些没有理智的家伙！ ​​​
无所谓了默念三遍樊振东和他的粉圈没关系（默念 ​​​
而且不用觉得受伤或者怎么样吧 每次遇到这种被群体排斥的情况都感觉很受伤 但是其实不用1成长必经之路2这个结果是多方因素导致而且很集体/结构性，傻逼之处在于对方
…这种时候要怎么平复心情啊 怎么认知 以后混互联网的策略 对群体的理解 这件事情接下来的落实和解决（比如等那俩人回复 有回复了就继续问两句 没回复就再找个群聊聊天呗认知处理是她们根本不重要以及下次混互联网小心点 或者自己建群） ​​​
不是 打球的时候表情扭曲他吗不是很正常的一件事情吗 我他吗真的没想到啊大哥没必要吧 ​​​
所以互联网上就是隐藏身份+跟风是吗 ​​​
你们弱智敏感人和敏感人自己玩吧去你们的吗 ​​​
哦不过其实就是屁大个群 ​​​
还是不要把人想得太好 要明白一堆人大家大部分内心都有毛病都是弱智 而不是看到表面光鲜亮丽就自己瞎几把想象对方的内里是多好 ​​​
终于意识到这就是互联网的属性了。。所以也包括上次读书书友一言不合直接拉黑 只是你们内心无比脆弱的0成本的维护群体的手段是吗。。 ​​​
但是尼诺的这种虚伪与既要又要难道不 和我很像吗 ​​​
原来让男人如此上瘾和喜欢的本质竟然是胸 竟然是这么简单的玩意 ​​​
真有日本女队那种和谐呃至少表面和谐 我又觉得无趣 ​​​
莎…是体面人 ​​​
然后我才明白 我那白日里恒久的焦虑与消耗原来是源自周围的人 ​​​
转发
构建一条 可行的 路而不是反复说服自己相信 因为人的身体感觉需要这样去做事 ​​​
我们胖…是天才少年啊//@一切好耶: 16年横空出世的天才少年只有樊振东一个
fzd超级水仙//@小明同学TIGA: 横空出世和稳扎稳打 说的都是fzd吧……
