天哪，太心疼她了
🐂我的国
我在当时在这个地铁上，我就帮这个带孩子的女士一把，直接帮她一起把那破包都给扔了
#哪吒2若卖95亿饺子至少能分1.35亿#竟然觉得比想象的少是怎么回事，电影好看，期待哪吒3！ ​​​
回复@吃瓜者号:唉……汪太冲动做事太容易被抓包，单看就这新闻对他争取抚养权妥妥反面素材……//@吃瓜者号:还有夏洛克离婚，因“家暴”至今见不到女儿。想起今天友人爆汪小菲狂躁症抑郁症严重，我在想这个友人是不是真的？如果他有狂躁症和抑郁症，是不是就不适合做监护人了呢？我记得这两起离婚官司是 ...展开
咱一个外人真不知道他这个声明想表达什么，不该首先作为丈夫先自责一下吗？！！！！！！！
#大S发病到猝逝仅5天#她不应该这样匆匆结尾……人生无常，珍惜当下，放下我执…… ​​​
#于正问赵露思我怎么着你了#真的神烦这个男？人？ ​​​
