抽我
"@薛之谦 你要不要看看之前说的话有多么丢人，求您读点书,了解下知识产权法，更新下自己的古老观念以及放下自己珍贵的脸面"
想要！
为啥周雨彤词条下都是周雨彤粉丝在骂王一博和肖战哈哈哈哈哈笑死我了 ​​​
我已经想象到梁源拿着手气急败坏地写下我很松弛这几个字了哈哈哈哈哈好搞笑，归来仍活成了笑话@科学家包大师 ​​​
笑死了以后继续止步32强，国家单打剃光头了
笑死了相信他只止步三十二强呗。相信他背后嘴fzd最后被fzd打爆了呗
祝福黄雅琼 刘雨辰！
劳老师好骂，我喜欢我有这样的口才就好了
什么老登都能当老师必须严惩！
嘻嘻//@随机波动StochasticVolatility:#随机福利# 转发原微博，我们将抽选3位波福娃送出本期节目中建国分享的阿特伍德文集《接下来会发生什么》。 查看图片
好讨厌反水，真把自己当公主了看狼人杀不看她 ​​​
