吴老师的STANLY好可爱，想偷走 ​​​
考研最大受益者：百度网盘 ​​​
搜遍学校图书馆付费期刊，最后在谷歌学术免费下载…没惹任何人…硬是被活活气了半小时 ​​​
两本教科书读下来发现，不同的作者写作思维和风格是不一样的。我读gxy老师写的书就觉得好顺，能读得下去，不存在大量知识点看不懂倒回去重新读的问题。但是我读ljn的书就觉得很吃力，要反复回去读几次我才能理解，或者就是写的太枯燥了吧 ​​​
冰摩卡比冰拿铁好喝，by学校9块钱咖啡机器 ​​​
我也希望我有phd ​​​
好文艺
mark！
Repost
"//@忽然结冰的大海i:最爱菲茨杰拉德的那句&quot;Whenever you feel like criticizing any one, just remember that all the people in this world haven't had the advantages that you've had.&quot;"
我真的成长了好多，我很喜欢“变老”，变老对我来说不是贬义词，更多是I am having this age， I am having these years in my life，More mature 世界观变丰富了，人生经历样本在不断增加，人生容错率在不断提高，摸索出更多自己喜欢的生活方式，简直就是爽歪歪啊…我要敢爱敢恨，都说20s-30s是一个人 ​​​ ...展开
Love and being loved. The ability of loving.The core is self love. ​​​
获取感兴趣论文的来源Always from watching yt videos… ​​​
我进军A醇了，还有修丽可的CE没拍，早C晚A我来了 ​​​
斯坦福的co-STORM AI写作真的好厉害… ​​​
好的！
I need this
Repost
Repost
我要把跑步列入人生满足感最强的top10事件里。 ​​​
这个世界就是很神奇，我开通The NewYorker官网会员才不到三天，今天打开了我好久没听的博客《自习室》更新了好几期随便点开最新一期，发现讲的是目前在纽约时报当editor的一个记者/撰写者写的一本书……这个世界怎么这么巧呢… ​​​
Repost
"Then i dont have it, I don’t need a man rescue me 🤔"
我即将成为一个跑者🏃‍♀️‍➡️ ​​​
"omg! It’s not about Planning Life, it’s about Testing life. Life design isn’t about making perfect plans, it’s about running small experiments to see what actually works for you !So making mistakes and trying new things will make life easier. ​​​"
我越来越讨厌“无法控制声音的信息传播平台”了，是的没错是抖音。真的好吵啊，很乱诶，输入的信息无法筛选，每天的重刷在建立一层又一层的信息茧房。内心的声音越来越无法听见。我还是比较喜欢文字传播众多的信息平台，比如微博就很好。我对声音太敏感了，不想再听任何声音包括视频。我今天终于感 ​​​ ...展开
//@诨名唤作巴布尔:回复@饮冰文集:意思是有些人不喜欢社交，不是因为不擅长，而是太敏感，太能察觉他人的情绪、态度、微妙的氛围变化，所以在社交中会感到疲惫。//@胡萝卜炒鸡蛋SharkLX:这个说得对，人离得太近看得太仔细都是瑕疵。除非一个人遗世独立，否则还是得硬着头皮社交。有句话说we don’t soc ...展开
我怎么这么容易留下创伤……为什么我对很多东西都是麻木面具下是受害者底色…why呢我这么敏感吗 ​​​
张老师醍醐灌顶：做一个聪明人还是做一个傻人，你会怎么选？｜你的生活是你选择的。你选择做聪明人，那你在生活中看到最多是“问题”，你会处在焦虑和痛苦状态，不是因为这个世界本身就是残酷的，而是你选择了做聪明人而处在焦虑中，去习惯发现问题。你选择做一个傻人，那你就是快乐的，焦虑和 ​​​ ...展开
我将落泪😢//@马达的加斯加:好想哭//@亭林镇无业青年:看得好想哭😭//@芝麻糊了吧:😢//@软0来了:我好想哭//@HeyWarWars:“您不只是问「你还好吗？」，也不是说「不要理他们」，您告诉我：「姨妈半夜一个一个在检举那些人。」”，这里我真的泪崩😭😭😭
oww woww ​​​
昨晚复述创伤后情绪久久不能平复，压抑在潜意识里的委屈和痛苦再次爆发，哭不完…但是哭完舒服多了。好想做一个一点小情绪就会崩溃的白女，想把东亚压抑的创伤全部抛弃掉 ​​​
玩一种生存游戏，一套小众的游戏 ​​​
Im a big fan ​​​
这一章应该是我熟悉单词最多的一章 ​​​
真的别买护肤品了，去喝中药吧我的妈呀，真的有用啊啊 ​​​
生孩子难产问家属保妈妈还是保孩子是世界上最可笑的问题……………… ​​​
实在是忍无可忍了…作者介绍在汇报ppt就只占一页内容并且不重要！！！老师快讲了半小时了come onnn ​​​
Flashinglights～ ​​​
不练不知道，一练就吓尿…感觉每天学的越多，受的打击就越多……but its fine 我知道怎么解离这个情绪，该学的还是要学，只不过这个打击不能把我怎么样 ​​​
不借助任何AI写作真的好爽。。。尽情享受自己的思维在word中展开 ​​​
图书馆有些男的为什么这么臭…………为什么不洗澡…………这么臭的人能不能不要坐旁边…… ​​​
在未来我希望遍布人造子宫，free women's womb ​​​
Now I can read 40 pages in 25 minutes. ​​​
成为研究生之后，我将成为半职vlog博主……这专辑听的我想重操剪辑旧业了……啊啊啊我一定要把剪辑重新捡起来 ​​​
拒绝老人味
true
我正在听自习室 STUDY ROOM的《57 原子习惯｜如何养成像“自动驾驶”一样的好习惯？》，分享给你听听～网页链接（via @小宇宙播客App） ​​​
