我 没在这个家里存在过就好了 ​​​
不要了什么都不要了没意思 ​​​
大家都说家是避风港但是我的却不是也可能是只是不是我的而已转了一圈发现我 只剩我了哈哈好好笑 ​​​
他们总跟我抱怨弟弟不接他们电话，所以我想我要懂事，我不能也那样，所以我从没拒接过他们任何一个电话或者信息但是，每次却都会听到让我感到心寒和委屈的话，而我还不能当面生气，因为那样他们会说我小气呵～    可笑 ​​​
真吓人 ​​​
To 亮子：亮子，等我们再见的时候，不管是在哪里，不管是以什么样的形式，那个时候，我们都不要觉得尴尬，就像好久不见的老友，开心的打个招呼，然后继续做好朋友好吗好吗好吗好吗好吗好吗好吗好吗好吗好吗好吗好吗好吗？就当你 答应咯！（不答应就叫大黑咬你，大黑现在已经和我是一边 ​​​ ...展开
天气  大雨☔️错过公交（世界上最远的距离，就这么看着🚌走了你却追不上→）一路上全碰上了红灯 →  迟到晚上回去，上公交刷不出来乘车码，猜到是欠费果断下车本来想随便找个路人帮忙充话费，或者开个热点连上充话费，但是一想感觉很像个骗子，张不开嘴，所以打消走了好久 ​​​ ...展开
活着已经够难的了就不要把别人当大怨种了好吗别消耗我们之间那点关系了好吧就我看着像怨种呗？就逮着我一个人薅呗？真是无语了我真的生气了，气的很 ！TMD ！ ​​​
看看 看看，哦哟，一一天天的！幸亏只有罗小芳能看到，要不然，你罗小芳要被别人笑死！ ​​​
我好像，太幼稚，太差劲了。 ​​​
人们总说，时间可以淡忘一切，可能你都快要把我忘记了吧！不会已经忘了吧？啊！这么快的吗！还记得当时我跟你说，刘小奇媳妇儿微信把我删掉了的事儿吗，当时我伤心的呢，你安慰我来着，你说没事，还有你好好好现在你就已经把我忘了我现在就去找大黑让它咬你！哼大黑啊！ ​​​ ...展开
亮子，我猜你们现在一定相处的很好吧。虽然这话已经不合时宜了，但是我还是想跟你说：对不起啊亮子，因为在遇见你之前罗小芳从来没被别人爱过，所以直到错过了你，她才确定了原来那就是喜欢，就是爱，原来爱一个人就是那样的！但是她可能是脑子不大好，根本反应不过来，所以最后遗憾的是，她错过你 ​​​ ...展开
起来上了个厕所，再躺下却睡不着了，突然一阵回忆涌来，我还是没能挡住它，开始情绪低落最后又没控制住，看吧，又哭了，真没出息！ 要是现在能有个人跟我说说话，拉我一把就好了但是现实就是现实，现实就是这个时间，不止是这个时间，我不能去打扰任何人，确实，也没有人能让我去打扰。所以你还是自 ​​​ ...展开
亲爱的大姨妈啊不是我说你，都认识这么多年了，你来的时候能不能温油一点，现在好了吧，你看都几点了，你给我疼的一点睡不着想干嘛，要同归于尽啊，想害朕，刁民！ ​​​
今日份自言自语：亮子，你说为啥有的人每次发的朋友圈都是和她男朋友出去旅游吃喝玩乐，并且她家里就是有钱人家的人，还会跑过来说借钱，上个月说修手机，这个月说去吃席随份子，真离谱！你可能还记得那个人是谁，就是我之前去她那里住过两个晚上，然后去吃宵夜，她说AA，我先付的钱，后来她说没钱的 ​​​ ...展开
阿西 ！！突然很想吃 ～ 螺 ～ 蛳 ～ 粉 ！md ​​​
2024-5-20   大雨☔️☔️☔️☔️☔️☔️小罗独自搬家经验+112345678910大堆东西🧳🧳🧳🧳🧳🧳🧳🧳爬四楼1趟2趟3趟4趟5趟6趟7趟8趟……要是我有三头六臂就不用跑那么多次了 累的很，累死我得了 md！ 还有，这个雨你能不能停一停！ ​​​
To  亮子：      其实我早就说过了，我希望你一切都好，希望你幸福，这是真心的，这也是从来没变过的，所以我希望你可以不要刻意把我隔绝出去，你说过的，我们是朋友不是吗。你幸福的话，我会比任何人都替你感到开心的，真的。     我不能直接的问你，最近好吗？因为我知道那会打扰你，我也怕被你厌 ​​​ ...展开
很糟糕吧我，像个笑话，对不起 ​​​
控制不住了很伤心，很难过好想逃跑想我奶奶了 ​​​
快看！！！！！！！真的是 大海 🌊🌊🌊那天我跟它说了很多话也做了决定  ​​​
我走啦，青岛 再见 活着吧小罗的微博视频 ​​​
2024-3-26 10:35 pm青岛，我老罗来啦！   ​​​
你一定要幸福，这 很重要！ 活着吧小罗的微博视频 ​​​
3.17 下午6点，到广州，拉着大包小包转地铁去住了一晚民宿3.18 早上到中午，跑来跑去 找租房，终于找到了一个，但是人家20号才退房，所以房东说让我免费住两晚另一个房间（7楼）等别人退房再搬进去（3楼），但是房东说7楼的今天要很晚才能进去，因为要等别人下班打扫卫生。我想，不用花钱住外面， ​​​ ...展开
今天的第一顿饭～炒饭～味道不错～ ​​​
怎么会这么痛呢 ​​​
幸好 思念无声可惜 思念无声 ​​​
我 ​​​
晚饭没吃两口→现在饿了睡不着可能要低血糖了→就这么扛着吧晕了应该就＝睡了吧 ​​​
我曾经也被爱过的，但是现在，我好像什么都没有了。 ​​​
我好像疯了，我生病了，要不在疯掉之前，先死掉吧？ ​​​
如果我不在了，某一天想起我的时候不要觉得害怕，因为我不会干坏事的，更不会出来吓你们，希望你们永远记得我是一个乐观的，喜欢搞笑的，大大咧咧的形象 ​​​
压抑的太久了，终于爆发的时候，我控制不住自己的情绪了 ​​​
超级开心的时刻！大家都要健康平安，开心快乐！愿我们 年复一年，年赴一年，年富一年 ​​​
又是这样！真可笑！何必呢！下次过年，就不回家了吧，你们自己过吧什么是家呢？ ​​​
2024-2-3 [噢耶]    [噢耶]   [玫瑰] [玫瑰]      江湖路远 愿你们同去同归 长长久久订婚快乐！ ​​​
2024——2——1  回家日记  第一次火车上吃了泡面哈哈车站里面的快乐水好贵→下次在外面买我大贵州的炸洋芋儿真好吃 ​​​
有在很冷的早上5点多起床，6点去赶公交有很晚还在坐地铁回去的路上，饿的很呀也有因为认识新朋友而让兼职的过程有了很多的愉快总体来说，还是可以的！哈哈！ ​​​
不是，真不是我吹[机智][机智][机智][机智]躲猫猫这块儿能玩到这个分数一个字  牛🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮欧耶 ！ ​​​
分享小咪的单曲《我走后》: 网页链接 (来自@网易云音乐 ) ​​​
