陈僖仪《蜚蜚》蜚蜚 @QQ音乐 ​​​
i-dle (아이들)《나는 아픈 건 딱 질색이니까 (Fate) (因为我无法忍受痛苦)》나는 아픈 건 딱 질색이니까 (Fate) @QQ音乐 ​​​
林俊杰《崇拜 (Live)》崇拜 @QQ音乐 ​​​
胡彦斌/张钰琪《你要如何我们就如何 (Live)》你要如何我们就如何 @QQ音乐 ​​​
宝宝~
分享图片 ​​​
不开玩笑，目前看这辈子不想和土象沾边 ​​​
分享音乐卡片青花 @QQ音乐 ​​​
骂完人以后（主要是赢了）心情好多了 ​​​
干饭哥你的羽毛球真是惊艳到我了 ​​​
江源东《昨夜小楼又东风 (Live)》昨夜小楼又东风 @QQ音乐 ​​​
陆星材 (육성재)/朴慧秀 (박혜수)《Love Song》（《Who Are You - 学校 2015》韩剧插曲）Love Song @QQ音乐常听常新 ​​​
腊肠狗或者德文猫，将来有机会养俩太可爱了 ​​​
努力不够吧，还是得继续学理科！小H 说今年综应好多六七十、七八十的，真是这样的话白瞎我综应分了爸爸看见其他伙伴上岸分数有点惋惜，觉得我报高了，怎么说呢，遗憾但是不后悔吧，再来一次我可能还是会做同样的选择。20＋没有野心有一颗养老的心吗？那是真的不可以 ​​​
陈楚生/王赫野《不如回家喝自来水 (Live版)》不如回家喝自来水 (Live版)（@网易云音乐）洗澡🛀自嗨必备 ​​​
王唯旖《舍得》舍得 @QQ音乐 ​​​
陈曌旭《旭》旭 @QQ音乐 ​​​
