//@_麟九_://@大师兄天道酬勤:马克//@被压扁的三明治捡起来还能吃吗://@Isabella贇儿:两女生对男生合理怀疑，不是故意诬陷。她们承担后果，在“怀疑产生的车厢空间内”向男生道歉，愿意提供补偿。在法律和常识框架内，就是和“错认”对等的“惩罚”，而男方觉得“被认成偷拍犯是极大侮辱，要让她俩付出 ...展开
//@_麟九_://@l鱼苗I://@千里眼视频：三次报警记录未能触发一张保护令，两个孩子的生命消失在30天冷静期内。//@大象新闻:刘某杰的妻子黄某于今年5月17日以刘某杰不务正业、沉迷赌博并多次对其实施家暴为由提出离婚， 5月20日双方签署离婚协议，进入30天冷静期。5月22日凌晨2时3分许，刘某杰在家人群发 ...展开
//@陈折折://@清於门下茶僮子://@那罗陀_银子://@宝树:这手段也太残忍了，居然还死缓//@潘海天://@-罐儿-://@Blade-黑铁桐人://@开水族馆的生物男:杀亲友不该加重刑罚么//@王小亚:136刀还有预谋。。看了下也没自首情节啊//@洛梅笙:天理何在？这种判决就是违反男女平等把妻子当成丈夫私产的体现。
🐎
//@罗赛迩:哈哈哈哈这样的比赛谁能抵挡（是肉搏战中随机掉落武器诶）//@合金妖王刘成文:Repost
//@_麟九_://@芥末侠-jiemo://@奇异熊吉:不错//@萙草籽:法师//@小狐兔美:wow//@Bruce_Segal://@纽约客患特工抑郁症:最右那个我刷到过，好惨一姑娘//@Mona健康监护中心:律师（×）法师（√）//@龍宮輝夜://@欧根推://@盐渍海蛞蝓://@凉拌冰河_Hyouga:物法双修belike//@Mizuki_Hajime:看过视频，是个法律 ...展开
可爱可爱
//@陈折折:烂透了//@起肖蔷:烂透了//@夏目家的小诗哥:…..//@Echo-chee://@豆你玩://@龟笑川://@桃桃龅牙兔://@冰嬉玉女庵零容:。//@追瘤姆:烂透了//@京畿道鸭王:轉發微博
//@无边桃炎:看得我都泪目了，附议右边，见义勇为奖金安排起来//@厄加特特:先去捡游泳圈，再拿着游泳圈救女游客，托着女游客的肩部确保她能呼吸，再翻个面蹬腿朝岸边游，思路清晰+操作正确，伟大女性无需多言！见义勇为奖金安排起来别光点赞！！！要是附近能帮着弄个小摊小伞就更好了，头上裹着毛巾卖 ...展开
//@_麟九_://@VoidspeciesGarden:哈//@-Rion-://@·好耶·:公平，公平，还是他爹的公平哈//@小狗熊与女王跳舞:偷拍不是不犯法吗//@kimiamber:之前那么多女孩子被偷拍的时候报警咋就没人提这出呢？被偷拍的变成男嫖客，法律一下子就有用了
//@无边桃炎:这篇对于为什么反对「施虐」（含虐待人与动物）说得很清楚了
🆘//@_麟九_://@囧兰胸-华纳今天暴毙了吗:救命！！！！！//@囧兰胸-华纳今天暴毙了吗:哇//@克露克露:又需要了//@逍遥秋叶子:被丑到//@逍遥秋叶子://@逍遥秋叶子 ://@逍遥秋叶子 ://@逍遥秋叶子 ://@一枚海棠酥 ://@黄葵红锦墨旱莲 :晦气//@克露克露 :再//@克露克露 :好//@光辉兔的Henry甜点厂 :// ...展开
🐎//@无边桃炎:马住//@Ehtele:这就去买//@中图网官方微博:来了，我站有售感谢右边 查看图片 //@红袖叶盼兮:这本书好像中图有卖过，这就去买@中图网官方微博 来活了 //@烟波人长安:这本书我也看过，不管是从法律史的角度还是性别研究的角度，切入点都非常厉害，作者李 ...展开
🐎//@无边桃炎:马住//@AbbeyChry:不做飯記一下//@nickel拟科://@猫鹿蝶-临界://@画小眉:哇//@翎春君:马克
